id,created_at,text,favorites,retweets,entities,language
1351982105069285381,2021-01-20 19:57:07,"#BienvenidoProfe

¡Todos unidos para lograr los objetivos! 💪

@ReinaldoRuedaDT 

#VamosColombia 🇨🇴 https://t.co/JDvNm9WqOl",113,9,"{'hashtags': [{'text': 'BienvenidoProfe', 'indices': [0, 16]}, {'text': 'VamosColombia', 'indices': [81, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [62, 78]}], 'urls': [], 'media': [{'id': 1351982031803187205, 'id_str': '1351982031803187205', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351982031803187205/pu/img/1R5IBF8GnpYXCB-9.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351982031803187205/pu/img/1R5IBF8GnpYXCB-9.jpg', 'url': 'https://t.co/JDvNm9WqOl', 'display_url': 'pic.twitter.com/JDvNm9WqOl', 'expanded_url': 'https://twitter.com/FCFSeleccionCol/status/1351982105069285381/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",es
1351899127601356801,2021-01-20 14:27:23,"¡La ilusion es de toda Colombia! 🟡🟡🔵🔴

#BienvenidoProfe @ReinaldoRuedaDT

#VamosColombia 🇨🇴 https://t.co/PmMoZpjGMa",543,34,"{'hashtags': [{'text': 'BienvenidoProfe', 'indices': [39, 55]}, {'text': 'VamosColombia', 'indices': [74, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [56, 72]}], 'urls': [], 'media': [{'id': 1351899118310928388, 'id_str': '1351899118310928388', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/EsLpFd8WMAQ7THh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLpFd8WMAQ7THh.jpg', 'url': 'https://t.co/PmMoZpjGMa', 'display_url': 'pic.twitter.com/PmMoZpjGMa', 'expanded_url': 'https://twitter.com/FCFSeleccionCol/status/1351899127601356801/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",es
1351875868151455745,2021-01-20 12:54:58,"¡Feliz aniversario @TigresCol !

El equipo capitalino cumple sus primeros 5️⃣ años y queremos celebrarlo juntos a e… https://t.co/Gk1M3PCF7p",147,7,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TigresCol', 'name': 'Tigres Fútbol Club', 'id': 4827008230, 'id_str': '4827008230', 'indices': [19, 29]}], 'urls': [{'url': 'https://t.co/Gk1M3PCF7p', 'expanded_url': 'https://twitter.com/i/web/status/1351875868151455745', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351731197668438018,2021-01-20 03:20:06,"👋 Profe @ReinaldoRuedaDT, bienvenido a casa. ⚽️

#VamosColombia🇨🇴 https://t.co/WVpPTMGyhO",1139,70,"{'hashtags': [{'text': 'VamosColombia', 'indices': [49, 63]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [8, 24]}], 'urls': [{'url': 'https://t.co/WVpPTMGyhO', 'expanded_url': 'https://twitter.com/reinaldoruedadt/status/1351728237966221312', 'display_url': 'twitter.com/reinaldoruedad…', 'indices': [66, 89]}]}",es
1351612260913963008,2021-01-19 19:27:29,"📸 #BienvenidoProfe al equipo de todos 💛💛💙❤️

Nuestro nuevo D.T. @ReinaldoRuedaDT se puso la camiseta en su presenta… https://t.co/dtzF8gUVR9",1974,255,"{'hashtags': [{'text': 'BienvenidoProfe', 'indices': [2, 18]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [64, 80]}], 'urls': [{'url': 'https://t.co/dtzF8gUVR9', 'expanded_url': 'https://twitter.com/i/web/status/1351612260913963008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351591242036076545,2021-01-19 18:03:58,"🎙️ #RuedaDePrensa | Finaliza la rueda de prensa del profesor @ReinaldoRuedaDT.

📺 https://t.co/6aynS97hgP

#VamosColombia🇨🇴",74,6,"{'hashtags': [{'text': 'RuedaDePrensa', 'indices': [3, 17]}, {'text': 'VamosColombia', 'indices': [107, 121]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [61, 77]}], 'urls': [{'url': 'https://t.co/6aynS97hgP', 'expanded_url': 'https://bit.ly/2XU7ZDb', 'display_url': 'bit.ly/2XU7ZDb', 'indices': [82, 105]}]}",es
1351591128374644737,2021-01-19 18:03:31,"🎙️ #RuedaDePrensa | @ReinaldoRuedaDT: ""Colombia siempre ha sido un país muy hospitalario. En la medida que haya un… https://t.co/LWSAmGr9e8",87,15,"{'hashtags': [{'text': 'RuedaDePrensa', 'indices': [3, 17]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [20, 36]}], 'urls': [{'url': 'https://t.co/LWSAmGr9e8', 'expanded_url': 'https://twitter.com/i/web/status/1351591128374644737', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",es
1351591055007883265,2021-01-19 18:03:13,"🎙️ #RuedaDePrensa | @ReinaldoRuedaDT: ""Nuestra metodología de trabajo es la misma. Queremos sacarle el mejor provec… https://t.co/MiWvBQHZ90",66,10,"{'hashtags': [{'text': 'RuedaDePrensa', 'indices': [3, 17]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [20, 36]}], 'urls': [{'url': 'https://t.co/MiWvBQHZ90', 'expanded_url': 'https://twitter.com/i/web/status/1351591055007883265', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351590871075061763,2021-01-19 18:02:29,"🎙️ #RuedaDePrensa | @ReinaldoRuedaDT: ""Empezaremos a evaluar y valorar a los jugadores de nuestra liga. En la medid… https://t.co/JbTRjp8VZf",96,16,"{'hashtags': [{'text': 'RuedaDePrensa', 'indices': [3, 17]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [20, 36]}], 'urls': [{'url': 'https://t.co/JbTRjp8VZf', 'expanded_url': 'https://twitter.com/i/web/status/1351590871075061763', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351590363790774273,2021-01-19 18:00:28,"🎙️ #RuedaDePrensa | @ReinaldoRuedaDT: ""Por fortuna en la Selección Nacional hay hombres importantes y maduros. Es c… https://t.co/ur5fqqWirH",77,13,"{'hashtags': [{'text': 'RuedaDePrensa', 'indices': [3, 17]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [20, 36]}], 'urls': [{'url': 'https://t.co/ur5fqqWirH', 'expanded_url': 'https://twitter.com/i/web/status/1351590363790774273', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
