id,created_at,text,favorites,retweets,entities,language
1351867068363190275,2021-01-20 12:20:00,"🔙 #OnThisDay in 1983 one of the best players in history died, aged 49

💛 Garrincha's mind-blowing funeral – it bega… https://t.co/RALdXy574N",590,108,"{'hashtags': [{'text': 'OnThisDay', 'indices': [2, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RALdXy574N', 'expanded_url': 'https://twitter.com/i/web/status/1351867068363190275', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351511223951532034,2021-01-19 12:46:00,"🔙 #OnThisDay in 2002 Vava passed away, aged 67, having made an indelible contribution to Brazilian football history… https://t.co/59lKwfBEoL",264,15,"{'hashtags': [{'text': 'OnThisDay', 'indices': [2, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/59lKwfBEoL', 'expanded_url': 'https://twitter.com/i/web/status/1351511223951532034', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351492349306650627,2021-01-19 11:31:00,"👤🔎❓

Can you guess who this is?

#TuesdayTrivia | #WorldCup https://t.co/oA7GigXCYF",168,8,"{'hashtags': [{'text': 'TuesdayTrivia', 'indices': [33, 47]}, {'text': 'WorldCup', 'indices': [50, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351457138393165825, 'id_str': '1351457138393165825', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EsFXG2cXMAEiTC8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsFXG2cXMAEiTC8.jpg', 'url': 'https://t.co/oA7GigXCYF', 'display_url': 'pic.twitter.com/oA7GigXCYF', 'expanded_url': 'https://twitter.com/FIFAWorldCup/status/1351492349306650627/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",en
1351443527721476097,2021-01-19 08:17:00,👶 Matthias Ginter spent his 26th birthday becoming a father for the first time. We hope the baby of Germany's 2014… https://t.co/OHyf1iHae0,1033,56,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OHyf1iHae0', 'expanded_url': 'https://twitter.com/i/web/status/1351443527721476097', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350837618058080265,2021-01-17 16:09:20,"RT @FIFAMuseum: There is only one team who have appeared in more that one @FIFAWorldCup, that have never failed to progress from the first…",0,14,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAMuseum', 'name': 'FIFA Museum', 'id': 545124595, 'id_str': '545124595', 'indices': [3, 14]}, {'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': 138372303, 'id_str': '138372303', 'indices': [74, 87]}], 'urls': []}",en
1350830739751723010,2021-01-17 15:42:00,🐰 One of the greatest players in Mexican history pulled off one of the most outrageous pieces of skill in football… https://t.co/4tzhe65t6o,1833,391,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4tzhe65t6o', 'expanded_url': 'https://twitter.com/i/web/status/1350830739751723010', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350721016591474691,2021-01-17 08:26:00,"🏟️📸 Sending Soccer City memories to a #WorldCup winner on his 38th birthday. Have a great one, Alvaro Arbeloa! 🏆🎊… https://t.co/7J9COwsAnw",589,48,"{'hashtags': [{'text': 'WorldCup', 'indices': [38, 47]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7J9COwsAnw', 'expanded_url': 'https://twitter.com/i/web/status/1350721016591474691', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",en
1350103195268296706,2021-01-15 15:31:00,"🏆 The @CAF_Online African Nations Championship starts tomorrow

🌍 The tournament is reserved for African players co… https://t.co/exNubVl4cu",192,29,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CAF_Online', 'name': '#TotalCHAN2020', 'id': 820521182, 'id_str': '820521182', 'indices': [6, 17]}], 'urls': [{'url': 'https://t.co/exNubVl4cu', 'expanded_url': 'https://twitter.com/i/web/status/1350103195268296706', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350046200792297472,2021-01-15 11:44:31,⏪ 2-time champions Italy required only a draw from their final qualifier to reach the 6th #WorldCup. #OnThisDay in… https://t.co/GgRSchEupG,276,39,"{'hashtags': [{'text': 'WorldCup', 'indices': [90, 99]}, {'text': 'OnThisDay', 'indices': [101, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GgRSchEupG', 'expanded_url': 'https://twitter.com/i/web/status/1350046200792297472', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350024434606874624,2021-01-15 10:18:02,@FIFAcom @England @OfficialBWFC ⚽️ Very few players manage to register more goals than appearances in a #WorldCup.… https://t.co/mH3r9UAnuB,227,57,"{'hashtags': [{'text': 'WorldCup', 'indices': [104, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAcom', 'name': 'FIFA.com', 'id': 140070953, 'id_str': '140070953', 'indices': [0, 8]}, {'screen_name': 'England', 'name': 'England', 'id': 1903382054, 'id_str': '1903382054', 'indices': [9, 17]}, {'screen_name': 'OfficialBWFC', 'name': 'Bolton Wanderers', 'id': 65068197, 'id_str': '65068197', 'indices': [18, 31]}], 'urls': [{'url': 'https://t.co/mH3r9UAnuB', 'expanded_url': 'https://twitter.com/i/web/status/1350024434606874624', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350013760065429504,2021-01-15 09:35:37,😀 El Hadji Diouf had that #FridayFeeling on the last day of May 2002 – he inspired Senegal to victory over France i… https://t.co/4jv2ntV8pS,435,54,"{'hashtags': [{'text': 'FridayFeeling', 'indices': [26, 40]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4jv2ntV8pS', 'expanded_url': 'https://twitter.com/i/web/status/1350013760065429504', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350001777496764417,2021-01-15 08:48:00,"🛡️ Marius Tresor scored a volley in a #WorldCup semi-final, came 6th in @francefootball's French Player of the Cent… https://t.co/5fAf1w6y9n",211,24,"{'hashtags': [{'text': 'WorldCup', 'indices': [38, 47]}], 'symbols': [], 'user_mentions': [{'screen_name': 'francefootball', 'name': 'France Football', 'id': 220998706, 'id_str': '220998706', 'indices': [72, 87]}], 'urls': [{'url': 'https://t.co/5fAf1w6y9n', 'expanded_url': 'https://twitter.com/i/web/status/1350001777496764417', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349977618163101696,2021-01-15 07:12:00,🇪🇬 One prestigious record wasn't enough for Essam @ElHadary in Volgograd in 2018. The @Pharaohs keeper enriched bec… https://t.co/kHQNdvLias,1471,116,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ElHadary', 'name': 'Essam El-Hadary', 'id': 766974808508686336, 'id_str': '766974808508686336', 'indices': [50, 59]}, {'screen_name': 'Pharaohs', 'name': 'Egypt National Football Team', 'id': 959233350597795842, 'id_str': '959233350597795842', 'indices': [86, 95]}], 'urls': [{'url': 'https://t.co/kHQNdvLias', 'expanded_url': 'https://twitter.com/i/web/status/1349977618163101696', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349819107101835272,2021-01-14 20:42:08,"🗞 Official: @ReinaldoRuedaDT is Colombia's new head coach

🇨🇴 The experienced tactician's first #WCQ in charge of L… https://t.co/hVhAjldZJi",206,39,"{'hashtags': [{'text': 'WCQ', 'indices': [96, 100]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ReinaldoRuedaDT', 'name': 'Reinaldo Rueda', 'id': 855532865093869569, 'id_str': '855532865093869569', 'indices': [12, 28]}], 'urls': [{'url': 'https://t.co/hVhAjldZJi', 'expanded_url': 'https://twitter.com/i/web/status/1349819107101835272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349638506285555715,2021-01-14 08:44:29,"🇮🇸 Iceland's troubles &amp; #WorldCup hopes
🔥 Wonder goals &amp; life in Qatar
🧙‍♂️ Marking Messi in Russia
😲 That amazing… https://t.co/FWzDR3V8sr",370,40,"{'hashtags': [{'text': 'WorldCup', 'indices': [28, 37]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FWzDR3V8sr', 'expanded_url': 'https://twitter.com/i/web/status/1349638506285555715', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [124, 147]}]}",en
1349628270921326593,2021-01-14 08:03:49,"🇨🇱 Chile are on the lookout for a new coach after parting ways with Reinaldo Rueda.

🏆 @LaRoja sit sixth in the… https://t.co/gyLbIDLlVF",304,35,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LaRoja', 'name': 'Selección Chilena', 'id': 2842600971, 'id_str': '2842600971', 'indices': [87, 94]}], 'urls': [{'url': 'https://t.co/gyLbIDLlVF', 'expanded_url': 'https://twitter.com/i/web/status/1349628270921326593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",en
1349348871361671169,2021-01-13 13:33:35,"RT @FIFAcom: 🇿🇦 Phil Masinga played for @LUFC in the @premierleague, helped @BafanaBafana win the @CAF_Online AFCON in 1996 and scored the…",0,323,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAcom', 'name': 'FIFA.com', 'id': 140070953, 'id_str': '140070953', 'indices': [3, 11]}, {'screen_name': 'LUFC', 'name': 'Leeds United', 'id': 1024095475, 'id_str': '1024095475', 'indices': [40, 45]}, {'screen_name': 'premierleague', 'name': 'Premier League', 'id': 343627165, 'id_str': '343627165', 'indices': [53, 67]}, {'screen_name': 'BafanaBafana', 'name': 'Bafana Bafana', 'id': 191360802, 'id_str': '191360802', 'indices': [76, 89]}, {'screen_name': 'CAF_Online', 'name': '#TotalCHAN2020', 'id': 820521182, 'id_str': '820521182', 'indices': [98, 109]}], 'urls': []}",en
1349020636035883010,2021-01-12 15:49:17,🎤 Six years ago @jamesdrodriguez was giving his FIFA #Puskas Award acceptance speech as his volley for… https://t.co/jqUacxywsi,3809,590,"{'hashtags': [{'text': 'Puskas', 'indices': [53, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'jamesdrodriguez', 'name': 'James Rodríguez', 'id': 280701704, 'id_str': '280701704', 'indices': [16, 32]}], 'urls': [{'url': 'https://t.co/jqUacxywsi', 'expanded_url': 'https://twitter.com/i/web/status/1349020636035883010', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}",en
1348996105841897475,2021-01-12 14:11:49,"RT @FIFAcom: 🚨 ⚽️ 🗳️

@borussia | @borussia_en | @DFB_Team | @DFB_Team_EN | @HenrikhMkh | @OfficialASRoma | @ASRomaEN | @OfficialArmFF

Who…",0,65,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAcom', 'name': 'FIFA.com', 'id': 140070953, 'id_str': '140070953', 'indices': [3, 11]}, {'screen_name': 'borussia', 'name': 'Borussia', 'id': 80790735, 'id_str': '80790735', 'indices': [22, 31]}, {'screen_name': 'borussia_en', 'name': 'Gladbach', 'id': 2689586863, 'id_str': '2689586863', 'indices': [34, 46]}, {'screen_name': 'DFB_Team', 'name': 'Die Mannschaft', 'id': 78270570, 'id_str': '78270570', 'indices': [49, 58]}, {'screen_name': 'DFB_Team_EN', 'name': 'Germany', 'id': 2350218440, 'id_str': '2350218440', 'indices': [61, 73]}, {'screen_name': 'HenrikhMkh', 'name': 'Henrikh Mkhitaryan', 'id': 2831531811, 'id_str': '2831531811', 'indices': [76, 87]}, {'screen_name': 'OfficialASRoma', 'name': 'AS Roma', 'id': 380570951, 'id_str': '380570951', 'indices': [90, 105]}, {'screen_name': 'ASRomaEN', 'name': 'AS Roma English', 'id': 2999967663, 'id_str': '2999967663', 'indices': [108, 117]}, {'screen_name': 'OfficialArmFF', 'name': 'Official Armenian FF', 'id': 2337903954, 'id_str': '2337903954', 'indices': [120, 134]}], 'urls': []}",en
1348917382161469442,2021-01-12 08:59:00,"🏆 He was an integral member of the @CBF_Futebol team that lifted the 1994 #WorldCup 

🥳 Happy birthday to Brazil &amp;… https://t.co/40phnaE2al",249,24,"{'hashtags': [{'text': 'WorldCup', 'indices': [74, 83]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CBF_Futebol', 'name': 'CBF Futebol', 'id': 35856249, 'id_str': '35856249', 'indices': [35, 47]}], 'urls': [{'url': 'https://t.co/40phnaE2al', 'expanded_url': 'https://twitter.com/i/web/status/1348917382161469442', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
1348909464452263937,2021-01-12 08:27:32,"👤🔎❓

Can you guess who this is? Clue: it's his birthday today 🎂

#TuesdayTrivia | #WorldCup https://t.co/DVaQu28JcI",236,13,"{'hashtags': [{'text': 'TuesdayTrivia', 'indices': [65, 79]}, {'text': 'WorldCup', 'indices': [82, 91]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1348909251687800833, 'id_str': '1348909251687800833', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/ErhJ0U0W4AEMQ0H.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ErhJ0U0W4AEMQ0H.jpg', 'url': 'https://t.co/DVaQu28JcI', 'display_url': 'pic.twitter.com/DVaQu28JcI', 'expanded_url': 'https://twitter.com/FIFAWorldCup/status/1348909464452263937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 449, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1351, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 792, 'resize': 'fit'}}}]}",en
