id,created_at,text,favorites,retweets,entities,language
1351974814400057349,2021-01-20 19:28:08,"RT @FIFAWWC: 🙌💵🇲🇽 @FMF has decided to use most of FIFA’s COVID-19 Relief Fund grants to support women’s football

😷 The funds help run @Lig…",0,25,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAWWC', 'name': ""FIFA Women's World Cup"", 'id': 284944250, 'id_str': '284944250', 'indices': [3, 11]}, {'screen_name': 'FMF', 'name': 'Federación Mexicana de Fútbol', 'id': 90794394, 'id_str': '90794394', 'indices': [18, 22]}], 'urls': []}",en
1351964311141408769,2021-01-20 18:46:24,RT @FIFAWWC: Join @USWNT legend @CarliLloyd as she talks ⚽ and 🎧 alongside special guest @RachelPlatten in episode two of FIFA's #PlayOn Po…,0,16,"{'hashtags': [{'text': 'PlayOn', 'indices': [129, 136]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAWWC', 'name': ""FIFA Women's World Cup"", 'id': 284944250, 'id_str': '284944250', 'indices': [3, 11]}, {'screen_name': 'USWNT', 'name': 'U.S. Soccer WNT', 'id': 133448051, 'id_str': '133448051', 'indices': [18, 24]}, {'screen_name': 'CarliLloyd', 'name': 'Carli Lloyd', 'id': 110195330, 'id_str': '110195330', 'indices': [32, 43]}, {'screen_name': 'RachelPlatten', 'name': 'Rachel Platten', 'id': 20355988, 'id_str': '20355988', 'indices': [89, 103]}], 'urls': []}",en
1351963315413655556,2021-01-20 18:42:27,"RT @fifamedia: Mexico uses FIFA funding to help women’s football through the pandemic

➡️ https://t.co/97EhaD50w5",0,15,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fifamedia', 'name': 'FIFA Media', 'id': 284003990, 'id_str': '284003990', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/97EhaD50w5', 'expanded_url': 'https://www.fifa.com/who-we-are/news/mexico-uses-fifa-funding-to-help-women-s-football-through-the-pandemic', 'display_url': 'fifa.com/who-we-are/new…', 'indices': [90, 113]}]}",en
1351898741570232324,2021-01-20 14:25:51,"🗣️ ""Everyone involved in the 2013 Club World Cup has told me it's quite simply a wonderful event"" 

🔴 Hansi Flick i… https://t.co/I9rzUcoo44",116,13,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/I9rzUcoo44', 'expanded_url': 'https://twitter.com/i/web/status/1351898741570232324', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351895435913420800,2021-01-20 14:12:43,"RT @FIFAWWC: 🗣️ ""Women need to learn to take ourselves seriously and develop the best possible networks – just like men do. I’m convinced t…",0,16,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAWWC', 'name': ""FIFA Women's World Cup"", 'id': 284944250, 'id_str': '284944250', 'indices': [3, 11]}], 'urls': []}",en
1351876790197882882,2021-01-20 12:58:38,"RT @FIFAWorldCup: 🔙 #OnThisDay in 1983 one of the best players in history died, aged 49

💛 Garrincha's mind-blowing funeral – it began at t…",0,108,"{'hashtags': [{'text': 'OnThisDay', 'indices': [20, 30]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': 138372303, 'id_str': '138372303', 'indices': [3, 16]}], 'urls': []}",en
1351863716824952836,2021-01-20 12:06:41,"🚨 ⚽️ 🗳️

@KJ_Huntelaar | @s04 | @MarioMandzukic9 | @acmilan 

Which veteran striker will do better at his new club?",178,20,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KJ_Huntelaar', 'name': 'Klaas Jan Huntelaar', 'id': 455667047, 'id_str': '455667047', 'indices': [9, 22]}, {'screen_name': 's04', 'name': 'FC Schalke 04', 'id': 296163037, 'id_str': '296163037', 'indices': [25, 29]}, {'screen_name': 'MarioMandzukic9', 'name': 'Mario Mandžukić MM17', 'id': 1160766902, 'id_str': '1160766902', 'indices': [32, 48]}, {'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [51, 59]}], 'urls': []}",en
1351823783183659008,2021-01-20 09:28:00,"🥇 @Ronaldo 
🥈 @GeorgeWeahOff  
🥉 @alanshearer 

🔙 #OnThisDay in 1997 three magnificent strikers decorated the FIFA… https://t.co/E3o120KJ6G",657,75,"{'hashtags': [{'text': 'OnThisDay', 'indices': [50, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Ronaldo', 'name': 'Ronaldo Nazário', 'id': 2717886660, 'id_str': '2717886660', 'indices': [2, 10]}, {'screen_name': 'GeorgeWeahOff', 'name': 'George Weah', 'id': 2208781436, 'id_str': '2208781436', 'indices': [14, 28]}, {'screen_name': 'alanshearer', 'name': 'Alan Shearer', 'id': 3247497561, 'id_str': '3247497561', 'indices': [33, 45]}], 'urls': [{'url': 'https://t.co/E3o120KJ6G', 'expanded_url': 'https://twitter.com/i/web/status/1351823783183659008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351807054093156352,2021-01-20 08:21:31,"RT @FIFAWWC: 🇳🇴 An all-time great and ""woman of few words""
🇨🇦 A ""huge talent"" mentored by an ex-England coach 

🔎 We look closer at Hege Ri…",0,13,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FIFAWWC', 'name': ""FIFA Women's World Cup"", 'id': 284944250, 'id_str': '284944250', 'indices': [3, 11]}], 'urls': []}",en
1351803902241357829,2021-01-20 08:09:00,"👶 #OnThisDay in 1985, a 16-year-old Paolo Maldini made his professional debut for @acmilan 

⏩ 35+ years later he's… https://t.co/9qI8a7Cr1d",3527,518,"{'hashtags': [{'text': 'OnThisDay', 'indices': [2, 12]}], 'symbols': [], 'user_mentions': [{'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [82, 90]}], 'urls': [{'url': 'https://t.co/9qI8a7Cr1d', 'expanded_url': 'https://twitter.com/i/web/status/1351803902241357829', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
