id,created_at,text,favorites,retweets,entities,language
1351954634361987076,2021-01-20 18:07:57,"🆚 D. G. Sivasspor
🗓 21 Ocak Perşembe
🕖 19.00
📍 Yeni 4 Eylül Stadyumu
📲 #SVSvFB https://t.co/ExUhkIfIHw",28556,1009,"{'hashtags': [{'text': 'SVSvFB', 'indices': [71, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351954297022504960, 'id_str': '1351954297022504960', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EsMbRSqW4AAk-sc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMbRSqW4AAk-sc.jpg', 'url': 'https://t.co/ExUhkIfIHw', 'display_url': 'pic.twitter.com/ExUhkIfIHw', 'expanded_url': 'https://twitter.com/Fenerbahce/status/1351954634361987076/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]}",tr
1351946159984685058,2021-01-20 17:34:17,"📍 Sivas’tayız!

#SVSvFB https://t.co/b6ZBdovlx0",46380,1400,"{'hashtags': [{'text': 'SVSvFB', 'indices': [16, 23]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351945459661680640, 'id_str': '1351945459661680640', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EsMTO47WMAAQ4il.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMTO47WMAAQ4il.jpg', 'url': 'https://t.co/b6ZBdovlx0', 'display_url': 'pic.twitter.com/b6ZBdovlx0', 'expanded_url': 'https://twitter.com/Fenerbahce/status/1351946159984685058/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 961, 'resize': 'fit'}, 'small': {'w': 680, 'h': 545, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1641, 'resize': 'fit'}}}]}",tr
1351896643155668999,2021-01-20 14:17:31,"D.G. Sivasspor maçı kamp kadromuz. 

#SVSvFB https://t.co/OG7cye8jqG",39406,1107,"{'hashtags': [{'text': 'SVSvFB', 'indices': [37, 44]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351896553536040962, 'id_str': '1351896553536040962', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/media/EsLmwLaXMAI_JtD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLmwLaXMAI_JtD.jpg', 'url': 'https://t.co/OG7cye8jqG', 'display_url': 'pic.twitter.com/OG7cye8jqG', 'expanded_url': 'https://twitter.com/Fenerbahce/status/1351896643155668999/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",tr
1351889842242793477,2021-01-20 13:50:29,D.G. Sivasspor maçı hazırlıklarımızı tamamladık. ✅ https://t.co/UHfmA06Qbw,40206,968,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351889634314301441, 'id_str': '1351889634314301441', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EsLgdbTWMAEKcxT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLgdbTWMAEKcxT.jpg', 'url': 'https://t.co/UHfmA06Qbw', 'display_url': 'pic.twitter.com/UHfmA06Qbw', 'expanded_url': 'https://twitter.com/Fenerbahce/status/1351889842242793477/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 514, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1548, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 907, 'resize': 'fit'}}}]}",tr
1351865839323127808,2021-01-20 12:15:07,Gelişim Laboratuvarları'na teşekkürlerimizle. https://t.co/nTxnStGjC2,29840,622,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351865772956655618, 'id_str': '1351865772956655618', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/media/EsLKwg0XIAIfS-h.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLKwg0XIAIfS-h.jpg', 'url': 'https://t.co/nTxnStGjC2', 'display_url': 'pic.twitter.com/nTxnStGjC2', 'expanded_url': 'https://twitter.com/Fenerbahce/status/1351865839323127808/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",tr
1351831278048473089,2021-01-20 09:57:47,📲 Taraftarımızın attıkları adımlar Help Steps’le Kulübümüze bağış oluyor. 👇,26183,688,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",tr
1351778988700561408,2021-01-20 06:30:00,Bugün futbolcumuz Attila Szalai'nin doğum günü. Mutlu yıllar Attila Szalai! 🎂 🎉 https://t.co/t4sG8tHpMB,80237,1554,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351596305404059649, 'id_str': '1351596305404059649', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/EsHVrb9W4AE3Rhr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHVrb9W4AE3Rhr.jpg', 'url': 'https://t.co/t4sG8tHpMB', 'display_url': 'pic.twitter.com/t4sG8tHpMB', 'expanded_url': 'https://twitter.com/Fenerbahce/status/1351778988700561408/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",tr
1351771438957568002,2021-01-20 06:00:00,Günaydın Büyük Fenerbahçe Taraftarı! 💛💙 https://t.co/pi4dNajrmX,60617,1497,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351593509443272704, 'id_str': '1351593509443272704', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/media/EsHTIsMXAAA8sAp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHTIsMXAAA8sAp.jpg', 'url': 'https://t.co/pi4dNajrmX', 'display_url': 'pic.twitter.com/pi4dNajrmX', 'expanded_url': 'https://twitter.com/Fenerbahce/status/1351771438957568002/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}}]}",tr
1351615069541568513,2021-01-19 19:38:39,Tebrikler @fbkadinbasket 💪 https://t.co/oSfeLS6Tqw,39901,888,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fbkadinbasket', 'name': 'Fenerbahçe Öznur Kablo', 'id': 1050740565267091461, 'id_str': '1050740565267091461', 'indices': [10, 24]}], 'urls': [{'url': 'https://t.co/oSfeLS6Tqw', 'expanded_url': 'https://twitter.com/fbkadinbasket/status/1351614112674050053', 'display_url': 'twitter.com/fbkadinbasket/…', 'indices': [27, 50]}]}",tr
1351600708995461124,2021-01-19 18:41:35,Ayak bileğinde kırık oluşan Trabzonspor Kulübü futbolcusu Abdülkadir Ömür’e geçmiş olsun dileklerimizi iletiyor; en… https://t.co/poFykiBCO2,87866,2582,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/poFykiBCO2', 'expanded_url': 'https://twitter.com/i/web/status/1351600708995461124', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
