id,created_at,text,favorites,retweets,entities,language
1351964784778948609,2021-01-20 18:48:17,"É dia de celebrarmos São Sebastião, padroeiro da nossa cidade! 🙏 

#CRF https://t.co/KvxJjmJMRG",3793,350,"{'hashtags': [{'text': 'CRF', 'indices': [67, 71]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351964780140093441, 'id_str': '1351964780140093441', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/EsMkzfUW4AEUdrX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMkzfUW4AEUdrX.jpg', 'url': 'https://t.co/KvxJjmJMRG', 'display_url': 'pic.twitter.com/KvxJjmJMRG', 'expanded_url': 'https://twitter.com/Flamengo/status/1351964784778948609/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",pt
1351955706044407810,2021-01-20 18:12:13,"Boa tarde, Nação! O Flamengo já está no aquecimento para encarar o Fluminense, às 15h30, nas Laranjeiras, pela Semi… https://t.co/qz6QFRd6HN",2131,75,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qz6QFRd6HN', 'expanded_url': 'https://twitter.com/i/web/status/1351955706044407810', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351694541951291393,2021-01-20 00:54:26,"É quinta-feira, Nação!

O Mengão enfrenta o Palmeiras, no Mané Garrincha, às 19h, pelo Brasileirão, e a #FLATV tran… https://t.co/uVcavXJHVP",4288,269,"{'hashtags': [{'text': 'FLATV', 'indices': [104, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uVcavXJHVP', 'expanded_url': 'https://twitter.com/i/web/status/1351694541951291393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351691502968328195,2021-01-20 00:42:22,"Quando o homem fala... esquece! 😂 Pode levantar a plaquinha! 💪
@gabigol #CRF https://t.co/cF3V6Thtvx",8696,638,"{'hashtags': [{'text': 'CRF', 'indices': [72, 76]}], 'symbols': [], 'user_mentions': [{'screen_name': 'gabigol', 'name': 'Gabi', 'id': 189307961, 'id_str': '189307961', 'indices': [63, 71]}], 'urls': [], 'media': [{'id': 1351691462707191809, 'id_str': '1351691462707191809', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351691462707191809/pu/img/vrFHPf8WBaAMd4iD.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351691462707191809/pu/img/vrFHPf8WBaAMd4iD.jpg', 'url': 'https://t.co/cF3V6Thtvx', 'display_url': 'pic.twitter.com/cF3V6Thtvx', 'expanded_url': 'https://twitter.com/Flamengo/status/1351691502968328195/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",pt
1351685618552737793,2021-01-20 00:18:59,"Boa noite, Nação! Confira na #FLATV os bastidores da vitória do Mengão sobre o Goiás por 3 a 0, pelo Brasileirão:… https://t.co/XnQZ14DvuE",1730,94,"{'hashtags': [{'text': 'FLATV', 'indices': [29, 35]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XnQZ14DvuE', 'expanded_url': 'https://twitter.com/i/web/status/1351685618552737793', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",pt
1351671198699171843,2021-01-19 23:21:41,"Nesta terça-feira, no CT do Brasiliense, o Mengão iniciou a preparação para a partida contra o Palmeiras. 💪 #CRF… https://t.co/KREqdaQ1W0",5029,225,"{'hashtags': [{'text': 'CRF', 'indices': [108, 112]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KREqdaQ1W0', 'expanded_url': 'https://twitter.com/i/web/status/1351671198699171843', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",pt
1351653899334262785,2021-01-19 22:12:56,RT @TimeFlamengo: VAMOS BUSCAR MAIS UM TÍTULO NA TEMPORADA! #FlaBasquete #NaçãoBRB https://t.co/oRYEoySinP,0,110,"{'hashtags': [{'text': 'FlaBasquete', 'indices': [60, 72]}, {'text': 'NaçãoBRB', 'indices': [73, 82]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TimeFlamengo', 'name': 'Time Flamengo', 'id': 806479058544500736, 'id_str': '806479058544500736', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1351653567220899841, 'id_str': '1351653567220899841', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351653567220899841/pu/img/q72wJhb70AjyCnSJ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351653567220899841/pu/img/q72wJhb70AjyCnSJ.jpg', 'url': 'https://t.co/oRYEoySinP', 'display_url': 'pic.twitter.com/oRYEoySinP', 'expanded_url': 'https://twitter.com/TimeFlamengo/status/1351653683499560967/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1351653683499560967, 'source_status_id_str': '1351653683499560967', 'source_user_id': 806479058544500736, 'source_user_id_str': '806479058544500736'}]}",pt
1351650201199493121,2021-01-19 21:58:15,"VAMOOOOOOS! MENGOOOOOOOO! 

#FlaBasquete ❤️🖤 https://t.co/50stE97qNJ",2884,181,"{'hashtags': [{'text': 'FlaBasquete', 'indices': [28, 40]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/50stE97qNJ', 'expanded_url': 'https://twitter.com/TimeFlamengo/status/1351648388048166912', 'display_url': 'twitter.com/TimeFlamengo/s…', 'indices': [45, 68]}]}",es
1351617731012014098,2021-01-19 19:49:13,"RT @TimeFlamengo: Quero ver todo mundo prestigiando o #FlaBasquete na FlaTV, hein?

Nossa transmissão já começou: https://t.co/CedEufe3Uw #…",0,47,"{'hashtags': [{'text': 'FlaBasquete', 'indices': [54, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TimeFlamengo', 'name': 'Time Flamengo', 'id': 806479058544500736, 'id_str': '806479058544500736', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/CedEufe3Uw', 'expanded_url': 'http://bit.ly/3p3qTTW', 'display_url': 'bit.ly/3p3qTTW', 'indices': [114, 137]}]}",pt
1351614378383175683,2021-01-19 19:35:54,RT @TimeFlamengo: NOSSO TIME É A GENTE EM QUADRA! O #FlaBasquete está escalado para enfrentar o Bauru pela semifinal do Super 8. Vamos com…,0,78,"{'hashtags': [{'text': 'FlaBasquete', 'indices': [52, 64]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TimeFlamengo', 'name': 'Time Flamengo', 'id': 806479058544500736, 'id_str': '806479058544500736', 'indices': [3, 16]}], 'urls': []}",pt
