id,created_at,text,favorites,retweets,entities,language
1351978356770811904,2021-01-20 19:42:13,"🤜🤛

#GSvDNZ https://t.co/iLJXcJvZDM",7501,225,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [4, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351978344439549956, 'id_str': '1351978344439549956', 'indices': [12, 35], 'media_url': 'http://pbs.twimg.com/media/EsMxJCRXEAQPpq6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMxJCRXEAQPpq6.jpg', 'url': 'https://t.co/iLJXcJvZDM', 'display_url': 'pic.twitter.com/iLJXcJvZDM', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351978356770811904/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1001, 'resize': 'fit'}, 'small': {'w': 680, 'h': 567, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 1335, 'resize': 'fit'}}}]}",und
1351974838320177153,2021-01-20 19:28:14,"Teknik Direktörümüz Fatih Terim'den açıklamalar #GSvDNZ

Detaylar için 👉 https://t.co/DwxtMsPa9J https://t.co/3vXVdpPHhc",3993,115,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [48, 55]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DwxtMsPa9J', 'expanded_url': 'https://www.galatasaray.org/haber/futbol/teknik-direktorumuz-fatih-terimden-aciklamalar/47957', 'display_url': 'galatasaray.org/haber/futbol/t…', 'indices': [73, 96]}], 'media': [{'id': 1351974833182142464, 'id_str': '1351974833182142464', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EsMt8p0W8AAlhE-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMt8p0W8AAlhE-.jpg', 'url': 'https://t.co/3vXVdpPHhc', 'display_url': 'pic.twitter.com/3vXVdpPHhc', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351974838320177153/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1100, 'h': 628, 'resize': 'fit'}, 'large': {'w': 1100, 'h': 628, 'resize': 'fit'}, 'small': {'w': 680, 'h': 388, 'resize': 'fit'}}}]}",tr
1351972737380741126,2021-01-20 19:19:53,"💬 @1_Muslera_25: ""Bugün güzel bir galibiyetle tekrar sahalara döndüm. Bu süreçte herkese teşekkür etmek istiyorum.’… https://t.co/rmNbetTyxS",6184,242,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '1_Muslera_25', 'name': 'Fernando Muslera', 'id': 318385857, 'id_str': '318385857', 'indices': [2, 15]}], 'urls': [{'url': 'https://t.co/rmNbetTyxS', 'expanded_url': 'https://twitter.com/i/web/status/1351972737380741126', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351970176909107200,2021-01-20 19:09:43,"💬 @Ryan_Donk18: ""Maç boyunca ve özellikle ikinci yarıda çok imkan bulduk. Takım olarak iyi bir reaksiyon gösterdik.… https://t.co/1ZqqghH2ee",3654,92,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ryan_Donk18', 'name': 'Ryan Donk', 'id': 73674644, 'id_str': '73674644', 'indices': [2, 14]}], 'urls': [{'url': 'https://t.co/1ZqqghH2ee', 'expanded_url': 'https://twitter.com/i/web/status/1351970176909107200', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351966302169157636,2021-01-20 18:54:19,"💬 @sffeghouli: ""Bu akşam attığım golü eşime ve çocuğuma armağan ediyorum.” #GSvDNZ 

Detaylar için 👉… https://t.co/ZL45g3COgs",5508,140,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [75, 82]}], 'symbols': [], 'user_mentions': [{'screen_name': 'sffeghouli', 'name': 'Sofiane Feghouli', 'id': 742290191029788672, 'id_str': '742290191029788672', 'indices': [2, 13]}], 'urls': [{'url': 'https://t.co/ZL45g3COgs', 'expanded_url': 'https://twitter.com/i/web/status/1351966302169157636', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]}",tr
1351960495847301120,2021-01-20 18:31:15,📸 Türk Telekom Stadyumu’ndaki resmi maçlarda attığımız 5️⃣0️⃣0️⃣. golün anı ve @JesseSekidika'nın ardından yaşadığı… https://t.co/3WjqW5h2RW,9970,329,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JesseSekidika', 'name': 'Jesse Sekidika', 'id': 3058907199, 'id_str': '3058907199', 'indices': [79, 93]}], 'urls': [{'url': 'https://t.co/3WjqW5h2RW', 'expanded_url': 'https://twitter.com/i/web/status/1351960495847301120', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351958873129807872,2021-01-20 18:24:48,5️⃣. golümüzün ardından @ynsbelhanda ve bizim takım! 📸 #GSvDNZ https://t.co/gNrXw9TzQs,8718,224,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [55, 62]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ynsbelhanda', 'name': 'Younes Belhanda', 'id': 3079178453, 'id_str': '3079178453', 'indices': [24, 36]}], 'urls': [], 'media': [{'id': 1351958554702471175, 'id_str': '1351958554702471175', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EsMfJHwXYAcbleD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMfJHwXYAcbleD.jpg', 'url': 'https://t.co/gNrXw9TzQs', 'display_url': 'pic.twitter.com/gNrXw9TzQs', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351958873129807872/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 578, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1740, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1020, 'h': 1200, 'resize': 'fit'}}}]}",tr
1351956066259578882,2021-01-20 18:13:38,📸 #GSvDNZ https://t.co/Wo2DCA3W9b,5200,133,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [2, 9]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351955875301355523, 'id_str': '1351955875301355523', 'indices': [10, 33], 'media_url': 'http://pbs.twimg.com/media/EsMctKNW8AMWuV2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMctKNW8AMWuV2.jpg', 'url': 'https://t.co/Wo2DCA3W9b', 'display_url': 'pic.twitter.com/Wo2DCA3W9b', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351956066259578882/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1229, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 408, 'h': 680, 'resize': 'fit'}}}]}",und
1351956052829491210,2021-01-20 18:13:35,📸 Karşılaşmanın ikinci yarısından kareler. #GSvDNZ https://t.co/96y6fF3uIO,8056,181,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [43, 50]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351955612133957632, 'id_str': '1351955612133957632', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EsMcd11XIAAYCkE.png', 'media_url_https': 'https://pbs.twimg.com/media/EsMcd11XIAAYCkE.png', 'url': 'https://t.co/96y6fF3uIO', 'display_url': 'pic.twitter.com/96y6fF3uIO', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351956052829491210/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 364, 'h': 575, 'resize': 'fit'}, 'medium': {'w': 364, 'h': 575, 'resize': 'fit'}, 'small': {'w': 364, 'h': 575, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",tr
1351955770187853829,2021-01-20 18:12:28,"⚽️ Galatasarayımızın, Türk Telekom Stadyumu’ndaki resmi maçlarda attığı 500. gol Jesse Sekidika'nın ayağından geldi… https://t.co/w1KwNGbRy1",18695,677,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/w1KwNGbRy1', 'expanded_url': 'https://twitter.com/i/web/status/1351955770187853829', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351953157845299200,2021-01-20 18:02:05,"8️⃣0️⃣2️⃣ 👏

Teknik direktörümüz Fatih Terim, Yukatel Denizlispor maçıyla birlikte Galatasaray'ın başında 380. lig… https://t.co/wdI9SDj84t",17546,1519,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wdI9SDj84t', 'expanded_url': 'https://twitter.com/i/web/status/1351953157845299200', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",tr
1351953004560318465,2021-01-20 18:01:29,Babel'in pasıyla topla buluşan Sekidika sağ çaprazdan sert ve isabetli bir şut atıyor ve skoru 6-1'e getiren golü b… https://t.co/zH1o2qKWFs,7191,182,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zH1o2qKWFs', 'expanded_url': 'https://twitter.com/i/web/status/1351953004560318465', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351951365518594053,2021-01-20 17:54:58,Maç sonucu: Galatasaray 6-1 Yukatel Denizlispor #GSvDNZ 👏💪 https://t.co/CFAq9LaALA,25268,1821,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [48, 55]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351951310241804288, 'id_str': '1351951310241804288', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/EsMYjcCWMAAQuhc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMYjcCWMAAQuhc.jpg', 'url': 'https://t.co/CFAq9LaALA', 'display_url': 'pic.twitter.com/CFAq9LaALA', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351951365518594053/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 388, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1100, 'h': 628, 'resize': 'fit'}, 'large': {'w': 1100, 'h': 628, 'resize': 'fit'}}}]}",tr
1351951112438489089,2021-01-20 17:53:57,"⏱ 90+2’

⚽ GOOOOOOOOOOOOOOLLLL!! 💪
⚽ GOOOOOOOOOOOOOOLLLL!! 💪
⚽ GOOOOOOOOOOOOOOLLLL!! 💪
⚽ GOOOOOOOOOOOOOOLLLL!! 💪
⚽… https://t.co/4bLLbWzsRh",8613,409,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4bLLbWzsRh', 'expanded_url': 'https://twitter.com/i/web/status/1351951112438489089', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",tr
1351950304913354754,2021-01-20 17:50:45,Karşılaşmanın sonuna 3 dakika uzatma ilave edildi. #GSvDNZ,5945,73,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [51, 58]}], 'symbols': [], 'user_mentions': [], 'urls': []}",tr
1351949371668094984,2021-01-20 17:47:02,"☝️ 𝑹𝒚𝒂𝒏 𝑯𝒆𝒏𝒌 𝑫𝒐𝒏𝒌! ☝️ 

#GSvDNZ https://t.co/EmQ7DTJrh4",11926,320,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [24, 31]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351946404105756672, 'id_str': '1351946404105756672', 'indices': [32, 55], 'media_url': 'http://pbs.twimg.com/media/EsMUF3QXIAA3V90.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMUF3QXIAA3V90.jpg', 'url': 'https://t.co/EmQ7DTJrh4', 'display_url': 'pic.twitter.com/EmQ7DTJrh4', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351949371668094984/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1985, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 659, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1163, 'h': 1200, 'resize': 'fit'}}}]}",in
1351948923611582469,2021-01-20 17:45:16,🔃 #GSvDNZ https://t.co/TZSDewZ8Fz,2522,51,"{'hashtags': [{'text': 'GSvDNZ', 'indices': [2, 9]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351948715272114177, 'id_str': '1351948715272114177', 'indices': [10, 33], 'media_url': 'http://pbs.twimg.com/media/EsMWMZBXEAEGATW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMWMZBXEAEGATW.jpg', 'url': 'https://t.co/TZSDewZ8Fz', 'display_url': 'pic.twitter.com/TZSDewZ8Fz', 'expanded_url': 'https://twitter.com/GalatasaraySK/status/1351948923611582469/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 800, 'h': 1000, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 1000, 'resize': 'fit'}}}]}",und
