id,created_at,text,favorites,retweets,entities,language
1351867288564105220,2021-01-20 12:20:52,"RT @StarSportsIndia: Which superstars will be retained by their #IPL teams? 🤔

Share your picks 👇 and catch 𝐭𝐡𝐞 𝐛𝐢𝐠 𝐫𝐞𝐯𝐞𝐚𝐥 𝐨𝐟 𝐭𝐡𝐞 𝐫𝐞𝐭𝐞𝐧𝐭𝐢𝐨𝐧…",0,213,"{'hashtags': [{'text': 'IPL', 'indices': [64, 68]}], 'symbols': [], 'user_mentions': [{'screen_name': 'StarSportsIndia', 'name': 'Star Sports', 'id': 1026332905, 'id_str': '1026332905', 'indices': [3, 19]}], 'urls': []}",en
1337002150866513923,2020-12-10 11:52:07,"Howzzaat! Dream11 IPL 🏆 emerges as Top Google Trend 📈 of 2020 in India 🇮🇳, also ranked No.5 Globally 🌏

More detail… https://t.co/utaf4Efu2D",6607,208,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/utaf4Efu2D', 'expanded_url': 'https://twitter.com/i/web/status/1337002150866513923', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1335082402532577280,2020-12-05 04:43:44,"Most fours in IPL 👍
Only batsman to score 2 successive IPL tons 👌

Here's wishing Delhi Capitals' @SDhawan25 a very… https://t.co/YmB8LamZ90",4182,108,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SDhawan25', 'name': 'Shikhar Dhawan', 'id': 2911000602, 'id_str': '2911000602', 'indices': [98, 108]}], 'urls': [{'url': 'https://t.co/YmB8LamZ90', 'expanded_url': 'https://twitter.com/i/web/status/1335082402532577280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1331092681087324160,2020-11-24 04:30:00,"🔶 Most hat-tricks in IPL 
🔶 Leading Indian wicket-taker in IPL

Here's wishing @MishiAmit a very happy birthday 🎂👏 https://t.co/iTaUBUTmQ8",9818,168,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MishiAmit', 'name': 'Amit Mishra', 'id': 138330579, 'id_str': '138330579', 'indices': [79, 89]}], 'urls': [], 'media': [{'id': 1330938581922168838, 'id_str': '1330938581922168838', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/EnhxlrFVQAYBy8a.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnhxlrFVQAYBy8a.jpg', 'url': 'https://t.co/iTaUBUTmQ8', 'display_url': 'pic.twitter.com/iTaUBUTmQ8', 'expanded_url': 'https://twitter.com/IPL/status/1331092681087324160/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 932, 'h': 659, 'resize': 'fit'}, 'large': {'w': 932, 'h': 659, 'resize': 'fit'}, 'small': {'w': 680, 'h': 481, 'resize': 'fit'}}}]}",en
1326948077261910016,2020-11-12 18:00:49,RT @ImRo45: Have to admire the commitment &amp; discipline shown by @ipl and @BCCI crew for the smooth and safe conduct of the #IPL2020. Also a…,0,5262,"{'hashtags': [{'text': 'IPL2020', 'indices': [127, 135]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ImRo45', 'name': 'Rohit Sharma', 'id': 121046433, 'id_str': '121046433', 'indices': [3, 10]}, {'screen_name': 'IPL', 'name': 'IndianPremierLeague', 'id': 15639696, 'id_str': '15639696', 'indices': [68, 72]}, {'screen_name': 'BCCI', 'name': 'BCCI', 'id': 185142711, 'id_str': '185142711', 'indices': [77, 82]}], 'urls': []}",en
1326366539147214848,2020-11-11 03:30:00,"Best IPL score by an Indian, two successive hundreds, stunning saves and @mipaltan lifting the trophy 🏆 for the fif… https://t.co/YQSOMgO2kN",4727,302,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mipaltan', 'name': 'Mumbai Indians', 'id': 106345557, 'id_str': '106345557', 'indices': [73, 82]}], 'urls': [{'url': 'https://t.co/YQSOMgO2kN', 'expanded_url': 'https://twitter.com/i/web/status/1326366539147214848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1326288080060379136,2020-11-10 22:18:14,"The only team and the captain to win 5⃣ IPL titles 🔝👌

Congratulations to @mipaltan and @ImRo45  👊💪

#Dream11IPL https://t.co/rSb1uLjumz",11065,815,"{'hashtags': [{'text': 'Dream11IPL', 'indices': [101, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mipaltan', 'name': 'Mumbai Indians', 'id': 106345557, 'id_str': '106345557', 'indices': [74, 83]}, {'screen_name': 'ImRo45', 'name': 'Rohit Sharma', 'id': 121046433, 'id_str': '121046433', 'indices': [88, 95]}], 'urls': [], 'media': [{'id': 1326287506598289410, 'id_str': '1326287506598289410', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EmfrddTUYAISgwP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmfrddTUYAISgwP.jpg', 'url': 'https://t.co/rSb1uLjumz', 'display_url': 'pic.twitter.com/rSb1uLjumz', 'expanded_url': 'https://twitter.com/IPL/status/1326288080060379136/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",en
1326287055702224896,2020-11-10 22:14:09,"Presenting the Orange Cap and Purple Cap winners of the #Dream11IPL.

Congratulations to @klrahul11 and… https://t.co/mXQ1iSwsqv",4036,223,"{'hashtags': [{'text': 'Dream11IPL', 'indices': [56, 67]}], 'symbols': [], 'user_mentions': [{'screen_name': 'klrahul11', 'name': 'K L Rahul', 'id': 1469065189, 'id_str': '1469065189', 'indices': [89, 99]}], 'urls': [{'url': 'https://t.co/mXQ1iSwsqv', 'expanded_url': 'https://twitter.com/i/web/status/1326287055702224896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",en
1326285156227821569,2020-11-10 22:06:37,".@lionsdenkxip's Mr. Consistent, @klrahul11 notched 9️⃣7️⃣6️⃣ IPL Fantasy Points and he is the @Dream11 GameChanger… https://t.co/tls4y9uqBZ",5569,219,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lionsdenkxip', 'name': 'Kings XI Punjab', 'id': 30631766, 'id_str': '30631766', 'indices': [1, 14]}, {'screen_name': 'klrahul11', 'name': 'K L Rahul', 'id': 1469065189, 'id_str': '1469065189', 'indices': [33, 43]}, {'screen_name': 'Dream11', 'name': 'Dream11', 'id': 22738536, 'id_str': '22738536', 'indices': [95, 103]}], 'urls': [{'url': 'https://t.co/tls4y9uqBZ', 'expanded_url': 'https://twitter.com/i/web/status/1326285156227821569', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1326284522871169024,2020-11-10 22:04:06,"1️⃣5️⃣ matches
4️⃣7️⃣3️⃣ runs
5⃣ Half-centuries
7️⃣4️⃣ - Highest Score

@devdpd07 is Emerging Player of the… https://t.co/VtaNyFdTwH",3582,226,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'devdpd07', 'name': 'Devdutt Padikkal', 'id': 4659508754, 'id_str': '4659508754', 'indices': [72, 81]}], 'urls': [{'url': 'https://t.co/VtaNyFdTwH', 'expanded_url': 'https://twitter.com/i/web/status/1326284522871169024', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",en
1326279107139694593,2020-11-10 21:42:34,Happy that we gave people something to cheer for: @mipaltan' five-time IPL winning captain @ImRo45  👏🙌🏆… https://t.co/mLNc6mRvip,12883,983,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mipaltan', 'name': 'Mumbai Indians', 'id': 106345557, 'id_str': '106345557', 'indices': [50, 59]}, {'screen_name': 'ImRo45', 'name': 'Rohit Sharma', 'id': 121046433, 'id_str': '121046433', 'indices': [91, 98]}], 'urls': [{'url': 'https://t.co/mLNc6mRvip', 'expanded_url': 'https://twitter.com/i/web/status/1326279107139694593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",en
