id,created_at,text,favorites,retweets,entities,language
1351960138446462984,2021-01-20 18:29:49,Deepest condolences on behalf of Liverpool FC ❤️ https://t.co/VHmD3Z1wRk,1952,87,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VHmD3Z1wRk', 'expanded_url': 'https://twitter.com/OfficialPVFC/status/1351854621476712449', 'display_url': 'twitter.com/OfficialPVFC/s…', 'indices': [49, 72]}]}",en
1351956407206244358,2021-01-20 18:15:00,"Just beautiful, @JHenderson ✖️ @DanielSturridge 😍 

#LIVBUR https://t.co/Y6dZO42wAb",2191,144,"{'hashtags': [{'text': 'LIVBUR', 'indices': [52, 59]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JHenderson', 'name': 'Jordan Henderson', 'id': 3025450914, 'id_str': '3025450914', 'indices': [16, 27]}, {'screen_name': 'DanielSturridge', 'name': 'Daniel Sturridge', 'id': 268400722, 'id_str': '268400722', 'indices': [31, 47]}], 'urls': [], 'media': [{'id': 1351885228990750721, 'id_str': '1351885228990750721', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EsLdJS3W4AApgFO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLdJS3W4AApgFO.jpg', 'url': 'https://t.co/Y6dZO42wAb', 'display_url': 'pic.twitter.com/Y6dZO42wAb', 'expanded_url': 'https://twitter.com/LFC/status/1351956407206244358/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]}",en
1351937534465630208,2021-01-20 17:00:00,The latest team news from both sides ahead of #LIVBUR...,1438,89,"{'hashtags': [{'text': 'LIVBUR', 'indices': [46, 53]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351922441216524289,2021-01-20 16:00:02,Four fixture changes for February... 🗓️🔴 https://t.co/qe0SCReBQe,3990,377,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351910162341244931, 'id_str': '1351910162341244931', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/media/EsLzIUKXMAMvpdR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLzIUKXMAMvpdR.jpg', 'url': 'https://t.co/qe0SCReBQe', 'display_url': 'pic.twitter.com/qe0SCReBQe', 'expanded_url': 'https://twitter.com/LFC/status/1351922441216524289/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}",en
1351905624305655808,2021-01-20 14:53:12,"The boss previewed tomorrow's clash with @BurnleyOfficial in his #LIVBUR press conference. 

Here's what he had to say... 👇",1263,94,"{'hashtags': [{'text': 'LIVBUR', 'indices': [65, 72]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BurnleyOfficial', 'name': 'Burnley FC', 'id': 441309926, 'id_str': '441309926', 'indices': [41, 57]}], 'urls': []}",en
1351881982964346881,2021-01-20 13:19:16,The boss provides an update on Matip and Jota ahead of #LIVBUR...,1998,140,"{'hashtags': [{'text': 'LIVBUR', 'indices': [55, 62]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351877732276326400,2021-01-20 13:02:22,"It’s time to hear from Jürgen Klopp ahead of #LIVBUR 🎥

All the latest on team news and more… 🔴 https://t.co/f9uOsHZFvU",961,108,"{'hashtags': [{'text': 'LIVBUR', 'indices': [45, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f9uOsHZFvU', 'expanded_url': 'https://twitter.com/i/broadcasts/1mrxmwbrrrgGy', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [96, 119]}]}",en
1351874940740497408,2021-01-20 12:51:17,"Yes, lads! 🤩

@VirgilvDijk and @Thiago6 have been named in UEFA's Fans' Men's #TeamOfTheYear 💫 https://t.co/liPXhlayFP",15177,869,"{'hashtags': [{'text': 'TeamOfTheYear', 'indices': [78, 92]}], 'symbols': [], 'user_mentions': [{'screen_name': 'VirgilvDijk', 'name': 'Virgil van Dijk', 'id': 395305090, 'id_str': '395305090', 'indices': [14, 26]}, {'screen_name': 'Thiago6', 'name': 'Thiago Alcantara', 'id': 152987149, 'id_str': '152987149', 'indices': [31, 39]}], 'urls': [], 'media': [{'id': 1351874680140001282, 'id_str': '1351874680140001282', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EsLS2-qW8AIjKKd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLS2-qW8AIjKKd.jpg', 'url': 'https://t.co/liPXhlayFP', 'display_url': 'pic.twitter.com/liPXhlayFP', 'expanded_url': 'https://twitter.com/LFC/status/1351874940740497408/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351847691026800648,2021-01-20 11:03:00,"Here's the #LIVBUR matchday programme 😍👌

Get your copy 👇",3244,183,"{'hashtags': [{'text': 'LIVBUR', 'indices': [11, 18]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351832088375394307,2021-01-20 10:01:00,"""Jürgen Klopp could be an industry leader in whatever he did. Thank goodness he's manager of Liverpool Football Clu… https://t.co/T3tk5iwUji",1712,134,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/T3tk5iwUji', 'expanded_url': 'https://twitter.com/i/web/status/1351832088375394307', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351825720864083969,2021-01-20 09:35:42,"An 𝒖𝒏𝒇𝒐𝒓𝒈𝒆𝒕𝒕𝒂𝒃𝒍𝒆 @JHenderson goal against tomorrow's opponents... 🤩👌

#LIVBUR https://t.co/XbCSqZcint",2934,189,"{'hashtags': [{'text': 'LIVBUR', 'indices': [70, 77]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JHenderson', 'name': 'Jordan Henderson', 'id': 3025450914, 'id_str': '3025450914', 'indices': [17, 28]}], 'urls': [], 'media': [{'id': 1351597033300361222, 'id_str': '1351597033300361222', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/EsKgucTXcAEWOk-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKgucTXcAEWOk-.jpg', 'url': 'https://t.co/XbCSqZcint', 'display_url': 'pic.twitter.com/XbCSqZcint', 'expanded_url': 'https://twitter.com/LFC/status/1351825720864083969/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]}",en
1351792074169995264,2021-01-20 07:22:00,"Next up, we're back at Anfield against @BurnleyOfficial 👊🔴 #LIVBUR https://t.co/Of4WNeL9qR",8515,546,"{'hashtags': [{'text': 'LIVBUR', 'indices': [59, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BurnleyOfficial', 'name': 'Burnley FC', 'id': 441309926, 'id_str': '441309926', 'indices': [39, 55]}], 'urls': [], 'media': [{'id': 1351159342435885064, 'id_str': '1351159342435885064', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EsBIQ2DXYAgNz8T.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsBIQ2DXYAgNz8T.jpg', 'url': 'https://t.co/Of4WNeL9qR', 'display_url': 'pic.twitter.com/Of4WNeL9qR', 'expanded_url': 'https://twitter.com/LFC/status/1351792074169995264/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1351583198044569600,2021-01-19 17:32:00,"Phenomenal football 🤩

We enjoyed this one vs @NorwichCityFC, eight years ago today... 👌 https://t.co/e93HxX1oUP",2917,232,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NorwichCityFC', 'name': 'Νόριτς Σίτι', 'id': 187572312, 'id_str': '187572312', 'indices': [46, 60]}], 'urls': [], 'media': [{'id': 1351539256825704452, 'id_str': '1351539256825704452', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EsGl8BBXMAAlxRd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGl8BBXMAAlxRd.jpg', 'url': 'https://t.co/e93HxX1oUP', 'display_url': 'pic.twitter.com/e93HxX1oUP', 'expanded_url': 'https://twitter.com/LFC/status/1351583198044569600/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]}",en
1351563820574121987,2021-01-19 16:15:00,Those numbers 🤩 https://t.co/7zanC9qwkT,16091,985,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351493100292739077, 'id_str': '1351493100292739077', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EsF30G9XEAU0MDD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsF30G9XEAU0MDD.jpg', 'url': 'https://t.co/7zanC9qwkT', 'display_url': 'pic.twitter.com/7zanC9qwkT', 'expanded_url': 'https://twitter.com/LFC/status/1351563820574121987/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 576, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}}}]}",en
