id,created_at,text,favorites,retweets,entities,language
1351983370310459392,2021-01-20 20:02:08,"💚 Qué bonito es el Benito Villamarín, @RealBetis...

#RealBetisCelta 
#LaLigaSantander 
#HayQueVivirla https://t.co/eODna1IHX4",74,13,"{'hashtags': [{'text': 'RealBetisCelta', 'indices': [53, 68]}, {'text': 'LaLigaSantander', 'indices': [70, 86]}, {'text': 'HayQueVivirla', 'indices': [88, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RealBetis', 'name': 'Real Betis Balompié 🌴💚', 'id': 296756458, 'id_str': '296756458', 'indices': [38, 48]}], 'urls': [], 'media': [{'id': 1351982538454085638, 'id_str': '1351982538454085638', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/media/EsM09KMWMAYqs4B.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsM09KMWMAYqs4B.jpg', 'url': 'https://t.co/eODna1IHX4', 'display_url': 'pic.twitter.com/eODna1IHX4', 'expanded_url': 'https://twitter.com/LaLiga/status/1351983370310459392/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}}]}",es
1351981523092852738,2021-01-20 19:54:48,"FINAL #GetafeHuesca 1-0

¡El @GetafeCF consigue su segunda victoria consecutiva! 🔥

#ResultadosLS 
#LaLigaSantander… https://t.co/fBG4Azl0mI",97,19,"{'hashtags': [{'text': 'GetafeHuesca', 'indices': [6, 19]}, {'text': 'ResultadosLS', 'indices': [84, 97]}, {'text': 'LaLigaSantander', 'indices': [99, 115]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GetafeCF', 'name': 'Getafe C.F.', 'id': 3511605017, 'id_str': '3511605017', 'indices': [29, 38]}], 'urls': [{'url': 'https://t.co/fBG4Azl0mI', 'expanded_url': 'https://twitter.com/i/web/status/1351981523092852738', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351980399354916868,2021-01-20 19:50:20,"🌟🇲🇽 @DiegoLainez10 🇲🇽🌟

#RealBetisCelta
#LaLigaSantander 
#HayQueVivirla https://t.co/C8xGEyo9oO",130,13,"{'hashtags': [{'text': 'RealBetisCelta', 'indices': [24, 39]}, {'text': 'LaLigaSantander', 'indices': [40, 56]}, {'text': 'HayQueVivirla', 'indices': [58, 72]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DiegoLainez10', 'name': 'Diego Lainez Leyva', 'id': 580500889, 'id_str': '580500889', 'indices': [4, 18]}], 'urls': [], 'media': [{'id': 1351979914728243201, 'id_str': '1351979914728243201', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/EsMypFmW4AAp-Qq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMypFmW4AAp-Qq.jpg', 'url': 'https://t.co/C8xGEyo9oO', 'display_url': 'pic.twitter.com/C8xGEyo9oO', 'expanded_url': 'https://twitter.com/LaLiga/status/1351980399354916868/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",und
1351977211058917378,2021-01-20 19:37:40,"RT @GranadaCdeF: 🔴⚪️ Once del #Granada 🆚 @VillarrealCF 

#VillarrealGranada #EternaLucha https://t.co/MJ0dbaU8Ud",0,52,"{'hashtags': [{'text': 'Granada', 'indices': [30, 38]}, {'text': 'VillarrealGranada', 'indices': [57, 75]}, {'text': 'EternaLucha', 'indices': [76, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GranadaCdeF', 'name': 'Granada CF ❤️⚪️', 'id': 188263011, 'id_str': '188263011', 'indices': [3, 15]}, {'screen_name': 'VillarrealCF', 'name': 'Villarreal CF', 'id': 46862437, 'id_str': '46862437', 'indices': [41, 54]}], 'urls': [], 'media': [{'id': 1351977052287754240, 'id_str': '1351977052287754240', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EsMv90oXYAA3kGB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMv90oXYAA3kGB.jpg', 'url': 'https://t.co/MJ0dbaU8Ud', 'display_url': 'pic.twitter.com/MJ0dbaU8Ud', 'expanded_url': 'https://twitter.com/GranadaCdeF/status/1351977053969645568/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}}, 'source_status_id': 1351977053969645568, 'source_status_id_str': '1351977053969645568', 'source_user_id': 188263011, 'source_user_id_str': '188263011'}]}",en
1351977197460987911,2021-01-20 19:37:37,"RT @VillarrealCF: ¡El once del Submarino para el #VillarrealGranada 💪!

👉 Comenzamos a las 21.30h (Estadio de la Cerámica, en directo por @…",0,41,"{'hashtags': [{'text': 'VillarrealGranada', 'indices': [49, 67]}], 'symbols': [], 'user_mentions': [{'screen_name': 'VillarrealCF', 'name': 'Villarreal CF', 'id': 46862437, 'id_str': '46862437', 'indices': [3, 16]}], 'urls': []}",es
1351976969638977536,2021-01-20 19:36:42,💚🤔💙 ¿Quién ganará el #RealBetisCelta? #LaLigaSantander #HayQueVivirla  https://t.co/uzWXU8OH6W,81,15,"{'hashtags': [{'text': 'RealBetisCelta', 'indices': [21, 36]}, {'text': 'LaLigaSantander', 'indices': [38, 54]}, {'text': 'HayQueVivirla', 'indices': [55, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uzWXU8OH6W', 'expanded_url': 'https://twitter.com/i/broadcasts/1gqxvoBaZapKB', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [71, 94]}]}",es
1351976539777359875,2021-01-20 19:35:00,"¡@mauro_arambarri abrió el marcador para el @GetafeCF! ✨

#GetafeHuesca 
#LaLigaSantander 
#HayQueVivirla https://t.co/LhNyrDNCeh",88,15,"{'hashtags': [{'text': 'GetafeHuesca', 'indices': [58, 71]}, {'text': 'LaLigaSantander', 'indices': [73, 89]}, {'text': 'HayQueVivirla', 'indices': [91, 105]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mauro_arambarri', 'name': 'Mauro arambarri', 'id': 2986715488, 'id_str': '2986715488', 'indices': [1, 17]}, {'screen_name': 'GetafeCF', 'name': 'Getafe C.F.', 'id': 3511605017, 'id_str': '3511605017', 'indices': [44, 53]}], 'urls': [], 'media': [{'id': 1351976351830568960, 'id_str': '1351976351830568960', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/EsMvVDOW8AA9kT-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMvVDOW8AA9kT-.jpg', 'url': 'https://t.co/LhNyrDNCeh', 'display_url': 'pic.twitter.com/LhNyrDNCeh', 'expanded_url': 'https://twitter.com/LaLiga/status/1351976539777359875/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",es
1351974638595813376,2021-01-20 19:27:26,"RT @GetafeCF: 70' | ¡¡¡GOOOOOOOL del @GetafeCF!!! GOL de @mauro_arambarri . 

@GetafeCF 1-0 @SDHuesca

#VamosGeta 
#GetafeHuesca https://t.…",0,72,"{'hashtags': [{'text': 'VamosGeta', 'indices': [103, 113]}, {'text': 'GetafeHuesca', 'indices': [115, 128]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GetafeCF', 'name': 'Getafe C.F.', 'id': 3511605017, 'id_str': '3511605017', 'indices': [3, 12]}, {'screen_name': 'GetafeCF', 'name': 'Getafe C.F.', 'id': 3511605017, 'id_str': '3511605017', 'indices': [37, 46]}, {'screen_name': 'mauro_arambarri', 'name': 'Mauro arambarri', 'id': 2986715488, 'id_str': '2986715488', 'indices': [57, 73]}, {'screen_name': 'GetafeCF', 'name': 'Getafe C.F.', 'id': 3511605017, 'id_str': '3511605017', 'indices': [78, 87]}, {'screen_name': 'SDHuesca', 'name': 'SD Huesca', 'id': 97429809, 'id_str': '97429809', 'indices': [92, 101]}], 'urls': []}",es
1351970633383632900,2021-01-20 19:11:32,"¡Qué poquito faltó para el golazo del @SDHuesca! 

#GetafeHuesca 
#LaLigaSantander 
#HayQueVivirla https://t.co/90qeymqtHZ",79,6,"{'hashtags': [{'text': 'GetafeHuesca', 'indices': [51, 64]}, {'text': 'LaLigaSantander', 'indices': [66, 82]}, {'text': 'HayQueVivirla', 'indices': [84, 98]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SDHuesca', 'name': 'SD Huesca', 'id': 97429809, 'id_str': '97429809', 'indices': [38, 47]}], 'urls': [], 'media': [{'id': 1351970265006301184, 'id_str': '1351970265006301184', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351970265006301184/img/hYQyFdQuq3-g3nq-.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351970265006301184/img/hYQyFdQuq3-g3nq-.jpg', 'url': 'https://t.co/90qeymqtHZ', 'display_url': 'pic.twitter.com/90qeymqtHZ', 'expanded_url': 'https://twitter.com/LaLiga/status/1351970633383632900/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",es
1351967997020299266,2021-01-20 19:01:03,"RT @RCCelta: 💙 OS NOSOS 🚀

#RealBetisCelta #LaLiga https://t.co/4ydg4MTvto",0,78,"{'hashtags': [{'text': 'RealBetisCelta', 'indices': [27, 42]}, {'text': 'LaLiga', 'indices': [43, 50]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RCCelta', 'name': 'RC Celta', 'id': 267975373, 'id_str': '267975373', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1351961512726958086, 'id_str': '1351961512726958086', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EsMh1TQXEAYHMnV.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMh1TQXEAYHMnV.jpg', 'url': 'https://t.co/4ydg4MTvto', 'display_url': 'pic.twitter.com/4ydg4MTvto', 'expanded_url': 'https://twitter.com/RCCelta/status/1351964115284144129/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}, 'source_status_id': 1351964115284144129, 'source_status_id_str': '1351964115284144129', 'source_user_id': 267975373, 'source_user_id_str': '267975373'}]}",pt
