id,created_at,text,favorites,retweets,entities,language
1351620536174997504,2021-01-19 20:00:22,"Who said the celebration is over?

We’ve partnered with @MichelobULTRA to gift our Lakers Fam these special-edition… https://t.co/ydymDyUTOo",2387,269,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichelobULTRA', 'name': 'Michelob ULTRA', 'id': 1447153124, 'id_str': '1447153124', 'indices': [56, 70]}], 'urls': [{'url': 'https://t.co/ydymDyUTOo', 'expanded_url': 'https://twitter.com/i/web/status/1351620536174997504', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351610893126123522,2021-01-19 19:22:03,"Check out the first issue of Lakers Magazine and relive the team bringing home title 17. 

📖 &gt;&gt;… https://t.co/infWeXShSd",2467,200,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/infWeXShSd', 'expanded_url': 'https://twitter.com/i/web/status/1351610893126123522', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]}",en
1351406080274825219,2021-01-19 05:48:12,Streak ends at five. See you in Milwaukee. https://t.co/V0uM7Pdhec,20219,1287,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351406076973879298, 'id_str': '1351406076973879298', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/media/EsEoqr1VEAIYq2w.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsEoqr1VEAIYq2w.jpg', 'url': 'https://t.co/V0uM7Pdhec', 'display_url': 'pic.twitter.com/V0uM7Pdhec', 'expanded_url': 'https://twitter.com/Lakers/status/1351406080274825219/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 628, 'resize': 'fit'}}}]}",en
1351402604358631425,2021-01-19 05:34:23,https://t.co/gdKAeSePGQ,882,101,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351402519558197248, 'id_str': '1351402519558197248', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351402519558197248/pu/img/pOJ4ZsBHeGrmWSxp.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351402519558197248/pu/img/pOJ4ZsBHeGrmWSxp.jpg', 'url': 'https://t.co/gdKAeSePGQ', 'display_url': 'pic.twitter.com/gdKAeSePGQ', 'expanded_url': 'https://twitter.com/Lakers/status/1351402604358631425/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",und
1351402124156960772,2021-01-19 05:32:28,Trez with the between-the-legs J 🥵😂 https://t.co/u4TWAV4Jrv,4563,397,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351401768224129024, 'id_str': '1351401768224129024', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351401768224129024/pu/img/72Qx6wSx4nyNLT68.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351401768224129024/pu/img/72Qx6wSx4nyNLT68.jpg', 'url': 'https://t.co/u4TWAV4Jrv', 'display_url': 'pic.twitter.com/u4TWAV4Jrv', 'expanded_url': 'https://twitter.com/Lakers/status/1351402124156960772/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351398974616264704,2021-01-19 05:19:57,https://t.co/L9ayzz4EgR,1129,134,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351398833129889793, 'id_str': '1351398833129889793', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351398833129889793/pu/img/ikq5I2EQ7BrR0xSz.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351398833129889793/pu/img/ikq5I2EQ7BrR0xSz.jpg', 'url': 'https://t.co/L9ayzz4EgR', 'display_url': 'pic.twitter.com/L9ayzz4EgR', 'expanded_url': 'https://twitter.com/Lakers/status/1351398974616264704/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",und
1351398648064557061,2021-01-19 05:18:40,#KuzControl right when it’s needed 👌👌 https://t.co/Lpf0bV0xs8,2989,399,"{'hashtags': [{'text': 'KuzControl', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351398485673734146, 'id_str': '1351398485673734146', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351398485673734146/img/Z5_LS9ipBxfojWEy.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351398485673734146/img/Z5_LS9ipBxfojWEy.jpg', 'url': 'https://t.co/Lpf0bV0xs8', 'display_url': 'pic.twitter.com/Lpf0bV0xs8', 'expanded_url': 'https://twitter.com/Lakers/status/1351398648064557061/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351396182073896961,2021-01-19 05:08:52,"Some #KuzControl to extend the lead 🔥🔥🔥

Dennis Schröder: 22 pts
@AntDavis23: 14 pts, 12 reb, 7 ast, 3 blk, 2 stl… https://t.co/CnarLUaAuT",3953,351,"{'hashtags': [{'text': 'KuzControl', 'indices': [5, 16]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AntDavis23', 'name': 'Anthony Davis', 'id': 159113258, 'id_str': '159113258', 'indices': [65, 76]}], 'urls': [{'url': 'https://t.co/CnarLUaAuT', 'expanded_url': 'https://twitter.com/i/web/status/1351396182073896961', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",en
1351394439428669441,2021-01-19 05:01:56,https://t.co/m0ae8tCxrv,1189,140,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351394369564078089, 'id_str': '1351394369564078089', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351394369564078089/pu/img/5tCVUDGvXZPHrMFl.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351394369564078089/pu/img/5tCVUDGvXZPHrMFl.jpg', 'url': 'https://t.co/m0ae8tCxrv', 'display_url': 'pic.twitter.com/m0ae8tCxrv', 'expanded_url': 'https://twitter.com/Lakers/status/1351394439428669441/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",und
1351393951421394945,2021-01-19 05:00:00,AD refuses to be denied 〰💪 https://t.co/fkCGKNuwj8,4779,555,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351393835746697216, 'id_str': '1351393835746697216', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351393835746697216/pu/img/WtGM-Tv_Ef2yaNUY.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351393835746697216/pu/img/WtGM-Tv_Ef2yaNUY.jpg', 'url': 'https://t.co/fkCGKNuwj8', 'display_url': 'pic.twitter.com/fkCGKNuwj8', 'expanded_url': 'https://twitter.com/Lakers/status/1351393951421394945/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
