id,created_at,text,favorites,retweets,entities,language
1351965000018120706,2021-01-20 18:49:08,RT @MLBPipeline: Baseball's 10 best left-handed pitching prospects are coming to big league ballparks soon. Very soon. https://t.co/9voCkuf…,0,51,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MLBPipeline', 'name': 'MLB Pipeline', 'id': 1109372617, 'id_str': '1109372617', 'indices': [3, 15]}], 'urls': []}",en
1351742669198929920,2021-01-20 04:05:41,"RT @Ken_Rosenthal: Free-agent left-hander José Quintana in agreement with the Angels, pending physical, sources tell @TheAthletic.",0,757,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ken_Rosenthal', 'name': 'Ken Rosenthal', 'id': 90959399, 'id_str': '90959399', 'indices': [3, 17]}, {'screen_name': 'TheAthletic', 'name': 'The Athletic', 'id': 809532994444591104, 'id_str': '809532994444591104', 'indices': [117, 129]}], 'urls': []}",en
1351741529258393605,2021-01-20 04:01:09,"The Blue Jays get their guy.

Toronto and OF George Springer have agreed to a 6-year, $150M deal, per MLB Network's… https://t.co/ssUvYmDLUm",13128,2557,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ssUvYmDLUm', 'expanded_url': 'https://twitter.com/i/web/status/1351741529258393605', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351739626269126659,2021-01-20 03:53:35,"RT @JeffPassan: Outfielder George Springer and the Toronto Blue Jays are in agreement on a deal, sources familiar with the situation tell E…",0,2526,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JeffPassan', 'name': 'Jeff Passan', 'id': 33857883, 'id_str': '33857883', 'indices': [3, 14]}], 'urls': []}",en
1351729640323375104,2021-01-20 03:13:54,"RT @MLBPipeline: Some scintillating southpaws ...

Here are #MLB's Top 10 left-handed pitching prospects: https://t.co/9voCktXL5c https://t…",0,33,"{'hashtags': [{'text': 'MLB', 'indices': [60, 64]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MLBPipeline', 'name': 'MLB Pipeline', 'id': 1109372617, 'id_str': '1109372617', 'indices': [3, 15]}], 'urls': [{'url': 'https://t.co/9voCktXL5c', 'expanded_url': 'http://atmlb.com/3p0fTa3', 'display_url': 'atmlb.com/3p0fTa3', 'indices': [106, 129]}]}",en
1351697065492021250,2021-01-20 01:04:28,"RT @Cut4: EXCLUSIVE: Kirby Yates in his new Blue Jays threads 👀

(via @Ken_Rosenthal) https://t.co/b7RSx1q50M",0,118,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Cut4', 'name': 'Cut4', 'id': 241544156, 'id_str': '241544156', 'indices': [3, 8]}, {'screen_name': 'Ken_Rosenthal', 'name': 'Ken Rosenthal', 'id': 90959399, 'id_str': '90959399', 'indices': [70, 84]}], 'urls': [], 'media': [{'id': 1351680438079778818, 'id_str': '1351680438079778818', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/EsIiMmmW8AIkoiZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIiMmmW8AIkoiZ.jpg', 'url': 'https://t.co/b7RSx1q50M', 'display_url': 'pic.twitter.com/b7RSx1q50M', 'expanded_url': 'https://twitter.com/Cut4/status/1351680868054671361/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 798, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1362, 'resize': 'fit'}, 'small': {'w': 680, 'h': 452, 'resize': 'fit'}}, 'source_status_id': 1351680868054671361, 'source_status_id_str': '1351680868054671361', 'source_user_id': 241544156, 'source_user_id_str': '241544156'}]}",en
1351668704468213764,2021-01-19 23:11:46,"The Blue Jays and relief pitcher Kirby Yates have agreed on a deal, per @Ken_Rosenthal. https://t.co/dcGLxsStp8",2664,257,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ken_Rosenthal', 'name': 'Ken Rosenthal', 'id': 90959399, 'id_str': '90959399', 'indices': [72, 86]}], 'urls': [], 'media': [{'id': 1351668637678137344, 'id_str': '1351668637678137344', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/EsIXdurXcAAE_h3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIXdurXcAAE_h3.jpg', 'url': 'https://t.co/dcGLxsStp8', 'display_url': 'pic.twitter.com/dcGLxsStp8', 'expanded_url': 'https://twitter.com/MLB/status/1351668704468213764/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}}}]}",en
1351667242975506434,2021-01-19 23:05:58,"RT @MLBStats: Don Sutton is 1 of 10 pitchers to record 3,000+ Ks, 300+ wins, and an ERA below 3.50. https://t.co/lJFbmHzgTr",0,258,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MLBStats', 'name': 'MLB Stats', 'id': 282154125, 'id_str': '282154125', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1351666438868774912, 'id_str': '1351666438868774912', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EsIVdveXMAAc4Cq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIVdveXMAAc4Cq.jpg', 'url': 'https://t.co/lJFbmHzgTr', 'display_url': 'pic.twitter.com/lJFbmHzgTr', 'expanded_url': 'https://twitter.com/MLBStats/status/1351666500445347842/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 800, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 453, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1366, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1351666500445347842, 'source_status_id_str': '1351666500445347842', 'source_user_id': 282154125, 'source_user_id_str': '282154125'}]}",en
1351665678579867648,2021-01-19 22:59:45,"We mourn the passing of Don Sutton, a Hall of Famer and 4-time All-Star. He was 75. https://t.co/P66EN2gnvk",10709,1425,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351665405081874434, 'id_str': '1351665405081874434', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/EsIUhkUW8AI-R2i.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIUhkUW8AI-R2i.jpg', 'url': 'https://t.co/P66EN2gnvk', 'display_url': 'pic.twitter.com/P66EN2gnvk', 'expanded_url': 'https://twitter.com/MLB/status/1351665678579867648/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1500, 'h': 844, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351664918785830916,2021-01-19 22:56:44,"RT @Ken_Rosenthal: Free-agent reliever Kirby Yates is in agreement with the Blue Jays, a source tells The Athletic.",0,739,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ken_Rosenthal', 'name': 'Ken Rosenthal', 'id': 90959399, 'id_str': '90959399', 'indices': [3, 17]}], 'urls': []}",en
