id,created_at,text,favorites,retweets,entities,language
1351980423400841223,2021-01-20 19:50:26,89. Handball given against Cash from @gabrieljesus9's header and Ilkay makes no mistake!,313,23,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gabrieljesus9', 'name': 'Gabriel Jesus', 'id': 825670395714007041, 'id_str': '825670395714007041', 'indices': [37, 51]}], 'urls': []}",en
1351980216667746309,2021-01-20 19:49:36,"GOOOOOAAALLLL!! @IlkayGuendogan from the spot!

🔷 2-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/OMqpviEXJu",1958,434,"{'hashtags': [{'text': 'ManCity', 'indices': [56, 64]}], 'symbols': [], 'user_mentions': [{'screen_name': 'IlkayGuendogan', 'name': 'Ilkay Gündogan', 'id': 3088432587, 'id_str': '3088432587', 'indices': [16, 31]}], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [67, 90]}], 'media': [{'id': 1351980049017294852, 'id_str': '1351980049017294852', 'indices': [91, 114], 'media_url': 'http://pbs.twimg.com/media/EsMysQUXUAQN2Gq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMysQUXUAQN2Gq.jpg', 'url': 'https://t.co/OMqpviEXJu', 'display_url': 'pic.twitter.com/OMqpviEXJu', 'expanded_url': 'https://twitter.com/ManCity/status/1351980216667746309/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351979651145609223,2021-01-20 19:47:22,"Yesssssss!

🔷 1-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/tLS2PLd1Qe",1254,156,"{'hashtags': [{'text': 'ManCity', 'indices': [20, 28]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [31, 54]}], 'media': [{'id': 1351979641167372296, 'id_str': '1351979641167372296', 'indices': [55, 78], 'media_url': 'http://pbs.twimg.com/media/EsMyUg9XYAgKcB3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMyUg9XYAgKcB3.jpg', 'url': 'https://t.co/tLS2PLd1Qe', 'display_url': 'pic.twitter.com/tLS2PLd1Qe', 'expanded_url': 'https://twitter.com/ManCity/status/1351979651145609223/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}",und
1351977958886551555,2021-01-20 19:40:38,"79. How about that!? Smashed home from the edge of the box and what a relief!! 

His first league goal of the seaso… https://t.co/MH7oLafdMv",647,42,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MH7oLafdMv', 'expanded_url': 'https://twitter.com/i/web/status/1351977958886551555', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351977692623753218,2021-01-20 19:39:35,"GOOOOAAAAALLLL!! @BernardoCSilva!!

🔷 1-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/IbeBHMtHE5",3869,837,"{'hashtags': [{'text': 'ManCity', 'indices': [44, 52]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BernardoCSilva', 'name': 'Bernardo Silva', 'id': 485801262, 'id_str': '485801262', 'indices': [17, 32]}], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [55, 78]}], 'media': [{'id': 1351977661216776193, 'id_str': '1351977661216776193', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EsMwhREW4AEk0d-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMwhREW4AEk0d-.jpg', 'url': 'https://t.co/IbeBHMtHE5', 'display_url': 'pic.twitter.com/IbeBHMtHE5', 'expanded_url': 'https://twitter.com/ManCity/status/1351977692623753218/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351976150462029824,2021-01-20 19:33:27,"CITY SUB | @sterling7 is replaced by @Mahrez22.

🔷 0-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/sNFB7Pmvo2",484,42,"{'hashtags': [{'text': 'ManCity', 'indices': [57, 65]}], 'symbols': [], 'user_mentions': [{'screen_name': 'sterling7', 'name': 'Raheem Sterling', 'id': 627491854, 'id_str': '627491854', 'indices': [11, 21]}, {'screen_name': 'Mahrez22', 'name': 'Riyad Mahrez', 'id': 1375451460, 'id_str': '1375451460', 'indices': [37, 46]}], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [68, 91]}], 'media': [{'id': 1351976138667675650, 'id_str': '1351976138667675650', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/EsMvIpIXUAIvEu7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMvIpIXUAIvEu7.jpg', 'url': 'https://t.co/sNFB7Pmvo2', 'display_url': 'pic.twitter.com/sNFB7Pmvo2', 'expanded_url': 'https://twitter.com/ManCity/status/1351976150462029824/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1351975606058168320,2021-01-20 19:31:17,"70. The Villa goal living a charmed life as somehow, somehow, the away side smuggle the ball away when it looked od… https://t.co/jV4d0YzhtG",436,29,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jV4d0YzhtG', 'expanded_url': 'https://twitter.com/i/web/status/1351975606058168320', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351974686402478080,2021-01-20 19:27:38,"67. The game has really opened up again now with chances at either end. A proper battle in the Manchester rain!

🔷… https://t.co/FCjlCBiclj",319,21,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FCjlCBiclj', 'expanded_url': 'https://twitter.com/i/web/status/1351974686402478080', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351972613665529857,2021-01-20 19:19:24,"CITY SUB | @DeBruyneKev makes way for @gabrieljesus9.

🔷 0-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/5bNHc2mYVV",1317,92,"{'hashtags': [{'text': 'ManCity', 'indices': [63, 71]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DeBruyneKev', 'name': 'Kevin De Bruyne', 'id': 728592182, 'id_str': '728592182', 'indices': [11, 23]}, {'screen_name': 'gabrieljesus9', 'name': 'Gabriel Jesus', 'id': 825670395714007041, 'id_str': '825670395714007041', 'indices': [38, 52]}], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [74, 97]}], 'media': [{'id': 1351972605583044608, 'id_str': '1351972605583044608', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/EsMr6_XWMAAOkWK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMr6_XWMAAOkWK.jpg', 'url': 'https://t.co/5bNHc2mYVV', 'display_url': 'pic.twitter.com/5bNHc2mYVV', 'expanded_url': 'https://twitter.com/ManCity/status/1351972613665529857/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1351971632097746944,2021-01-20 19:15:30,"Joao on the move! 

🔷 0-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/xpykOS1ULK",463,30,"{'hashtags': [{'text': 'ManCity', 'indices': [28, 36]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [39, 62]}], 'media': [{'id': 1351971620097847299, 'id_str': '1351971620097847299', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EsMrBoJXcAMkwx_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMrBoJXcAMkwx_.jpg', 'url': 'https://t.co/xpykOS1ULK', 'display_url': 'pic.twitter.com/xpykOS1ULK', 'expanded_url': 'https://twitter.com/ManCity/status/1351971632097746944/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351970807753355264,2021-01-20 19:12:13,50. We've set our stall out in the second half and are camped in the Villa half in these early stages.… https://t.co/3QVRfRh1Xr,283,21,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3QVRfRh1Xr', 'expanded_url': 'https://twitter.com/i/web/status/1351970807753355264', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}",en
1351968899227648003,2021-01-20 19:04:38,"SECOND-HALF | Let's make the breakthrough!

🔷 0-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/PCCyPlecMq",518,53,"{'hashtags': [{'text': 'ManCity', 'indices': [52, 60]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [63, 86]}], 'media': [{'id': 1351968890201509889, 'id_str': '1351968890201509889', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EsMoiufXEAEAgp6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMoiufXEAEAgp6.jpg', 'url': 'https://t.co/PCCyPlecMq', 'display_url': 'pic.twitter.com/PCCyPlecMq', 'expanded_url': 'https://twitter.com/ManCity/status/1351968899227648003/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351965746490974210,2021-01-20 18:52:06,Keep pushing! 🙌💙 https://t.co/4c8Z3VOlzZ,556,31,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4c8Z3VOlzZ', 'expanded_url': 'https://twitter.com/ManCityWomen/status/1351963848790732806', 'display_url': 'twitter.com/ManCityWomen/s…', 'indices': [17, 40]}]}",en
1351965189629997064,2021-01-20 18:49:54,"HALF-TIME | All square at the Etihad.

🔷 0-0 🦁 #ManCity | https://t.co/axa0klD5re https://t.co/B0DAFNDpsk",726,79,"{'hashtags': [{'text': 'ManCity', 'indices': [47, 55]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/axa0klD5re', 'expanded_url': 'http://mancity.com', 'display_url': 'mancity.com', 'indices': [58, 81]}], 'media': [{'id': 1351965183762116609, 'id_str': '1351965183762116609', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/EsMlK-7WMAEczYs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMlK-7WMAEczYs.jpg', 'url': 'https://t.co/B0DAFNDpsk', 'display_url': 'pic.twitter.com/B0DAFNDpsk', 'expanded_url': 'https://twitter.com/ManCity/status/1351965189629997064/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351965143949860865,2021-01-20 18:49:43,"Let's head to the studio for the half-time analysis! 

Get involved using #WNRH 💬 https://t.co/enQvuA98cF",197,14,"{'hashtags': [{'text': 'WNRH', 'indices': [74, 79]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/enQvuA98cF', 'expanded_url': 'https://twitter.com/i/broadcasts/1BdGYYVnLZzGX', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [82, 105]}]}",en
1351964985707126792,2021-01-20 18:49:05,46. CHANCE! An unreal pass from @DeBruyneKev gives @PhilFoden a golden chance but Cash gets across for a last-ditch… https://t.co/uTtTwwHh24,555,33,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DeBruyneKev', 'name': 'Kevin De Bruyne', 'id': 728592182, 'id_str': '728592182', 'indices': [32, 44]}, {'screen_name': 'PhilFoden', 'name': 'Phil Foden', 'id': 729365546861498368, 'id_str': '729365546861498368', 'indices': [51, 61]}], 'urls': [{'url': 'https://t.co/uTtTwwHh24', 'expanded_url': 'https://twitter.com/i/web/status/1351964985707126792', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351963874753343489,2021-01-20 18:44:40,"42. No goals, but plenty of positives so far.

What's your review of the first half as we close in on the final few… https://t.co/O0o0xtu5W0",505,36,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/O0o0xtu5W0', 'expanded_url': 'https://twitter.com/i/web/status/1351963874753343489', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
