id,created_at,text,favorites,retweets,entities,language
1351977948237205508,2021-01-20 19:40:36,"Creating the right mentality 💪

🔴 #MUFC
#⃣ #FULMUN
🏆 #PL https://t.co/RS27HZ1eBC https://t.co/tgn4GpHx1m",1107,112,"{'hashtags': [{'text': 'MUFC', 'indices': [34, 39]}, {'text': 'FULMUN', 'indices': [43, 50]}, {'text': 'PL', 'indices': [53, 56]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RS27HZ1eBC', 'expanded_url': 'https://twitter.com/ManUtd/status/1351975369692368896', 'display_url': 'twitter.com/ManUtd/status/…', 'indices': [57, 80]}], 'media': [{'id': 1351977592941916160, 'id_str': '1351977592941916160', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/EsMwdSuXMAA6DLw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMwdSuXMAA6DLw.jpg', 'url': 'https://t.co/tgn4GpHx1m', 'display_url': 'pic.twitter.com/tgn4GpHx1m', 'expanded_url': 'https://twitter.com/ManUtd/status/1351977948237205508/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
1351975369692368896,2021-01-20 19:30:21,"▪ Team selection 🤔 
▪ The absence of @VLindelof 💬
▪ That classic British weather 🌧

Our pre-match Q&amp;A with Ole cove… https://t.co/Qfi9gGvsid",1469,142,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vlindelof', 'name': 'Victor Lindelöf', 'id': 350163849, 'id_str': '350163849', 'indices': [37, 47]}], 'urls': [{'url': 'https://t.co/Qfi9gGvsid', 'expanded_url': 'https://twitter.com/i/web/status/1351975369692368896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351972607558635525,2021-01-20 19:19:22,"He's just getting started 🔥

A milestone appearance for @B_Fernandes8 👏

🔴 #MUFC
#⃣ #FULMUN
🏆 #PL https://t.co/3Ggd8MHgOE",9777,1123,"{'hashtags': [{'text': 'MUFC', 'indices': [75, 80]}, {'text': 'FULMUN', 'indices': [84, 91]}, {'text': 'PL', 'indices': [94, 97]}], 'symbols': [], 'user_mentions': [{'screen_name': 'B_Fernandes8', 'name': 'Bruno Fernandes', 'id': 1123232834376933376, 'id_str': '1123232834376933376', 'indices': [56, 69]}], 'urls': [], 'media': [{'id': 1351972167529934848, 'id_str': '1351972167529934848', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/EsMrhffWMAAfrBb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMrhffWMAAfrBb.jpg', 'url': 'https://t.co/3Ggd8MHgOE', 'display_url': 'pic.twitter.com/3Ggd8MHgOE', 'expanded_url': 'https://twitter.com/ManUtd/status/1351972607558635525/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1351971533971972096,2021-01-20 19:15:06,"📋 Ole makes three changes to the United line-up...

🔴 #MUFC
#⃣ #FULMUN
🏆 #PL",10851,2496,"{'hashtags': [{'text': 'MUFC', 'indices': [54, 59]}, {'text': 'FULMUN', 'indices': [63, 70]}, {'text': 'PL', 'indices': [73, 76]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351966473456009217,2021-01-20 18:55:00,"⏳ The countdown to #FULMUN is on!

📺 Join #MUTV to follow the match from 19:10 GMT 👇

#MUFC",1836,190,"{'hashtags': [{'text': 'FULMUN', 'indices': [19, 26]}, {'text': 'MUTV', 'indices': [42, 47]}, {'text': 'MUFC', 'indices': [86, 91]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351960921267122178,2021-01-20 18:32:56,"Down by the Thames 📍

🔴 #MUFC
#⃣ #FULMUN
🏆 #PL https://t.co/ntrvfBsyTA",5282,437,"{'hashtags': [{'text': 'MUFC', 'indices': [24, 29]}, {'text': 'FULMUN', 'indices': [33, 40]}, {'text': 'PL', 'indices': [43, 46]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351960912375279625, 'id_str': '1351960912375279625', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/EsMhSWxXcAkcWPT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMhSWxXcAkcWPT.jpg', 'url': 'https://t.co/ntrvfBsyTA', 'display_url': 'pic.twitter.com/ntrvfBsyTA', 'expanded_url': 'https://twitter.com/ManUtd/status/1351960921267122178/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1351956407017484288,2021-01-20 18:15:00,"⏳ One hour until team news!

Ole has some tough choices to make — but who do you want to see start for #MUFC? 🤔

#FULMUN",2651,229,"{'hashtags': [{'text': 'MUFC', 'indices': [103, 108]}, {'text': 'FULMUN', 'indices': [113, 120]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351949108995530752,2021-01-20 17:46:00,"The perfect pre-match activity for #FULMUN! 🤓

🤔 Think you know these answers? Test your knowledge below! 👇

#MUFC @VdSar1970",2181,203,"{'hashtags': [{'text': 'FULMUN', 'indices': [35, 42]}, {'text': 'MUFC', 'indices': [109, 114]}], 'symbols': [], 'user_mentions': [{'screen_name': 'vdsar1970', 'name': 'Edwin van der Sar', 'id': 609007971, 'id_str': '609007971', 'indices': [115, 125]}], 'urls': []}",en
1351934261448695808,2021-01-20 16:47:00,"💥 @PaulPogba x @AnthonyMartial 💫

The French connection flourished on our last visit to Craven Cottage 🇫🇷

#MUFC… https://t.co/0Gi8JXYhTm",7493,726,"{'hashtags': [{'text': 'MUFC', 'indices': [107, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'paulpogba', 'name': 'Paul Pogba', 'id': 2491702663, 'id_str': '2491702663', 'indices': [2, 12]}, {'screen_name': 'AnthonyMartial', 'name': 'Anthony Martial', 'id': 1561168178, 'id_str': '1561168178', 'indices': [15, 30]}], 'urls': [{'url': 'https://t.co/0Gi8JXYhTm', 'expanded_url': 'https://twitter.com/i/web/status/1351934261448695808', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1351924526834192387,2021-01-20 16:08:19,"📺 Four of our #PL matches in February have been rescheduled for TV coverage...

#MUFC",2934,208,"{'hashtags': [{'text': 'PL', 'indices': [14, 17]}, {'text': 'MUFC', 'indices': [80, 85]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351910102169743364,2021-01-20 15:11:00,"2 𝐎 𝐋 𝐄 G E N D 🔴⚪️⚫

📲 Today's #WallpaperWednesday lockscreens are all about an #MUFC legend ❤️ https://t.co/WE0PLUb2Zq",12486,1334,"{'hashtags': [{'text': 'WallpaperWednesday', 'indices': [32, 51]}, {'text': 'MUFC', 'indices': [81, 86]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351863903391805442, 'id_str': '1351863903391805442', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EsLJDsJXcAIfsfu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLJDsJXcAIfsfu.jpg', 'url': 'https://t.co/WE0PLUb2Zq', 'display_url': 'pic.twitter.com/WE0PLUb2Zq', 'expanded_url': 'https://twitter.com/ManUtd/status/1351910102169743364/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1920, 'resize': 'fit'}}}]}",en
1351889214598737924,2021-01-20 13:48:00,"Home 🔘
Away
Third

United will be in 𝗿𝗲𝗱 for #FULMUN! 🔴

#MUFC",10726,846,"{'hashtags': [{'text': 'FULMUN', 'indices': [45, 52]}, {'text': 'MUFC', 'indices': [57, 62]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351867823262470149,2021-01-20 12:23:00,"We've lost count of how many of these we saw from Scholesy 🤩

#MUFC #GoalOfTheDay https://t.co/Mq3EgucA6p",8455,926,"{'hashtags': [{'text': 'MUFC', 'indices': [62, 67]}, {'text': 'GoalOfTheDay', 'indices': [68, 81]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351539041536270337, 'id_str': '1351539041536270337', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/EsGmElxXMAAMGJF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGmElxXMAAMGJF.jpg', 'url': 'https://t.co/Mq3EgucA6p', 'display_url': 'pic.twitter.com/Mq3EgucA6p', 'expanded_url': 'https://twitter.com/ManUtd/status/1351867823262470149/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}}}]}",en
1351854989023600640,2021-01-20 11:32:00,"🔸🔶🔸

#MUFC @AT13Oficial",6155,331,"{'hashtags': [{'text': 'MUFC', 'indices': [5, 10]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AT13Oficial', 'name': 'Alex Telles', 'id': 1331704359596527621, 'id_str': '1331704359596527621', 'indices': [11, 23]}], 'urls': []}",und
1351846683945140226,2021-01-20 10:59:00,"💪 @LukeShaw23 has been bang in form for some time now...

#MUFC #FULMUN",5748,356,"{'hashtags': [{'text': 'MUFC', 'indices': [58, 63]}, {'text': 'FULMUN', 'indices': [64, 71]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LukeShaw23', 'name': 'Luke Shaw', 'id': 359621966, 'id_str': '359621966', 'indices': [2, 13]}], 'urls': []}",en
1351827194281136128,2021-01-20 09:41:33,"Set those matchday reminders for #FULMUN! ⏰

🔴 #MUFC
🛫 @Aeroflot_World 
🗺️ #WeBringTheWorldTogether https://t.co/GBpvwnoR4T",4604,499,"{'hashtags': [{'text': 'FULMUN', 'indices': [33, 40]}, {'text': 'MUFC', 'indices': [47, 52]}, {'text': 'WeBringTheWorldTogether', 'indices': [75, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Aeroflot_World', 'name': 'Aeroflot_World', 'id': 1552819440, 'id_str': '1552819440', 'indices': [55, 70]}], 'urls': [], 'media': [{'id': 1351827185988997123, 'id_str': '1351827185988997123', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EsKnqdKXEAME7dF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKnqdKXEAME7dF.jpg', 'url': 'https://t.co/GBpvwnoR4T', 'display_url': 'pic.twitter.com/GBpvwnoR4T', 'expanded_url': 'https://twitter.com/ManUtd/status/1351827194281136128/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",en
1351819336944640005,2021-01-20 09:10:20,"🗣️ ""We need to be ready and mentally prepared to compete.""

👊 @ECavaniOfficial's rallying call is a must-read 👇

#MUFC #FULMUN",5828,407,"{'hashtags': [{'text': 'MUFC', 'indices': [113, 118]}, {'text': 'FULMUN', 'indices': [119, 126]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ECavaniOfficial', 'name': 'Edi Cavani Official', 'id': 309133460, 'id_str': '309133460', 'indices': [62, 78]}], 'urls': []}",en
1351802912792576001,2021-01-20 08:05:04,"On this day in 1994, we lost one of the most revered figures in the history of English football.

Remembering the l… https://t.co/bN59dYV2o4",31517,3229,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bN59dYV2o4', 'expanded_url': 'https://twitter.com/i/web/status/1351802912792576001', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351790816084148225,2021-01-20 07:17:00,"The fixtures keep coming thick and fast — let's bring home all 3️⃣ points! 👊

#MUFC #FULMUN",9327,890,"{'hashtags': [{'text': 'MUFC', 'indices': [78, 83]}, {'text': 'FULMUN', 'indices': [84, 91]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
