id,created_at,text,favorites,retweets,entities,language
1351916558168289284,2021-01-20 15:36:39,Game Day 🔥 https://t.co/Jpsvv95HZy,1948,153,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351916484952514560, 'id_str': '1351916484952514560', 'indices': [11, 34], 'media_url': 'http://pbs.twimg.com/media/EsL44VuW4AA7pH5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsL44VuW4AA7pH5.jpg', 'url': 'https://t.co/Jpsvv95HZy', 'display_url': 'pic.twitter.com/Jpsvv95HZy', 'expanded_url': 'https://twitter.com/MiamiHEAT/status/1351916558168289284/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}",en
1351879389366120453,2021-01-20 13:08:57,"Our camera guy is fine... his ankles are not. #BirthdayBehavior

Happy 21st @raf_tyler! https://t.co/repZ0mcomc",3045,476,"{'hashtags': [{'text': 'BirthdayBehavior', 'indices': [46, 63]}], 'symbols': [], 'user_mentions': [{'screen_name': 'raf_tyler', 'name': 'Tyler Herro', 'id': 2352361094, 'id_str': '2352361094', 'indices': [76, 86]}], 'urls': [], 'media': [{'id': 1351877239869235200, 'id_str': '1351877239869235200', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/EsLVYYKXIAERlSo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLVYYKXIAERlSo.jpg', 'url': 'https://t.co/repZ0mcomc', 'display_url': 'pic.twitter.com/repZ0mcomc', 'expanded_url': 'https://twitter.com/MiamiHEAT/status/1351879389366120453/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]}",en
1351697796227850243,2021-01-20 01:07:22,Boy Wonder turns 21 in a few hours 🎂 and he already has some history on his resume. #TylerTuesday https://t.co/IOdE9xbS0i,2881,387,"{'hashtags': [{'text': 'TylerTuesday', 'indices': [84, 97]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351693331693240332, 'id_str': '1351693331693240332', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/EsIt7HDXAAwjZ3B.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIt7HDXAAwjZ3B.jpg', 'url': 'https://t.co/IOdE9xbS0i', 'display_url': 'pic.twitter.com/IOdE9xbS0i', 'expanded_url': 'https://twitter.com/MiamiHEAT/status/1351697796227850243/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1351638349480652800,2021-01-19 21:11:09,@JG_MIA_305 you're welcome,11,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JG_MIA_305', 'name': 'Sports4natic 🍥', 'id': 38970586, 'id_str': '38970586', 'indices': [0, 11]}], 'urls': []}",en
1351636101681864705,2021-01-19 21:02:13,"172 seconds of @Bam1of1 making jumpers look easy this season

...and wait for it, the last one is the most impressi… https://t.co/OS0V5a5ipK",995,152,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bam1of1', 'name': '13am Adebayo💥', 'id': 555653709, 'id_str': '555653709', 'indices': [15, 23]}], 'urls': [{'url': 'https://t.co/OS0V5a5ipK', 'expanded_url': 'https://twitter.com/i/web/status/1351636101681864705', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351610333895536642,2021-01-19 19:19:49,657 wins later... go inside the moment Pat Riley told Spoelstra he'd be the new head coach of the Miami HEAT https://t.co/RXUq8B7It7,263,22,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RXUq8B7It7', 'expanded_url': 'http://gohe.at/3bVt8oS', 'display_url': 'gohe.at/3bVt8oS', 'indices': [109, 132]}]}",en
1351585704434950144,2021-01-19 17:41:57,"Put some respect on his name.

657 career HEAT wins. #SpoKnows https://t.co/1eQs5xSEoY",4321,580,"{'hashtags': [{'text': 'SpoKnows', 'indices': [53, 62]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351584058770411521, 'id_str': '1351584058770411521', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EsHKilsXUAE_rHe.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHKilsXUAE_rHe.jpg', 'url': 'https://t.co/1eQs5xSEoY', 'display_url': 'pic.twitter.com/1eQs5xSEoY', 'expanded_url': 'https://twitter.com/MiamiHEAT/status/1351585704434950144/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351582313105207296,2021-01-19 17:28:29,Moe's defense was on point last night. #HEATCulture https://t.co/gfLS5CyBFo,523,30,"{'hashtags': [{'text': 'HEATCulture', 'indices': [39, 51]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gfLS5CyBFo', 'expanded_url': 'https://twitter.com/JoeBeguiristain/status/1351574464836890624', 'display_url': 'twitter.com/JoeBeguiristai…', 'indices': [52, 75]}]}",en
1351572628738367489,2021-01-19 16:50:00,"Jumpers galore and more angles of the clutch block to seal it. Enjoy Bam's performance from last night!

🔥🎥… https://t.co/Mva1fb4X4y",623,64,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Mva1fb4X4y', 'expanded_url': 'https://twitter.com/i/web/status/1351572628738367489', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",en
1351566336883716098,2021-01-19 16:25:00,"K9 was on attack mode last night

🔥🎥 #HEATHighlights https://t.co/lbF5DfsKYU",502,45,"{'hashtags': [{'text': 'HEATHighlights', 'indices': [37, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351540888409878530, 'id_str': '1351540888409878530', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/EsG1bHSXUAE6I-o.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsG1bHSXUAE6I-o.jpg', 'url': 'https://t.co/lbF5DfsKYU', 'display_url': 'pic.twitter.com/lbF5DfsKYU', 'expanded_url': 'https://twitter.com/MiamiHEAT/status/1351566336883716098/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
