id,created_at,text,favorites,retweets,entities,language
1351975281398054914,2021-01-20 19:30:00,"👀 the top moments from the @celtics &amp; @sixers head-to-head matchups over the past 5 seasons!

8-4 Boston visits 9-5… https://t.co/3dx4HE17w5",458,42,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'celtics', 'name': 'Boston Celtics', 'id': 18139461, 'id_str': '18139461', 'indices': [27, 35]}, {'screen_name': 'sixers', 'name': 'Philadelphia 76ers', 'id': 16201775, 'id_str': '16201775', 'indices': [42, 49]}], 'urls': [{'url': 'https://t.co/3dx4HE17w5', 'expanded_url': 'https://twitter.com/i/web/status/1351975281398054914', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351960184189460480,2021-01-20 18:30:00,"▪️ Book: 22.1 PPG
▪️ Suns #4 in the West
▪️ Oladipo: 32 PTS in HOU debut

@Suns take on @HoustonRockets TONIGHT at… https://t.co/T88Kz8MtQO",459,34,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Suns', 'name': 'Phoenix Suns', 'id': 18481113, 'id_str': '18481113', 'indices': [74, 79]}, {'screen_name': 'HoustonRockets', 'name': 'Houston Rockets', 'id': 19077044, 'id_str': '19077044', 'indices': [88, 103]}], 'urls': [{'url': 'https://t.co/T88Kz8MtQO', 'expanded_url': 'https://twitter.com/i/web/status/1351960184189460480', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351952639026581505,2021-01-20 18:00:01,"▪️ East Rivals Match Up 
▪️ #1 East BOS vs. #3 East PHI
▪️ Embiid: 25 PPG, 11.5 RPG

@celtics and @sixers meet toni… https://t.co/S0Gdb99f8I",557,56,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'celtics', 'name': 'Boston Celtics', 'id': 18139461, 'id_str': '18139461', 'indices': [85, 93]}, {'screen_name': 'sixers', 'name': 'Philadelphia 76ers', 'id': 16201775, 'id_str': '16201775', 'indices': [98, 105]}], 'urls': [{'url': 'https://t.co/S0Gdb99f8I', 'expanded_url': 'https://twitter.com/i/web/status/1351952639026581505', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351931747571789824,2021-01-20 16:37:00,RT @warriors: Oakland's own. https://t.co/j5dTtU1n2i,0,10659,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'warriors', 'name': 'Golden State Warriors', 'id': 26270913, 'id_str': '26270913', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1351884930259718149, 'id_str': '1351884930259718149', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EsLdothVkAIMoks.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLdothVkAIMoks.jpg', 'url': 'https://t.co/j5dTtU1n2i', 'display_url': 'pic.twitter.com/j5dTtU1n2i', 'expanded_url': 'https://twitter.com/warriors/status/1351891982558375936/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1351891982558375936, 'source_status_id_str': '1351891982558375936', 'source_user_id': 26270913, 'source_user_id_str': '26270913'}]}",en
1351925126489661440,2021-01-20 16:10:42,"10 games tonight including an ESPN doubleheader. 

📺: ESPN
📱💻: NBA League Pass
➡️: https://t.co/Laecx0GSYx https://t.co/VlJOEZM5bO",866,96,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Laecx0GSYx', 'expanded_url': 'http://app.link.nba.com/e/leaguepass', 'display_url': 'app.link.nba.com/e/leaguepass', 'indices': [83, 106]}], 'media': [{'id': 1351922319434932229, 'id_str': '1351922319434932229', 'indices': [107, 130], 'media_url': 'http://pbs.twimg.com/media/EsL-L83XYAUnVPQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsL-L83XYAUnVPQ.jpg', 'url': 'https://t.co/VlJOEZM5bO', 'display_url': 'pic.twitter.com/VlJOEZM5bO', 'expanded_url': 'https://twitter.com/NBA/status/1351925126489661440/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}",en
1351924526976806914,2021-01-20 16:08:19,"RT @NBASTORE: Back in action for the @celtics... Kemba Walker!

Shop Kemba's No. 8 here: https://t.co/fY6kSprBxC

CELTICS/76ERS tonight at…",0,21,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NBASTORE', 'name': 'NBA Store', 'id': 16889733, 'id_str': '16889733', 'indices': [3, 12]}, {'screen_name': 'celtics', 'name': 'Boston Celtics', 'id': 18139461, 'id_str': '18139461', 'indices': [37, 45]}], 'urls': [{'url': 'https://t.co/fY6kSprBxC', 'expanded_url': 'http://on.nba.com/35Z1frZ', 'display_url': 'on.nba.com/35Z1frZ', 'indices': [89, 112]}]}",en
1351922442009239554,2021-01-20 16:00:02,"Don’t miss a moment of the action with NBA League Pass! 

Try it free ➡️ https://t.co/eeN7m44YSJ

▪️ KD, Harden and… https://t.co/NaqcZ20atL",213,25,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eeN7m44YSJ', 'expanded_url': 'https://app.link.nba.com/e/watch-free', 'display_url': 'app.link.nba.com/e/watch-free', 'indices': [73, 96]}, {'url': 'https://t.co/NaqcZ20atL', 'expanded_url': 'https://twitter.com/i/web/status/1351922442009239554', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351920493608251394,2021-01-20 15:52:17,"RT @WNBA: With free agency heating up, @macsmith413 breaks down each team's options and potential movement scenarios ⬇️ 

https://t.co/35jt…",0,20,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WNBA', 'name': 'WNBA', 'id': 17159397, 'id_str': '17159397', 'indices': [3, 8]}, {'screen_name': 'macsmith413', 'name': 'Michelle Smith', 'id': 23726712, 'id_str': '23726712', 'indices': [39, 51]}], 'urls': []}",en
1351910768388825091,2021-01-20 15:13:39,"RT @NBAHistory: Join us in wishing a Happy 84th Birthday to 6x #NBAAllStar, 2x NBA champion and @Hoophall inductee, Bailey Howell! #NBABDAY…",0,39,"{'hashtags': [{'text': 'NBAAllStar', 'indices': [63, 74]}, {'text': 'NBABDAY', 'indices': [131, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NBAHistory', 'name': 'NBA History', 'id': 171165627, 'id_str': '171165627', 'indices': [3, 14]}, {'screen_name': 'Hoophall', 'name': 'Basketball HOF', 'id': 23959763, 'id_str': '23959763', 'indices': [96, 105]}], 'urls': []}",en
1351888474606104577,2021-01-20 13:45:03,"Nikola Jokic tallies 27 PTS, 12 REB, 6 AST in three quarters to propel the @nuggets past OKC! #MileHighBasketball 
https://t.co/d2BwibF7Wc",1042,77,"{'hashtags': [{'text': 'MileHighBasketball', 'indices': [94, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nuggets', 'name': 'Denver Nuggets', 'id': 26074296, 'id_str': '26074296', 'indices': [75, 83]}], 'urls': [], 'media': [{'id': 1351746850806759426, 'id_str': '1351746850806759426', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/EsJgX5LXYAI2II8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsJgX5LXYAI2II8.jpg', 'url': 'https://t.co/d2BwibF7Wc', 'display_url': 'pic.twitter.com/d2BwibF7Wc', 'expanded_url': 'https://twitter.com/NBA/status/1351748843155697669/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'source_status_id': 1351748843155697669, 'source_status_id_str': '1351748843155697669', 'source_user_id': 19923144, 'source_user_id_str': '19923144'}]}",en
