id,created_at,text,favorites,retweets,entities,language
1351976095067697152,2021-01-20 19:33:14,"Heck of a career, Phil. https://t.co/LcYZfX90JM",4570,474,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351975819787206658, 'id_str': '1351975819787206658', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EsMu2FNVgAIMsRN.png', 'media_url_https': 'https://pbs.twimg.com/media/EsMu2FNVgAIMsRN.png', 'url': 'https://t.co/LcYZfX90JM', 'display_url': 'pic.twitter.com/LcYZfX90JM', 'expanded_url': 'https://twitter.com/NFL/status/1351976095067697152/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",en
1351970394580766720,2021-01-20 19:10:35,.@cfrelund is here answering your NFL questions before Championship Sunday! Use #AskFrelund to have your question answered.,165,12,"{'hashtags': [{'text': 'AskFrelund', 'indices': [80, 91]}], 'symbols': [], 'user_mentions': [{'screen_name': 'cfrelund', 'name': 'cynthia frelund', 'id': 304593201, 'id_str': '304593201', 'indices': [1, 10]}], 'urls': []}",en
1351967735949873152,2021-01-20 19:00:01,Philip Rivers calls it a career 13 years to the day after playing through a torn ACL in the 2007 AFC Championship.… https://t.co/NyJK5DPXDg,556,79,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NyJK5DPXDg', 'expanded_url': 'https://twitter.com/i/web/status/1351967735949873152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351965158302654464,2021-01-20 18:49:46,"RT @Colts: ""One of the fiercest competitors and most loyal teammates that our game has ever seen."" https://t.co/UNbIAA0iTy",0,159,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Colts', 'name': 'Indianapolis Colts', 'id': 180884045, 'id_str': '180884045', 'indices': [3, 9]}], 'urls': [], 'media': [{'id': 1351963461589336066, 'id_str': '1351963461589336066', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/media/EsMjmvVXAAIi66-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMjmvVXAAIi66-.jpg', 'url': 'https://t.co/UNbIAA0iTy', 'display_url': 'pic.twitter.com/UNbIAA0iTy', 'expanded_url': 'https://twitter.com/Colts/status/1351964118379589634/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 1351964118379589634, 'source_status_id_str': '1351964118379589634', 'source_user_id': 180884045, 'source_user_id_str': '180884045'}]}",en
1351953397700812805,2021-01-20 18:03:02,"RT @Chargers: there will never be another. 

thank you for everything, 17. https://t.co/cMZhtX7T70",0,1901,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chargers', 'name': 'Los Angeles Chargers', 'id': 713143, 'id_str': '713143', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1351952342011183104, 'id_str': '1351952342011183104', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/EsMZffrVgAAx7n6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMZffrVgAAx7n6.jpg', 'url': 'https://t.co/cMZhtX7T70', 'display_url': 'pic.twitter.com/cMZhtX7T70', 'expanded_url': 'https://twitter.com/Chargers/status/1351952658471391233/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 381, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 672, 'resize': 'fit'}, 'large': {'w': 1528, 'h': 856, 'resize': 'fit'}}, 'source_status_id': 1351952658471391233, 'source_status_id_str': '1351952658471391233', 'source_user_id': 713143, 'source_user_id_str': '713143'}]}",en
1351925243833704449,2021-01-20 16:11:10,RT @Lions: #OnePride https://t.co/Syt6bUt1y8,0,73,"{'hashtags': [{'text': 'OnePride', 'indices': [11, 20]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Lions', 'name': 'Detroit Lions', 'id': 44666348, 'id_str': '44666348', 'indices': [3, 9]}], 'urls': [], 'media': [{'id': 1351924838793932804, 'id_str': '1351924838793932804', 'indices': [21, 44], 'media_url': 'http://pbs.twimg.com/media/EsMAemNW8AQScwF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMAemNW8AQScwF.jpg', 'url': 'https://t.co/Syt6bUt1y8', 'display_url': 'pic.twitter.com/Syt6bUt1y8', 'expanded_url': 'https://twitter.com/Lions/status/1351924981907795973/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 1351924981907795973, 'source_status_id_str': '1351924981907795973', 'source_user_id': 44666348, 'source_user_id_str': '44666348'}]}",und
1351922794758455296,2021-01-20 16:01:26,"RT @NFLFilms: Always opinionated, never boring, with a love of football he'll carry with him as a coach.

Congrats on a great career Philip…",0,387,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NFLFilms', 'name': 'NFL Films', 'id': 81111260, 'id_str': '81111260', 'indices': [3, 12]}], 'urls': []}",en
1351921431664332800,2021-01-20 15:56:01,Lions hire Dan Campbell as new head coach. https://t.co/lF8QVDn6vs,3343,299,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351921103392944130, 'id_str': '1351921103392944130', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/media/EsL9FKwXMAIKHSc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsL9FKwXMAIKHSc.jpg', 'url': 'https://t.co/lF8QVDn6vs', 'display_url': 'pic.twitter.com/lF8QVDn6vs', 'expanded_url': 'https://twitter.com/NFL/status/1351921431664332800/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",en
1351914885525868544,2021-01-20 15:30:00,"The best mic’d up player ever. You will be missed, 17. (via @nflfilms) https://t.co/jWPXFL9u3N",7927,1362,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NFLFilms', 'name': 'NFL Films', 'id': 81111260, 'id_str': '81111260', 'indices': [60, 69]}], 'urls': [], 'media': [{'id': 1351903624511762433, 'id_str': '1351903624511762433', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EsLt0XGXEAErfAt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLt0XGXEAErfAt.jpg', 'url': 'https://t.co/jWPXFL9u3N', 'display_url': 'pic.twitter.com/jWPXFL9u3N', 'expanded_url': 'https://twitter.com/NFLFilms/status/1351904624568111110/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1351904624568111110, 'source_status_id_str': '1351904624568111110', 'source_user_id': 81111260, 'source_user_id_str': '81111260'}]}",en
1351900933458948101,2021-01-20 14:34:34,RT @AdamSchefter: Philip Rivers’ statement to ESPN is dadgum tremendous: https://t.co/30KaEFGy0X,0,6940,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AdamSchefter', 'name': 'Adam Schefter', 'id': 51263592, 'id_str': '51263592', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1351892428463230982, 'id_str': '1351892428463230982', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/EsLjAEUXUAYtTn7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLjAEUXUAYtTn7.jpg', 'url': 'https://t.co/30KaEFGy0X', 'display_url': 'pic.twitter.com/30KaEFGy0X', 'expanded_url': 'https://twitter.com/AdamSchefter/status/1351892441847181314/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 538, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 1047, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 1047, 'resize': 'fit'}}, 'source_status_id': 1351892441847181314, 'source_status_id_str': '1351892441847181314', 'source_user_id': 51263592, 'source_user_id_str': '51263592'}]}",en
