id,created_at,text,favorites,retweets,entities,language
1351977937973731328,2021-01-20 19:40:33,RT @NHLdotcom: The Canadiens look to continue their hot start when they play the Canucks in one of the five games on the NHL schedule. Ther…,0,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NHLdotcom', 'name': 'NHL.com', 'id': 1037738468972154880, 'id_str': '1037738468972154880', 'indices': [3, 13]}], 'urls': []}",en
1351972045639315457,2021-01-20 19:17:08,"RT @NHLFantasy: Surprises of first week: Jack Hughes, Bobby Ryan; forward, defenseman rankings; one million listens! https://t.co/LkV8Dl6k8…",0,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NHLFantasy', 'name': 'NHL Fantasy on Ice 🏒', 'id': 372959615, 'id_str': '372959615', 'indices': [3, 14]}], 'urls': []}",en
1351969025937563648,2021-01-20 19:05:08,"We'll help you out with the first pick: Joe Sakic

Who's making the rest of the @Avalanche roster? https://t.co/p4mVzNkvad",483,26,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Avalanche', 'name': 'Colorado Avalanche', 'id': 26577824, 'id_str': '26577824', 'indices': [80, 90]}], 'urls': [], 'media': [{'id': 1351969023328739328, 'id_str': '1351969023328739328', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/media/EsMoqebXYAABE6P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMoqebXYAABE6P.jpg', 'url': 'https://t.co/p4mVzNkvad', 'display_url': 'pic.twitter.com/p4mVzNkvad', 'expanded_url': 'https://twitter.com/NHL/status/1351969025937563648/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",en
1351968690741374976,2021-01-20 19:03:48,"RT @NHLFlames: This kit with Blasty?

Gonna be 🔥 https://t.co/YFs2QWm18Z",0,112,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NHLFlames', 'name': 'Calgary Flames', 'id': 27487343, 'id_str': '27487343', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1351961628435070977, 'id_str': '1351961628435070977', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/media/EsMh8CTUwAEtOSz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMh8CTUwAEtOSz.jpg', 'url': 'https://t.co/YFs2QWm18Z', 'display_url': 'pic.twitter.com/YFs2QWm18Z', 'expanded_url': 'https://twitter.com/NHLFlames/status/1351961668830416897/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1313, 'h': 1500, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1050, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 595, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1351961668830416897, 'source_status_id_str': '1351961668830416897', 'source_user_id': 27487343, 'source_user_id_str': '27487343'}]}",en
1351967892263337987,2021-01-20 19:00:38,RT @NHLdotcom: Auston Matthews and the Maple Leafs will face Connor McDavid and the Oilers tonight in the first of nine games between the t…,0,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NHLdotcom', 'name': 'NHL.com', 'id': 1037738468972154880, 'id_str': '1037738468972154880', 'indices': [3, 13]}], 'urls': []}",en
1351967823631966213,2021-01-20 19:00:22,"RT @PR_NHL: The @NHL announced today that @Canes games will be postponed at least through Saturday, Jan. 23. https://t.co/lN7YdsA1tV https:…",0,155,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PR_NHL', 'name': 'NHL Public Relations', 'id': 1360098198, 'id_str': '1360098198', 'indices': [3, 10]}, {'screen_name': 'NHL', 'name': 'NHL', 'id': 50004938, 'id_str': '50004938', 'indices': [16, 20]}, {'screen_name': 'Canes', 'name': 'Carolina Hurricanes', 'id': 19673276, 'id_str': '19673276', 'indices': [42, 48]}], 'urls': [{'url': 'https://t.co/lN7YdsA1tV', 'expanded_url': 'https://bit.ly/2M7Pk46', 'display_url': 'bit.ly/2M7Pk46', 'indices': [109, 132]}]}",en
1351921274273017857,2021-01-20 15:55:23,"McDavid + Matthews = Must-See TV

@EdmontonOilers vs. @MapleLeafs at 7 ET on @NHLonNBCSports and @Sportsnet #WNH… https://t.co/67BgPC0tnH",144,27,"{'hashtags': [{'text': 'WNH', 'indices': [108, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'EdmontonOilers', 'name': 'Edmonton Oilers', 'id': 15361389, 'id_str': '15361389', 'indices': [34, 49]}, {'screen_name': 'MapleLeafs', 'name': 'Toronto Maple Leafs', 'id': 55594930, 'id_str': '55594930', 'indices': [54, 65]}, {'screen_name': 'NHLonNBCSports', 'name': 'NHL on NBC Sports', 'id': 29463928, 'id_str': '29463928', 'indices': [77, 92]}, {'screen_name': 'Sportsnet', 'name': 'Sportsnet', 'id': 21660529, 'id_str': '21660529', 'indices': [97, 107]}], 'urls': [{'url': 'https://t.co/67BgPC0tnH', 'expanded_url': 'https://twitter.com/i/web/status/1351921274273017857', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1351919185950076930,2021-01-20 15:47:06,"Who ya got tonight: Connor McDavid (@cmcdavid97) or Auston Matthews (@AM34)? 🤔

@EdmontonOilers vs. @MapleLeafs at… https://t.co/94aKAvLYyw",313,34,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cmcdavid97', 'name': 'Connor McDavid', 'id': 87299430, 'id_str': '87299430', 'indices': [36, 47]}, {'screen_name': 'AM34', 'name': 'Auston Matthews', 'id': 1242457452, 'id_str': '1242457452', 'indices': [69, 74]}, {'screen_name': 'EdmontonOilers', 'name': 'Edmonton Oilers', 'id': 15361389, 'id_str': '15361389', 'indices': [80, 95]}, {'screen_name': 'MapleLeafs', 'name': 'Toronto Maple Leafs', 'id': 55594930, 'id_str': '55594930', 'indices': [100, 111]}], 'urls': [{'url': 'https://t.co/94aKAvLYyw', 'expanded_url': 'https://twitter.com/i/web/status/1351919185950076930', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351918658499579906,2021-01-20 15:45:00,Patrick Kane's the whole package. 💯 https://t.co/LvbgPvRV2a,499,62,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351902827728281602, 'id_str': '1351902827728281602', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/EsLskElXAAQypFG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLskElXAAQypFG.jpg', 'url': 'https://t.co/LvbgPvRV2a', 'display_url': 'pic.twitter.com/LvbgPvRV2a', 'expanded_url': 'https://twitter.com/NHL/status/1351918658499579906/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
1351918065630519297,2021-01-20 15:42:38,"RT @NHLdotcom: In the latest #OvertheBoards mailbag, @Tramyers_NHL discusses the goalie situations for the Oilers and Blackhawks, predicts…",0,8,"{'hashtags': [{'text': 'OvertheBoards', 'indices': [29, 43]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NHLdotcom', 'name': 'NHL.com', 'id': 1037738468972154880, 'id_str': '1037738468972154880', 'indices': [3, 13]}, {'screen_name': 'Tramyers_NHL', 'name': 'Tracey Myers', 'id': 23218995, 'id_str': '23218995', 'indices': [53, 66]}], 'urls': []}",en
