id,created_at,text,favorites,retweets,entities,language
1351945110284591105,2021-01-20 17:30:06,"We’ll be joined by Karsten Warholm on the Olympics Instagram account tomorrow!

The two-time world champion hurdler… https://t.co/JlZpkRZ9XU",35,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JlZpkRZ9XU', 'expanded_url': 'https://twitter.com/i/web/status/1351945110284591105', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351922437697531905,2021-01-20 16:00:01,"A weekend to remember in Hawaii! 🌊⁠⠀
⁠⠀
The Pacific island chain received what may have been the biggest swells of… https://t.co/N3NWHB4o3T",117,20,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N3NWHB4o3T', 'expanded_url': 'https://twitter.com/i/web/status/1351922437697531905', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351904975786569728,2021-01-20 14:50:38,"A very Happy Birthday to London 2012 silver medallist Ehsan Haddadi! 🥈
#StrongerTogether

@WorldAthletics https://t.co/ZKraZF6zsa",78,7,"{'hashtags': [{'text': 'StrongerTogether', 'indices': [71, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WorldAthletics', 'name': 'World Athletics', 'id': 37921383, 'id_str': '37921383', 'indices': [90, 105]}], 'urls': [], 'media': [{'id': 1351904972133314561, 'id_str': '1351904972133314561', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/EsLuaNIXMAE9u5b.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLuaNIXMAE9u5b.jpg', 'url': 'https://t.co/ZKraZF6zsa', 'display_url': 'pic.twitter.com/ZKraZF6zsa', 'expanded_url': 'https://twitter.com/Olympics/status/1351904975786569728/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}}]}",en
1351575195610447873,2021-01-19 17:00:12,"A very Happy Birthday to four-time Olympic medallist @ShawnJohnson 🎂! 
#StrongerTogether

@USAGym @gymnastics… https://t.co/TrcRd0eSes",490,55,"{'hashtags': [{'text': 'StrongerTogether', 'indices': [71, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ShawnJohnson', 'name': 'Shawn Johnson East', 'id': 30395398, 'id_str': '30395398', 'indices': [53, 66]}, {'screen_name': 'USAGym', 'name': 'USA Gymnastics', 'id': 43124180, 'id_str': '43124180', 'indices': [90, 97]}, {'screen_name': 'gymnastics', 'name': 'FIG', 'id': 300135017, 'id_str': '300135017', 'indices': [98, 109]}], 'urls': [{'url': 'https://t.co/TrcRd0eSes', 'expanded_url': 'https://twitter.com/i/web/status/1351575195610447873', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",en
1351574207910567941,2021-01-19 16:56:16,"RT @RefugeesOlympic: Meet Aram 🏸
He is an IOC Refugee Athlete Scholarship-holder, a badminton player, and he is currently training in the N…",0,15,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RefugeesOlympic', 'name': 'Refugee Olympic Team', 'id': 748759626619887616, 'id_str': '748759626619887616', 'indices': [3, 19]}], 'urls': []}",en
1351539483494248460,2021-01-19 14:38:17,"RT @olympicchannel: In an exclusive interview, Olympic silver medallist Evgenia Medvedeva talks challenges she's facing, what's next - and…",0,193,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'olympicchannel', 'name': 'Olympic Channel', 'id': 3163717636, 'id_str': '3163717636', 'indices': [3, 18]}], 'urls': []}",en
1351495064057425920,2021-01-19 11:41:47,"RT @olympicchannel: Comeback complete!

Two third-period goals saw Slovakia beat Germany 2-1 in a thrilling quarter-finals match-up to adva…",0,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'olympicchannel', 'name': 'Olympic Channel', 'id': 3163717636, 'id_str': '3163717636', 'indices': [3, 18]}], 'urls': []}",en
1351442649656532992,2021-01-19 08:13:30,"RT @olympicchannel: ""It is integrity on full display""

Watch the spontaneous gesture from Spanish triathlete @DiegoMentrida that brought Ho…",0,72,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'olympicchannel', 'name': 'Olympic Channel', 'id': 3163717636, 'id_str': '3163717636', 'indices': [3, 18]}, {'screen_name': 'DiegoMentrida', 'name': 'Diego Méntrida', 'id': 1339706347055689730, 'id_str': '1339706347055689730', 'indices': [109, 123]}], 'urls': []}",en
1351177376223424518,2021-01-18 14:39:24,"RT @olympicchannel: El Gigante!
 
🤾🏿‍♂️ 4 goals against Argentina.
🤾🏿‍♂️ 4 goals against Denmark.
🤾🏿‍♂️ 100% shooting for over 90 mins.…",0,32,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'olympicchannel', 'name': 'Olympic Channel', 'id': 3163717636, 'id_str': '3163717636', 'indices': [3, 18]}], 'urls': []}",en
1351137267432247296,2021-01-18 12:00:02,"Happy #MusicMonday courtesy of Turkish gymnast @TutyaYilmaz ❤️️

@TMOK_Olimpiyat https://t.co/D16ErNd70J",375,43,"{'hashtags': [{'text': 'MusicMonday', 'indices': [6, 18]}], 'symbols': [], 'user_mentions': [{'screen_name': 'tutyayilmaz', 'name': 'Tutya Yilmaz', 'id': 724925685362491396, 'id_str': '724925685362491396', 'indices': [47, 59]}, {'screen_name': 'TMOK_Olimpiyat', 'name': 'TMOK', 'id': 2716782438, 'id_str': '2716782438', 'indices': [65, 80]}], 'urls': [], 'media': [{'id': 1351120818420539401, 'id_str': '1351120818420539401', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/EsAllIAXAAYzltT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsAllIAXAAYzltT.jpg', 'url': 'https://t.co/D16ErNd70J', 'display_url': 'pic.twitter.com/D16ErNd70J', 'expanded_url': 'https://twitter.com/Olympics/status/1351137267432247296/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1350850396554735616,2021-01-17 17:00:06,"A very Happy Birthday to two-time Olympic medallist, @usabasketball star @DwyaneWade! 🏀🇺🇸
#StrongerTogether… https://t.co/NvTkJXQjqa",103,7,"{'hashtags': [{'text': 'StrongerTogether', 'indices': [90, 107]}], 'symbols': [], 'user_mentions': [{'screen_name': 'usabasketball', 'name': 'USA Basketball', 'id': 17049258, 'id_str': '17049258', 'indices': [53, 67]}, {'screen_name': 'DwyaneWade', 'name': 'DWade', 'id': 33995409, 'id_str': '33995409', 'indices': [73, 84]}], 'urls': [{'url': 'https://t.co/NvTkJXQjqa', 'expanded_url': 'https://twitter.com/i/web/status/1350850396554735616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",en
1350843427978678274,2021-01-17 16:32:25,RT @olympicchannel: A few handball powerhouses still have to book their ticket for #Tokyo2020. But how about this for a potential Olympic d…,0,11,"{'hashtags': [{'text': 'Tokyo2020', 'indices': [83, 93]}], 'symbols': [], 'user_mentions': [{'screen_name': 'olympicchannel', 'name': 'Olympic Channel', 'id': 3163717636, 'id_str': '3163717636', 'indices': [3, 18]}], 'urls': []}",en
1350803403727908872,2021-01-17 13:53:22,"Friendship is the biggest victory.

The Italian biathlon team embrace each other in celebration of their mixed rela… https://t.co/27ffnlGAcF",159,30,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/27ffnlGAcF', 'expanded_url': 'https://twitter.com/i/web/status/1350803403727908872', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350762554717569026,2021-01-17 11:11:03,"RT @olympicchannel: From Sochi 2014 to Lausanne 2020... We love a supportive team official! 🇯🇵

Watch more amazing moments from #Lausanne20…",0,660,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'olympicchannel', 'name': 'Olympic Channel', 'id': 3163717636, 'id_str': '3163717636', 'indices': [3, 18]}], 'urls': []}",en
1350729597323800577,2021-01-17 09:00:06,"Happy Birthday to Australian freestyle skier and two-time Olympic medallist Lydia Lassila! 🎂
#StrongerTogether… https://t.co/0NwUxnY5GD",169,21,"{'hashtags': [{'text': 'StrongerTogether', 'indices': [93, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0NwUxnY5GD', 'expanded_url': 'https://twitter.com/i/web/status/1350729597323800577', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}",en
