id,created_at,text,favorites,retweets,entities,language
1351945084921499649,2021-01-20 17:30:00,"🆕📽️ Au programme du 𝙅𝙏  - 20 janvier :

⚽️ La préparation à Ooredoo pour #PSGMHSC
🎙️ Notre capitaine @marquinhos_m5… https://t.co/k5pYOQ2htd",424,42,"{'hashtags': [{'text': 'PSGMHSC', 'indices': [73, 81]}], 'symbols': [], 'user_mentions': [{'screen_name': 'marquinhos_m5', 'name': 'Marcos Aoás Corrêa', 'id': 217234414, 'id_str': '217234414', 'indices': [101, 115]}], 'urls': [{'url': 'https://t.co/k5pYOQ2htd', 'expanded_url': 'https://twitter.com/i/web/status/1351945084921499649', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",fr
1351920545382735877,2021-01-20 15:52:30,"Un atelier finition avec @NeymarJr, @KMbappe, Julian Draxler, Moise Kean et @MauroIcardi pour clore cet entraînemen… https://t.co/hJoUiwpp1x",2775,403,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'neymarjr', 'name': 'Neymar Jr', 'id': 158487331, 'id_str': '158487331', 'indices': [25, 34]}, {'screen_name': 'KMbappe', 'name': 'Kylian Mbappé', 'id': 1725137533, 'id_str': '1725137533', 'indices': [36, 44]}, {'screen_name': 'MauroIcardi', 'name': 'MauroIcardi', 'id': 100376563, 'id_str': '100376563', 'indices': [76, 88]}], 'urls': [{'url': 'https://t.co/hJoUiwpp1x', 'expanded_url': 'https://twitter.com/i/web/status/1351920545382735877', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",fr
1351905322626142213,2021-01-20 14:52:00,🎙️ @marquinhos_m5 : « Me donner à fond pour ce maillot » 🔴🔵👊,2263,207,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'marquinhos_m5', 'name': 'Marcos Aoás Corrêa', 'id': 217234414, 'id_str': '217234414', 'indices': [3, 17]}], 'urls': []}",fr
1351856817463291904,2021-01-20 11:39:16,"Les vainqueurs du jour 🔥😍

#PSGMHSC https://t.co/ZrW0xAPiEa",4542,317,"{'hashtags': [{'text': 'PSGMHSC', 'indices': [27, 35]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351856321646260227, 'id_str': '1351856321646260227', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/EsLCKX8XcAMNcBy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLCKX8XcAMNcBy.jpg', 'url': 'https://t.co/ZrW0xAPiEa', 'display_url': 'pic.twitter.com/ZrW0xAPiEa', 'expanded_url': 'https://twitter.com/PSG_inside/status/1351856817463291904/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",fr
1351847468842024962,2021-01-20 11:02:07,"𝟭𝟬𝟬% de bonne humeur🔋❤️💙

#PSGMHSC https://t.co/eR8Zhld8ZF",3300,279,"{'hashtags': [{'text': 'PSGMHSC', 'indices': [26, 34]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351846504101785602, 'id_str': '1351846504101785602', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EsK5O6vXMAICxv1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsK5O6vXMAICxv1.jpg', 'url': 'https://t.co/eR8Zhld8ZF', 'display_url': 'pic.twitter.com/eR8Zhld8ZF', 'expanded_url': 'https://twitter.com/PSG_inside/status/1351847468842024962/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",fr
1351838860477657089,2021-01-20 10:27:54,"Une séance de 💪 avant l'entraînement 😁👍

🔜 #PSGMHSC https://t.co/pXO3DnNbZt",2492,142,"{'hashtags': [{'text': 'PSGMHSC', 'indices': [43, 51]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351838610622996480, 'id_str': '1351838610622996480', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/EsKyDdPXYAATNR1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKyDdPXYAATNR1.jpg', 'url': 'https://t.co/pXO3DnNbZt', 'display_url': 'pic.twitter.com/pXO3DnNbZt', 'expanded_url': 'https://twitter.com/PSG_inside/status/1351838860477657089/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",fr
1351832384338063361,2021-01-20 10:02:10,"⚠️ 𝐒𝐎𝐋𝐃𝐄𝐒 𝕊𝕆𝕃𝔻𝔼𝕊 𝗦𝗢𝗟𝗗𝗘𝗦 ⚠️

Rendez-vous sur https://t.co/2fYHHLq0nb pour profiter d'offres exclusives et ce jusqu'au 16/02 ! 🛒🔴🔵

⬇️",284,41,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2fYHHLq0nb', 'expanded_url': 'http://store.psg.fr', 'display_url': 'store.psg.fr', 'indices': [44, 67]}]}",fr
1351800882237607938,2021-01-20 07:57:00,"Place aux 𝗦𝗢𝗟𝗗𝗘𝗦 ! 🤩

Rendez-vous dans nos boutiques officielles dès aujourd'hui et profitez de -40%* ! 🛒🔴🔵",419,47,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",fr
1351591363368931332,2021-01-19 18:04:27,"Tu jongles mieux que les joueurs du @PSG_inside ? 🏈🎾🏓

Prouve-le en venant les défier sur 𝐼𝑛𝑠𝑡𝑎𝑔𝑟𝑎𝑚 avec l’… https://t.co/cITopZRhvp",734,63,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PSG_inside', 'name': 'Paris Saint-Germain', 'id': 38164846, 'id_str': '38164846', 'indices': [36, 47]}], 'urls': [{'url': 'https://t.co/cITopZRhvp', 'expanded_url': 'https://twitter.com/i/web/status/1351591363368931332', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",fr
1351588945394618369,2021-01-19 17:54:50,RT @NavasKeylor: Trabajando fuerte para lo que viene!! 💪🔴🔵💪 #icicestparis https://t.co/1rFBBqH8tJ,0,157,"{'hashtags': [{'text': 'icicestparis', 'indices': [60, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NavasKeylor', 'name': 'Keylor Navas', 'id': 376378883, 'id_str': '376378883', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1351579565387362308, 'id_str': '1351579565387362308', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/media/EsHGdCiXMAQb4Uu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHGdCiXMAQb4Uu.jpg', 'url': 'https://t.co/1rFBBqH8tJ', 'display_url': 'pic.twitter.com/1rFBBqH8tJ', 'expanded_url': 'https://twitter.com/NavasKeylor/status/1351579572949671937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1364, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'source_status_id': 1351579572949671937, 'source_status_id_str': '1351579572949671937', 'source_user_id': 376378883, 'source_user_id_str': '376378883'}]}",es
