id,created_at,text,favorites,retweets,entities,language
1351952634278776836,2021-01-20 18:00:00,"Things we love to see 😍
 
@TanguyNdombele makes the @EASPORTSFIFA #TOTW. 
 
Available in #FUT21 for a limited time… https://t.co/4LXuTuetvV",3795,186,"{'hashtags': [{'text': 'TOTW', 'indices': [66, 71]}, {'text': 'FUT21', 'indices': [89, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TanguyNdombele', 'name': 'Tanguy Ndombele', 'id': 829075215799947264, 'id_str': '829075215799947264', 'indices': [26, 41]}, {'screen_name': 'EASPORTSFIFA', 'name': 'EA SPORTS FIFA', 'id': 105297123, 'id_str': '105297123', 'indices': [52, 65]}], 'urls': [{'url': 'https://t.co/4LXuTuetvV', 'expanded_url': 'https://twitter.com/i/web/status/1351952634278776836', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351943027535863809,2021-01-20 17:21:50,📡 Join us LIVE on Twitch at 6pm (UK) to find out which other beauties made our list and to vote for your favourite!… https://t.co/rFlVAu9wkg,229,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rFlVAu9wkg', 'expanded_url': 'https://twitter.com/i/web/status/1351943027535863809', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351942430694789122,2021-01-20 17:19:28,"😳 Simply absurd. 

#THFC ⚪️ #COYS https://t.co/5U5zPpcaFN",760,46,"{'hashtags': [{'text': 'THFC', 'indices': [19, 24]}, {'text': 'COYS', 'indices': [28, 33]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351940954752692228, 'id_str': '1351940954752692228', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351940954752692228/pu/img/xA1qDNLDnRs3AhmH.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351940954752692228/pu/img/xA1qDNLDnRs3AhmH.jpg', 'url': 'https://t.co/5U5zPpcaFN', 'display_url': 'pic.twitter.com/5U5zPpcaFN', 'expanded_url': 'https://twitter.com/SpursOfficial/status/1351942430694789122/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351940736401477633,2021-01-20 17:12:44,"𝐈𝐜𝐨𝐧𝐢𝐜. 

#THFC ⚪️ #COYS https://t.co/1nKjuB8YZ2",900,78,"{'hashtags': [{'text': 'THFC', 'indices': [10, 15]}, {'text': 'COYS', 'indices': [19, 24]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351939425715040256, 'id_str': '1351939425715040256', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351939425715040256/pu/img/PKRs5czaSQFGKTSF.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351939425715040256/pu/img/PKRs5czaSQFGKTSF.jpg', 'url': 'https://t.co/1nKjuB8YZ2', 'display_url': 'pic.twitter.com/1nKjuB8YZ2', 'expanded_url': 'https://twitter.com/SpursOfficial/status/1351940736401477633/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351939266293731333,2021-01-20 17:06:53,"🥜 Imagine having the audacity to do this with one minute to play…

#THFC ⚪️ #COYS https://t.co/f3qDqmoguM",581,29,"{'hashtags': [{'text': 'THFC', 'indices': [67, 72]}, {'text': 'COYS', 'indices': [76, 81]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351938161434361858, 'id_str': '1351938161434361858', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351938161434361858/pu/img/G4Dtu1ASZfPC3330.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351938161434361858/pu/img/G4Dtu1ASZfPC3330.jpg', 'url': 'https://t.co/f3qDqmoguM', 'display_url': 'pic.twitter.com/f3qDqmoguM', 'expanded_url': 'https://twitter.com/SpursOfficial/status/1351939266293731333/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351938077074350080,2021-01-20 17:02:10,"One of the all-time great @PremierLeague goals. 

#THFC ⚪️ #COYS https://t.co/fQK6USKF5F",472,18,"{'hashtags': [{'text': 'THFC', 'indices': [50, 55]}, {'text': 'COYS', 'indices': [59, 64]}], 'symbols': [], 'user_mentions': [{'screen_name': 'premierleague', 'name': 'Premier League', 'id': 343627165, 'id_str': '343627165', 'indices': [26, 40]}], 'urls': [], 'media': [{'id': 1351937876775366660, 'id_str': '1351937876775366660', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351937876775366660/pu/img/u-LSAAOrnuvvMo9m.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351937876775366660/pu/img/u-LSAAOrnuvvMo9m.jpg', 'url': 'https://t.co/fQK6USKF5F', 'display_url': 'pic.twitter.com/fQK6USKF5F', 'expanded_url': 'https://twitter.com/SpursOfficial/status/1351938077074350080/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351937735213379585,2021-01-20 17:00:48,"After Sunday, we’re looking back at some of our most audacious goals from down the years [🧵 𝗧𝗛𝗥𝗘𝗔𝗗]

😁 Take us away… https://t.co/9z6ES5oY06",2026,122,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9z6ES5oY06', 'expanded_url': 'https://twitter.com/i/web/status/1351937735213379585', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351935096425746439,2021-01-20 16:50:19,"📺 Four upcoming Premier League fixtures have been rescheduled for TV coverage.

#THFC ⚪️ #COYS https://t.co/ZCtOferr6n",1029,80,"{'hashtags': [{'text': 'THFC', 'indices': [80, 85]}, {'text': 'COYS', 'indices': [89, 94]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351935075668078598, 'id_str': '1351935075668078598', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EsMJydiWMAY9XJE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMJydiWMAY9XJE.jpg', 'url': 'https://t.co/ZCtOferr6n', 'display_url': 'pic.twitter.com/ZCtOferr6n', 'expanded_url': 'https://twitter.com/SpursOfficial/status/1351935096425746439/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351906848698458114,2021-01-20 14:58:04,"Reggy said adiós 👋

🇪🇸 @sergio_regui 🇪🇸

#THFC ⚪️ #COYS https://t.co/5IXawCJVDe",5694,331,"{'hashtags': [{'text': 'THFC', 'indices': [41, 46]}, {'text': 'COYS', 'indices': [50, 55]}], 'symbols': [], 'user_mentions': [{'screen_name': 'sergio_regui', 'name': 'Sergio Reguilón', 'id': 392744384, 'id_str': '392744384', 'indices': [23, 36]}], 'urls': [], 'media': [{'id': 1351906470212857858, 'id_str': '1351906470212857858', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/EsLwAzAWMAAHmEH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLwAzAWMAAHmEH.jpg', 'url': 'https://t.co/5IXawCJVDe', 'display_url': 'pic.twitter.com/5IXawCJVDe', 'expanded_url': 'https://twitter.com/SpursOfficial/status/1351906848698458114/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",hu
1351877141063847938,2021-01-20 13:00:01,"""To come from being a 3-year-old fan supporting Tottenham to playing for them has been an amazing journey."" 

𝗘𝘃𝗲𝗿𝘆… https://t.co/tSnnAp2AHL",1632,91,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tSnnAp2AHL', 'expanded_url': 'https://twitter.com/i/web/status/1351877141063847938', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
