id,created_at,text,favorites,retweets,entities,language
1351930139815370764,2021-01-20 16:30:37,"RT @WWETheBump: What happens if @reymysterio draws number 1 in the #RoyalRumble and @DomMysterio35 draws number 2?!

#WWETheBump https://t.…",0,48,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [67, 79]}, {'text': 'WWETheBump', 'indices': [117, 128]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'reymysterio', 'name': '♛Rey Mysterio❔', 'id': 204957452, 'id_str': '204957452', 'indices': [32, 44]}, {'screen_name': 'DomMysterio35', 'name': 'Dominik', 'id': 2532030563, 'id_str': '2532030563', 'indices': [84, 98]}], 'urls': []}",en
1351930085780164610,2021-01-20 16:30:24,RT @WWETheBump: Get ready for #RoyalRumble Week with all of us on #WWETheBump! https://t.co/iMgD7yd0Vk,0,43,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [30, 42]}, {'text': 'WWETheBump', 'indices': [66, 77]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1351929895526526979, 'id_str': '1351929895526526979', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EsMFE8AW8AMjYE2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMFE8AW8AMjYE2.jpg', 'url': 'https://t.co/iMgD7yd0Vk', 'display_url': 'pic.twitter.com/iMgD7yd0Vk', 'expanded_url': 'https://twitter.com/WWETheBump/status/1351929903357321221/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 1351929903357321221, 'source_status_id_str': '1351929903357321221', 'source_user_id': 1173329417046757376, 'source_user_id_str': '1173329417046757376'}]}",en
1351930035498790915,2021-01-20 16:30:12,"RT @WWETheBump: Returning at the 2018 #RoyalRumble was a legendary moment for @reymysterio!

#WWETheBump https://t.co/MDE01ZbmDx",0,48,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [38, 50]}, {'text': 'WWETheBump', 'indices': [93, 104]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'reymysterio', 'name': '♛Rey Mysterio❔', 'id': 204957452, 'id_str': '204957452', 'indices': [78, 90]}], 'urls': [], 'media': [{'id': 1351928963069829123, 'id_str': '1351928963069829123', 'indices': [105, 128], 'media_url': 'http://pbs.twimg.com/media/EsMEZpEWMAIqopm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMEZpEWMAIqopm.jpg', 'url': 'https://t.co/MDE01ZbmDx', 'display_url': 'pic.twitter.com/MDE01ZbmDx', 'expanded_url': 'https://twitter.com/WWETheBump/status/1351929270659145729/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 1351929270659145729, 'source_status_id_str': '1351929270659145729', 'source_user_id': 1173329417046757376, 'source_user_id_str': '1173329417046757376'}]}",en
1351928314995363843,2021-01-20 16:23:22,RT @WWETheBump: .@reymysterio looked to make an impact in his first #RoyalRumble Match back in 2003! https://t.co/PWUHtkaUGk,0,46,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [68, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'reymysterio', 'name': '♛Rey Mysterio❔', 'id': 204957452, 'id_str': '204957452', 'indices': [17, 29]}], 'urls': [], 'media': [{'id': 1351927993032200194, 'id_str': '1351927993032200194', 'indices': [101, 124], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EsMDWMqXUAImFL6.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EsMDWMqXUAImFL6.jpg', 'url': 'https://t.co/PWUHtkaUGk', 'display_url': 'pic.twitter.com/PWUHtkaUGk', 'expanded_url': 'https://twitter.com/WWETheBump/status/1351928011227095042/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'source_status_id': 1351928011227095042, 'source_status_id_str': '1351928011227095042', 'source_user_id': 1173329417046757376, 'source_user_id_str': '1173329417046757376'}]}",en
1351928271366193153,2021-01-20 16:23:12,"RT @WWETheBump: ""To be able to share the ring with @undertaker, I wouldn't change anything in any of the matches. Especially in this one at…",0,52,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'undertaker', 'name': 'Undertaker', 'id': 1063214271843061760, 'id_str': '1063214271843061760', 'indices': [51, 62]}], 'urls': []}",en
1351927483537481728,2021-01-20 16:20:04,"RT @WWE: Being in the ring with @TripleH for an hour in the 2006 #RoyalRumble was a dream match for @reymysterio!

#WWETheBump https://t.co…",0,188,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [65, 77]}, {'text': 'WWETheBump', 'indices': [115, 126]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWE', 'name': 'WWE', 'id': 7517222, 'id_str': '7517222', 'indices': [3, 7]}, {'screen_name': 'TripleH', 'name': 'Triple H', 'id': 355708717, 'id_str': '355708717', 'indices': [32, 40]}, {'screen_name': 'reymysterio', 'name': '♛Rey Mysterio❔', 'id': 204957452, 'id_str': '204957452', 'indices': [100, 112]}], 'urls': []}",en
1351927435894382600,2021-01-20 16:19:52,"RT @WWETheBump: What an entrance for @reymysterio in the 2006 #RoyalRumble!

#WWETheBump https://t.co/jksGaxFXjk",0,60,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [62, 74]}, {'text': 'WWETheBump', 'indices': [77, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'reymysterio', 'name': '♛Rey Mysterio❔', 'id': 204957452, 'id_str': '204957452', 'indices': [37, 49]}], 'urls': [], 'media': [{'id': 1351926450023260162, 'id_str': '1351926450023260162', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EsMB8YgXYAI8baW.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EsMB8YgXYAI8baW.jpg', 'url': 'https://t.co/jksGaxFXjk', 'display_url': 'pic.twitter.com/jksGaxFXjk', 'expanded_url': 'https://twitter.com/WWETheBump/status/1351926466687197190/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'source_status_id': 1351926466687197190, 'source_status_id_str': '1351926466687197190', 'source_user_id': 1173329417046757376, 'source_user_id_str': '1173329417046757376'}]}",en
1351926123727351808,2021-01-20 16:14:40,RT @WWETheBump: The #RoyalRumble legend @reymysterio is here on #WWETheBump! https://t.co/hFZtVQcpMu,0,44,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [20, 32]}, {'text': 'WWETheBump', 'indices': [64, 75]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'reymysterio', 'name': '♛Rey Mysterio❔', 'id': 204957452, 'id_str': '204957452', 'indices': [40, 52]}], 'urls': [], 'media': [{'id': 1351926000632868868, 'id_str': '1351926000632868868', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EsMBiOZWMAQtwZF.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EsMBiOZWMAQtwZF.jpg', 'url': 'https://t.co/hFZtVQcpMu', 'display_url': 'pic.twitter.com/hFZtVQcpMu', 'expanded_url': 'https://twitter.com/WWETheBump/status/1351926017347219456/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'source_status_id': 1351926017347219456, 'source_status_id_str': '1351926017347219456', 'source_user_id': 1173329417046757376, 'source_user_id_str': '1173329417046757376'}]}",en
1351925905061519365,2021-01-20 16:13:47,RT @WWETheBump: .@KacyCatanzaro &amp; @wwekayden are ready for the challenge against Toni Storm &amp; @RealMMartinez tonight in the #DustyClassic o…,0,63,"{'hashtags': [{'text': 'DustyClassic', 'indices': [132, 145]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'KacyCatanzaro', 'name': 'Kacy Catanzaro', 'id': 431135074, 'id_str': '431135074', 'indices': [17, 31]}, {'screen_name': 'wwekayden', 'name': 'Lacey Lane', 'id': 2952564653, 'id_str': '2952564653', 'indices': [38, 48]}, {'screen_name': 'RealMMartinez', 'name': 'Mercedes Martinez', 'id': 804746948699979777, 'id_str': '804746948699979777', 'indices': [102, 116]}], 'urls': []}",en
1351925312528003079,2021-01-20 16:11:26,RT @WWETheBump: .@KacyCatanzaro &amp; @wwekayden are STOKED about their match tonight in the #DustyClassic on #WWENXT! https://t.co/4AFWo711rh,0,55,"{'hashtags': [{'text': 'DustyClassic', 'indices': [93, 106]}, {'text': 'WWENXT', 'indices': [110, 117]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [3, 14]}, {'screen_name': 'KacyCatanzaro', 'name': 'Kacy Catanzaro', 'id': 431135074, 'id_str': '431135074', 'indices': [17, 31]}, {'screen_name': 'wwekayden', 'name': 'Lacey Lane', 'id': 2952564653, 'id_str': '2952564653', 'indices': [38, 48]}], 'urls': [], 'media': [{'id': 1351924821370798082, 'id_str': '1351924821370798082', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EsMAdlTXAAIChTB.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EsMAdlTXAAIChTB.jpg', 'url': 'https://t.co/4AFWo711rh', 'display_url': 'pic.twitter.com/4AFWo711rh', 'expanded_url': 'https://twitter.com/WWETheBump/status/1351924841373437952/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'source_status_id': 1351924841373437952, 'source_status_id_str': '1351924841373437952', 'source_user_id': 1173329417046757376, 'source_user_id_str': '1173329417046757376'}]}",en
