id,created_at,text,favorites,retweets,entities,language
1351967738856689664,2021-01-20 19:00:01,"The @Undertaker is the latest guest on The @joerogan Experience podcast!

And you can listen to it NOW! 🎧 https://t.co/JRrEY8UCbn",1073,140,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'undertaker', 'name': 'Undertaker', 'id': 1063214271843061760, 'id_str': '1063214271843061760', 'indices': [4, 15]}, {'screen_name': 'joerogan', 'name': 'Joe Rogan', 'id': 18208354, 'id_str': '18208354', 'indices': [43, 52]}], 'urls': [{'url': 'https://t.co/JRrEY8UCbn', 'expanded_url': 'https://www.wwe.com/article/the-undertaker-joins-the-joe-rogan-experience-podcast', 'display_url': 'wwe.com/article/the-un…', 'indices': [106, 129]}]}",en
1351960256478380032,2021-01-20 18:30:18,The most BRUTAL #RoyalRumble elimination belongs to _____. #WAMWednesday https://t.co/7lWJiAbvko,729,102,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [16, 28]}, {'text': 'WAMWednesday', 'indices': [59, 72]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351960197854601223, 'id_str': '1351960197854601223', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351960197854601223/img/X8fQ3YEKpV60C-OV.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351960197854601223/img/X8fQ3YEKpV60C-OV.jpg', 'url': 'https://t.co/7lWJiAbvko', 'display_url': 'pic.twitter.com/7lWJiAbvko', 'expanded_url': 'https://twitter.com/WWE/status/1351960256478380032/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1280, 'resize': 'fit'}}}]}",en
1351954767485018112,2021-01-20 18:08:29,"RT @WWENetwork: Your winners from yesterday's vote in the tournament to crown the greatest #RoyalRumble in @WWE history:

1️⃣ @steveaustinB…",0,64,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [91, 103]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWENetwork', 'name': 'WWE Network', 'id': 368703433, 'id_str': '368703433', 'indices': [3, 14]}, {'screen_name': 'WWE', 'name': 'WWE', 'id': 7517222, 'id_str': '7517222', 'indices': [107, 111]}], 'urls': []}",en
1351953377924681729,2021-01-20 18:02:58,"The @WWEUniverse has witnessed some amazing title changes at the #RoyalRumble throughout the years!

#WWETop10 https://t.co/n23HWuNwUV",586,90,"{'hashtags': [{'text': 'RoyalRumble', 'indices': [65, 77]}, {'text': 'WWETop10', 'indices': [101, 110]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWEUniverse', 'name': 'WWE Universe', 'id': 15290441, 'id_str': '15290441', 'indices': [4, 16]}], 'urls': [], 'media': [{'id': 1351952849790500866, 'id_str': '1351952849790500866', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/EsMaGBzXIAYFoTM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMaGBzXIAYFoTM.jpg', 'url': 'https://t.co/n23HWuNwUV', 'display_url': 'pic.twitter.com/n23HWuNwUV', 'expanded_url': 'https://twitter.com/WWE/status/1351953377924681729/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1351952100280950787,2021-01-20 17:57:53,"RT @WWENXT: HISTORY IN THE MAKING

The bracket for the first-ever Women's #DustyCup was officially announced on @WWETheBump.

https://t.co/…",0,126,"{'hashtags': [{'text': 'DustyCup', 'indices': [74, 83]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WWENXT', 'name': 'WWE NXT', 'id': 110895343, 'id_str': '110895343', 'indices': [3, 10]}, {'screen_name': 'WWETheBump', 'name': 'WWE’s The Bump', 'id': 1173329417046757376, 'id_str': '1173329417046757376', 'indices': [112, 123]}], 'urls': []}",en
1351947005900316677,2021-01-20 17:37:38,RT @WWENXT: .@KacyCatanzaro &amp; @wwekayden look to put their names in the 𝒉𝒊𝒔𝒕𝒐𝒓𝒚 𝒃𝒐𝒐𝒌𝒔 when they battle Toni Storm &amp; @RealMMartinez in the 1…,0,48,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WWENXT', 'name': 'WWE NXT', 'id': 110895343, 'id_str': '110895343', 'indices': [3, 10]}, {'screen_name': 'KacyCatanzaro', 'name': 'Kacy Catanzaro', 'id': 431135074, 'id_str': '431135074', 'indices': [13, 27]}, {'screen_name': 'wwekayden', 'name': 'Lacey Lane', 'id': 2952564653, 'id_str': '2952564653', 'indices': [34, 44]}, {'screen_name': 'RealMMartinez', 'name': 'Mercedes Martinez', 'id': 804746948699979777, 'id_str': '804746948699979777', 'indices': [124, 138]}], 'urls': []}",en
1351946987537641478,2021-01-20 17:37:34,"RT @WWENetwork: The dynamic between @WWERollins &amp; @WWE_Murphy was much different on this day last year...

👀 https://t.co/GBXBy3LYiB https:…",0,59,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WWENetwork', 'name': 'WWE Network', 'id': 368703433, 'id_str': '368703433', 'indices': [3, 14]}, {'screen_name': 'WWERollins', 'name': 'Seth Rollins', 'id': 122555803, 'id_str': '122555803', 'indices': [36, 47]}, {'screen_name': 'WWE_Murphy', 'name': 'Buddy Murphy', 'id': 329651599, 'id_str': '329651599', 'indices': [54, 65]}], 'urls': [{'url': 'https://t.co/GBXBy3LYiB', 'expanded_url': 'http://ms.spr.ly/6011pq8HZ', 'display_url': 'ms.spr.ly/6011pq8HZ', 'indices': [113, 136]}]}",en
1351945481560199171,2021-01-20 17:31:35,RT @SashaBanksWWE: https://t.co/aZuOrilO8S,0,524,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SashaBanksWWE', 'name': 'Mercedes Varnado', 'id': 359099321, 'id_str': '359099321', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1351942582050447360, 'id_str': '1351942582050447360', 'indices': [19, 42], 'media_url': 'http://pbs.twimg.com/media/EsMQnY_XYAAxKQK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMQnY_XYAAxKQK.jpg', 'url': 'https://t.co/aZuOrilO8S', 'display_url': 'pic.twitter.com/aZuOrilO8S', 'expanded_url': 'https://twitter.com/SashaBanksWWE/status/1351942589960876032/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 2000, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1351942589960876032, 'source_status_id_str': '1351942589960876032', 'source_user_id': 359099321, 'source_user_id_str': '359099321'}]}",und
1351937544515182594,2021-01-20 17:00:03,Find out your 2021 horoscope and see which @WWE Superstar you identify with! https://t.co/9Du5LHrxxf,688,106,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WWE', 'name': 'WWE', 'id': 7517222, 'id_str': '7517222', 'indices': [43, 47]}], 'urls': [{'url': 'https://t.co/9Du5LHrxxf', 'expanded_url': 'http://www.wwe.com/gallery/2021-wwe-superstar-horoscopes-photos', 'display_url': 'wwe.com/gallery/2021-w…', 'indices': [77, 100]}]}",en
1351931352707457025,2021-01-20 16:35:26,"Join fans from around the world live on TV!

Register now for your virtual seat in the #WWEThunderDome on… https://t.co/UPRJWBUmX0",584,78,"{'hashtags': [{'text': 'WWEThunderDome', 'indices': [87, 102]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UPRJWBUmX0', 'expanded_url': 'https://twitter.com/i/web/status/1351931352707457025', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}",en
