id,created_at,text,favorites,retweets,entities,language
1351928315578298371,2021-01-20 16:23:22,"🎙️ Let's get to know our newest midfielder: @soualihomeite 

https://t.co/k2zluibzhx 📲

📽️ Il meglio della presenta… https://t.co/2b27ovL4vW",1182,103,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'soualihomeite', 'name': 'Soualiho Meite', 'id': 574406912, 'id_str': '574406912', 'indices': [44, 58]}], 'urls': [{'url': 'https://t.co/k2zluibzhx', 'expanded_url': 'http://acmi.land/ACMilan-App', 'display_url': 'acmi.land/ACMilan-App', 'indices': [61, 84]}, {'url': 'https://t.co/2b27ovL4vW', 'expanded_url': 'https://twitter.com/i/web/status/1351928315578298371', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",it
1351908612717875201,2021-01-20 15:05:05,"Building momentum ahead of #MilanAtalanta 💪
#SempreMilan

@gruppo_a2a https://t.co/FHTbgvU3Kr",3205,261,"{'hashtags': [{'text': 'MilanAtalanta', 'indices': [27, 41]}, {'text': 'SempreMilan', 'indices': [44, 56]}], 'symbols': [], 'user_mentions': [{'screen_name': 'gruppo_a2a', 'name': 'a2a', 'id': 385319545, 'id_str': '385319545', 'indices': [58, 69]}], 'urls': [], 'media': [{'id': 1351900599193919494, 'id_str': '1351900599193919494', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/EsLqbqqXYAYjoWu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLqbqqXYAYjoWu.jpg', 'url': 'https://t.co/FHTbgvU3Kr', 'display_url': 'pic.twitter.com/FHTbgvU3Kr', 'expanded_url': 'https://twitter.com/acmilan/status/1351908612717875201/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 1000, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}}}]}",en
1351905747056128003,2021-01-20 14:53:41,"RT @TeamQLASH: AC MILAN CUP! 🏆 #Fortnite

Register here and get an exclusive Milan skin for free: https://t.co/atF6Av71T0 🔴⚫️ https://t.co/…",0,34,"{'hashtags': [{'text': 'Fortnite', 'indices': [31, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TeamQLASH', 'name': 'QLASH', 'id': 796861020694257664, 'id_str': '796861020694257664', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/atF6Av71T0', 'expanded_url': 'http://epicgames.com/fortnite/competitive/en-US/tournament/acmilancup-eu-6187990106', 'display_url': 'epicgames.com/fortnite/compe…', 'indices': [98, 121]}]}",en
1351894102154104834,2021-01-20 14:07:25,"Take part in our exclusive @FortniteGame tournament to try to win #ACMilan skins 🔝🔴⚫

👉🏻 https://t.co/3Th2RoBbds… https://t.co/5KyesXdka3",778,63,"{'hashtags': [{'text': 'ACMilan', 'indices': [66, 74]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FortniteGame', 'name': 'Fortnite', 'id': 425871040, 'id_str': '425871040', 'indices': [27, 40]}], 'urls': [{'url': 'https://t.co/3Th2RoBbds', 'expanded_url': 'http://bit.ly/ACM_EpicGames', 'display_url': 'bit.ly/ACM_EpicGames', 'indices': [89, 112]}, {'url': 'https://t.co/5KyesXdka3', 'expanded_url': 'https://twitter.com/i/web/status/1351894102154104834', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",it
1351869613022339072,2021-01-20 12:30:06,"🔜 It's almost time for @soualihomeite's presentation, follow it LIVE on the app!

🗣️ https://t.co/k2zluibzhx 📲 

🆕… https://t.co/H211OVQwzX",1528,93,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'soualihomeite', 'name': 'Soualiho Meite', 'id': 574406912, 'id_str': '574406912', 'indices': [23, 37]}], 'urls': [{'url': 'https://t.co/k2zluibzhx', 'expanded_url': 'http://acmi.land/ACMilan-App', 'display_url': 'acmi.land/ACMilan-App', 'indices': [85, 108]}, {'url': 'https://t.co/H211OVQwzX', 'expanded_url': 'https://twitter.com/i/web/status/1351869613022339072', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351855477148282882,2021-01-20 11:33:56,"📸 Catch a glimpse of Mario’s backstage 🐅  
📸 Dietro le quinte con @MarioMandzukic9 🐅
#ReadyToUnleash #SempreMilan https://t.co/sAGeBygzO9",3230,394,"{'hashtags': [{'text': 'ReadyToUnleash', 'indices': [85, 100]}, {'text': 'SempreMilan', 'indices': [101, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarioMandzukic9', 'name': 'Mario Mandžukić MM17', 'id': 1160766902, 'id_str': '1160766902', 'indices': [66, 82]}], 'urls': [], 'media': [{'id': 1351854442971324423, 'id_str': '1351854442971324423', 'indices': [114, 137], 'media_url': 'http://pbs.twimg.com/media/EsLAdBVW4AcJpvT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLAdBVW4AcJpvT.jpg', 'url': 'https://t.co/sAGeBygzO9', 'display_url': 'pic.twitter.com/sAGeBygzO9', 'expanded_url': 'https://twitter.com/acmilan/status/1351855477148282882/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 1000, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}}}]}",en
1351846938820263938,2021-01-20 11:00:00,"📽️ Lights, camera, action 🆕🤩 
The making of... @MarioMandzukic9 in Rossonero 🔴⚫️ 
#ReadyToUnleash #SempreMilan https://t.co/SFMDpdeRUC",3815,424,"{'hashtags': [{'text': 'ReadyToUnleash', 'indices': [82, 97]}, {'text': 'SempreMilan', 'indices': [98, 110]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarioMandzukic9', 'name': 'Mario Mandžukić MM17', 'id': 1160766902, 'id_str': '1160766902', 'indices': [47, 63]}], 'urls': [], 'media': [{'id': 1351836647722254336, 'id_str': '1351836647722254336', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/EsK3l4MXAAIfpPa.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsK3l4MXAAIfpPa.jpg', 'url': 'https://t.co/SFMDpdeRUC', 'display_url': 'pic.twitter.com/SFMDpdeRUC', 'expanded_url': 'https://twitter.com/acmilan/status/1351846938820263938/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]}",en
1351832393527779334,2021-01-20 10:02:13,"Powering up 🔋🔛 
@MarioMandzukic9, eager to start 🔥 
#ReadyToUnleash #SempreMilan https://t.co/JJidmwqMOu",5724,1267,"{'hashtags': [{'text': 'ReadyToUnleash', 'indices': [52, 67]}, {'text': 'SempreMilan', 'indices': [68, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarioMandzukic9', 'name': 'Mario Mandžukić MM17', 'id': 1160766902, 'id_str': '1160766902', 'indices': [16, 32]}], 'urls': [], 'media': [{'id': 1351816444988813313, 'id_str': '1351816444988813313', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/EsKpqGDXAAsdj0F.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKpqGDXAAsdj0F.jpg', 'url': 'https://t.co/JJidmwqMOu', 'display_url': 'pic.twitter.com/JJidmwqMOu', 'expanded_url': 'https://twitter.com/acmilan/status/1351832393527779334/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
1351816742574538753,2021-01-20 09:00:01,"#OnThisDay in 1985: Paolo Maldini’s first of 648 Serie A games, all in 🔴⚫

L’inizio di una storia indimenticabile:… https://t.co/oyxoK6h2ru",1915,338,"{'hashtags': [{'text': 'OnThisDay', 'indices': [0, 10]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oyxoK6h2ru', 'expanded_url': 'https://twitter.com/i/web/status/1351816742574538753', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",it
1351634215159402499,2021-01-19 20:54:43,"🗣️ ""I'll try to defend these colours in every game""  
@MarioMandzukic9's first thoughts in Rossonero 🔴⚫  

L'interv… https://t.co/rttLlMRHbO",3350,559,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarioMandzukic9', 'name': 'Mario Mandžukić MM17', 'id': 1160766902, 'id_str': '1160766902', 'indices': [54, 70]}], 'urls': [{'url': 'https://t.co/rttLlMRHbO', 'expanded_url': 'https://twitter.com/i/web/status/1351634215159402499', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",it
1351583105283477507,2021-01-19 17:31:38,"Vuoi essere anche tu tra i protagonisti della Fan Board rossonera durante #MilanAtalanta, in compagnia dei personag… https://t.co/3y7ApVa4xz",765,56,"{'hashtags': [{'text': 'MilanAtalanta', 'indices': [74, 88]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3y7ApVa4xz', 'expanded_url': 'https://twitter.com/i/web/status/1351583105283477507', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",it
1351582192279973890,2021-01-19 17:28:00,"RT @TeamQLASH: This week @acmilan and @EpicGames join forces in #Fortnite, alongside more than 20 other top clubs around the world. 

To ce…",0,64,"{'hashtags': [{'text': 'Fortnite', 'indices': [64, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TeamQLASH', 'name': 'QLASH', 'id': 796861020694257664, 'id_str': '796861020694257664', 'indices': [3, 13]}, {'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [25, 33]}, {'screen_name': 'EpicGames', 'name': 'Epic Games Store', 'id': 121258930, 'id_str': '121258930', 'indices': [38, 48]}], 'urls': []}",en
1351562082077069318,2021-01-19 16:08:05,"🏃🏻‍♂️@MarioMandzukic9: wasting no time at all 💪
 #ReadyToUnleash #SempreMilan https://t.co/I1FZz3YeXf",5870,570,"{'hashtags': [{'text': 'ReadyToUnleash', 'indices': [49, 64]}, {'text': 'SempreMilan', 'indices': [65, 77]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarioMandzukic9', 'name': 'Mario Mandžukić MM17', 'id': 1160766902, 'id_str': '1160766902', 'indices': [5, 21]}], 'urls': [], 'media': [{'id': 1351558376686284805, 'id_str': '1351558376686284805', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/EsGzLseW8AUJ3H-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGzLseW8AUJ3H-.jpg', 'url': 'https://t.co/I1FZz3YeXf', 'display_url': 'pic.twitter.com/I1FZz3YeXf', 'expanded_url': 'https://twitter.com/acmilan/status/1351562082077069318/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 425, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 1000, 'resize': 'fit'}}}]}",en
1351561466114158592,2021-01-19 16:05:38,"RT @socios: 🔴GIVEAWAY⚫️

To celebrate @ACMilan and its fans joining the https://t.co/2FROhT4RnG family, we are giving away a signed 2020/21…",0,3539,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'socios', 'name': 'Socios.com', 'id': 1001022572186820608, 'id_str': '1001022572186820608', 'indices': [3, 10]}, {'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [38, 46]}], 'urls': [{'url': 'https://t.co/2FROhT4RnG', 'expanded_url': 'http://Socios.com', 'display_url': 'Socios.com', 'indices': [72, 95]}]}",en
1351547601896747010,2021-01-19 15:10:33,"Get ready to show your true colours while battling it out on @FortniteGame! 🔴⚫ 
👉🏻 https://t.co/Pfmt4a6bGH
 
Il mod… https://t.co/kBhlW9EJvT",3082,374,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FortniteGame', 'name': 'Fortnite', 'id': 425871040, 'id_str': '425871040', 'indices': [61, 74]}], 'urls': [{'url': 'https://t.co/Pfmt4a6bGH', 'expanded_url': 'http://acmi.land/Fortnite-ACM', 'display_url': 'acmi.land/Fortnite-ACM', 'indices': [83, 106]}, {'url': 'https://t.co/kBhlW9EJvT', 'expanded_url': 'https://twitter.com/i/web/status/1351547601896747010', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351536413620232193,2021-01-19 14:26:05,"👊 Mario meets Milanello 👊 
Day 1 in Rossonero 🔴⚫ 
#ReadyToUnleash #SempreMilan https://t.co/PwslxpenqI",7098,1035,"{'hashtags': [{'text': 'ReadyToUnleash', 'indices': [50, 65]}, {'text': 'SempreMilan', 'indices': [66, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351535093492408320, 'id_str': '1351535093492408320', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EsGeyYqW4AECyao.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGeyYqW4AECyao.jpg', 'url': 'https://t.co/PwslxpenqI', 'display_url': 'pic.twitter.com/PwslxpenqI', 'expanded_url': 'https://twitter.com/acmilan/status/1351536413620232193/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]}",it
