id,created_at,text,favorites,retweets,entities,language
1351563065280532481,2021-01-19 16:12:00,"Pour le plaisir, une compilation des gestes techniques des Bleus ! 🔥 https://t.co/aRMBv9JkKh",1559,158,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351549725967790083, 'id_str': '1351549725967790083', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/EsGtCk6XcAAtE-o.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGtCk6XcAAtE-o.jpg', 'url': 'https://t.co/aRMBv9JkKh', 'display_url': 'pic.twitter.com/aRMBv9JkKh', 'expanded_url': 'https://twitter.com/equipedefrance/status/1351563065280532481/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]}",fr
1351195461063946241,2021-01-18 15:51:16,"L'entraîneur de l'Équipe de France a reçu, samedi 16 janvier à RTL, le trophée du meilleur sélectionneur de l'année… https://t.co/bmVw1yYsZY",822,54,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bmVw1yYsZY', 'expanded_url': 'https://twitter.com/i/web/status/1351195461063946241', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",fr
1350013335652212737,2021-01-15 09:33:55,Joyeux anniversaire à Marius Trésor qui fête ses 71 ans aujourd’hui ! #FiersdetreBleus https://t.co/DzJLbhmRR0,2693,214,"{'hashtags': [{'text': 'FiersdetreBleus', 'indices': [70, 86]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1217403966671204352, 'id_str': '1217403966671204352', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EOUWkKeXkAAyC4E.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EOUWkKeXkAAyC4E.jpg', 'url': 'https://t.co/DzJLbhmRR0', 'display_url': 'pic.twitter.com/DzJLbhmRR0', 'expanded_url': 'https://twitter.com/FIFAWorldCup/status/1217410150337859584/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'source_status_id': 1217410150337859584, 'source_status_id_str': '1217410150337859584', 'source_user_id': 138372303, 'source_user_id_str': '138372303'}]}",fr
1345332980898816000,2021-01-02 11:35:52,Joyeux anniversaire Basile Boli ! 🎂 #FiersdetreBleus https://t.co/8BBOZE9rCQ,2739,141,"{'hashtags': [{'text': 'FiersdetreBleus', 'indices': [36, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1345332977820172289, 'id_str': '1345332977820172289', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/EquVNyeXAAEEbDi.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EquVNyeXAAEEbDi.jpg', 'url': 'https://t.co/8BBOZE9rCQ', 'display_url': 'pic.twitter.com/8BBOZE9rCQ', 'expanded_url': 'https://twitter.com/equipedefrance/status/1345332980898816000/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 265, 'h': 300, 'resize': 'fit'}, 'medium': {'w': 265, 'h': 300, 'resize': 'fit'}, 'small': {'w': 265, 'h': 300, 'resize': 'fit'}}}]}",fr
1344934729041272832,2021-01-01 09:13:21,RT @FFF: La Fédération Française de Football vous souhaite une belle et heureuse année 2021 https://t.co/u8n82y9pVs,0,69,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FFF', 'name': 'FFF', 'id': 835230594, 'id_str': '835230594', 'indices': [3, 7]}], 'urls': [], 'media': [{'id': 1344934378414211072, 'id_str': '1344934378414211072', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1344934378414211072/pu/img/RMPLvo7cG6TWztqu.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1344934378414211072/pu/img/RMPLvo7cG6TWztqu.jpg', 'url': 'https://t.co/u8n82y9pVs', 'display_url': 'pic.twitter.com/u8n82y9pVs', 'expanded_url': 'https://twitter.com/FFF/status/1344934395128512513/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1344934395128512513, 'source_status_id_str': '1344934395128512513', 'source_user_id': 835230594, 'source_user_id_str': '835230594'}]}",fr
1344576387219390466,2020-12-31 09:29:26,"Lloris / Mandanda, leurs plus beaux arrêts en 2020 ! #FiersdetreBleus https://t.co/7j6Z3xjFYA",671,68,"{'hashtags': [{'text': 'FiersdetreBleus', 'indices': [53, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1344575932456198144, 'id_str': '1344575932456198144', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/EqjlBFDXcAQ9V8N.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqjlBFDXcAQ9V8N.jpg', 'url': 'https://t.co/7j6Z3xjFYA', 'display_url': 'pic.twitter.com/7j6Z3xjFYA', 'expanded_url': 'https://twitter.com/equipedefrance/status/1344576387219390466/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",fr
1344330910829666305,2020-12-30 17:14:00,Tous les buts inscrits par l'Equipe de France Espoirs en 2020 ! https://t.co/tCVHudUyW6,398,30,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1343544011282374656, 'id_str': '1343544011282374656', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EqU6anzXAAAKTfN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqU6anzXAAAKTfN.jpg', 'url': 'https://t.co/tCVHudUyW6', 'display_url': 'pic.twitter.com/tCVHudUyW6', 'expanded_url': 'https://twitter.com/equipedefrance/status/1344330910829666305/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",fr
1344223201006473219,2020-12-30 10:06:00,"L1, L2 mais aussi championnats étrangers… Le vivier des Espoirs est très large. Pour le sélectionneur, le suivi néc… https://t.co/0hK9pgFJlV",193,15,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0hK9pgFJlV', 'expanded_url': 'https://twitter.com/i/web/status/1344223201006473219', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",fr
1343963489694572548,2020-12-29 16:54:00,Tous les buts de l'Équipe de France en 2020 👊 #FiersdetreBleus https://t.co/7zdpuyixTt,1066,155,"{'hashtags': [{'text': 'FiersdetreBleus', 'indices': [46, 62]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1343915012553908225, 'id_str': '1343915012553908225', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EqaNYe8XYAAsntd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqaNYe8XYAAsntd.jpg', 'url': 'https://t.co/7zdpuyixTt', 'display_url': 'pic.twitter.com/7zdpuyixTt', 'expanded_url': 'https://twitter.com/equipedefrance/status/1343963489694572548/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",fr
1343912299501924354,2020-12-29 13:30:35,"Troisième et dernier volet de l’interview avec Didier Deschamps. Bilan de la Ligue des Nations, demi-finales du Fin… https://t.co/543oh0Fl9Q",253,21,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/543oh0Fl9Q', 'expanded_url': 'https://twitter.com/i/web/status/1343912299501924354', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",fr
1343618214878715905,2020-12-28 18:02:00,"Le sélectionneur balaie l’année 2020 des Bleus. Épisode 2 : le terrain, les nouveaux internationaux, les options ta… https://t.co/Yv6zHd7UdE",211,18,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Yv6zHd7UdE', 'expanded_url': 'https://twitter.com/i/web/status/1343618214878715905', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",fr
1343541796190744576,2020-12-28 12:58:20,Le sélectionneur national balaie les faits marquants de l’année 2020 des Bleus. Épisode 1 : la crise sanitaire et s… https://t.co/4TJlwhpYe7,305,24,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4TJlwhpYe7', 'expanded_url': 'https://twitter.com/i/web/status/1343541796190744576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",fr
1343155301361528832,2020-12-27 11:22:33,"Joyeux anniversaire à notre Champion du Monde 2018, Adil Rami #FiersdetreBleus 🎂 https://t.co/tlw3QeeCfV",3197,148,"{'hashtags': [{'text': 'FiersdetreBleus', 'indices': [62, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1343154423036567552, 'id_str': '1343154423036567552', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/EqPX1NeW4AApg29.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqPX1NeW4AApg29.jpg', 'url': 'https://t.co/tlw3QeeCfV', 'display_url': 'pic.twitter.com/tlw3QeeCfV', 'expanded_url': 'https://twitter.com/equipedefrance/status/1343155301361528832/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",fr
1342895505358135296,2020-12-26 18:10:12,Le Best Of de Noël 🎅 Les meilleurs moments des Bleus durant les trois rassemblements de l'année 🤣 #FiersdetreBleus https://t.co/wCrhLAOmKb,635,68,"{'hashtags': [{'text': 'FiersdetreBleus', 'indices': [98, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1342895062242496517, 'id_str': '1342895062242496517', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/EqLsQprXMAEIkbX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqLsQprXMAEIkbX.jpg', 'url': 'https://t.co/wCrhLAOmKb', 'display_url': 'pic.twitter.com/wCrhLAOmKb', 'expanded_url': 'https://twitter.com/equipedefrance/status/1342895505358135296/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",fr
1342770680266428419,2020-12-26 09:54:12,On souhaite un très bon anniversaire à notre capitaine Hugo Lloris 🎂 34 ans aujourd’hui ! #FiersdetreBleus https://t.co/WDKa3cjn6P,5428,323,"{'hashtags': [{'text': 'FiersdetreBleus', 'indices': [90, 106]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1342770675916931073, 'id_str': '1342770675916931073', 'indices': [107, 130], 'media_url': 'http://pbs.twimg.com/media/EqJ60MDXAAESsZB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqJ60MDXAAESsZB.jpg', 'url': 'https://t.co/WDKa3cjn6P', 'display_url': 'pic.twitter.com/WDKa3cjn6P', 'expanded_url': 'https://twitter.com/equipedefrance/status/1342770680266428419/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1437, 'h': 1203, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1005, 'resize': 'fit'}, 'small': {'w': 680, 'h': 569, 'resize': 'fit'}}}]}",fr
