id,created_at,text,favorites,retweets,entities,language
1351978740025319424,2021-01-20 19:43:44,"-15 minuti ⏰
#JuveNapoli #PS5Supercup https://t.co/x0hks1fC2E",271,26,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [13, 24]}, {'text': 'PS5Supercup', 'indices': [25, 37]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351978696631083009, 'id_str': '1351978696631083009', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EsMxdiSXYAE1q3x.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMxdiSXYAE1q3x.jpg', 'url': 'https://t.co/x0hks1fC2E', 'display_url': 'pic.twitter.com/x0hks1fC2E', 'expanded_url': 'https://twitter.com/juventusfc/status/1351978740025319424/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 1400, 'h': 933, 'resize': 'fit'}}}]}",et
1351976003296518149,2021-01-20 19:32:52,"Starting... 
#JuveNapoli 
#PS5Supercup https://t.co/xtJiktvGJk",568,49,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [13, 24]}, {'text': 'PS5Supercup', 'indices': [26, 38]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351975941413732357, 'id_str': '1351975941413732357', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351975941413732357/pu/img/OQSoX4cJVr2xRPPf.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351975941413732357/pu/img/OQSoX4cJVr2xRPPf.jpg', 'url': 'https://t.co/xtJiktvGJk', 'display_url': 'pic.twitter.com/xtJiktvGJk', 'expanded_url': 'https://twitter.com/juventusfc/status/1351976003296518149/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",en
1351975295113375746,2021-01-20 19:30:03,"Le mascherine bianconere! ➡️https://t.co/cWpVryWEAl

#JuveNapoli #PS5Supercup https://t.co/ud2EYfifam",394,25,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [53, 64]}, {'text': 'PS5Supercup', 'indices': [65, 77]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cWpVryWEAl', 'expanded_url': 'http://juve.it/eVqF50Aavrz', 'display_url': 'juve.it/eVqF50Aavrz', 'indices': [28, 51]}], 'media': [{'id': 1351975061595553796, 'id_str': '1351975061595553796', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/EsMuJ8uXAAQe0ww.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMuJ8uXAAQe0ww.jpg', 'url': 'https://t.co/ud2EYfifam', 'display_url': 'pic.twitter.com/ud2EYfifam', 'expanded_url': 'https://twitter.com/juventusfc/status/1351975295113375746/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 1066, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",it
1351971268082491394,2021-01-20 19:14:03,"A disposizione: Buffon, Pinsoglio, Di Pardo, Dragusin, Frabotta, Rabiot, Ramsey, Fagioli, Ranocchia, Bernardeschi,… https://t.co/xBHsG6cu1u",436,50,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xBHsG6cu1u', 'expanded_url': 'https://twitter.com/i/web/status/1351971268082491394', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",it
1351970496976478209,2021-01-20 19:10:59,👇👇👇👇 #JuveNapoli #PS5Supercup https://t.co/FbreuADSGz,302,26,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [5, 16]}, {'text': 'PS5Supercup', 'indices': [17, 29]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FbreuADSGz', 'expanded_url': 'https://twitter.com/JuventusTV/status/1351968130524979211', 'display_url': 'twitter.com/JuventusTV/sta…', 'indices': [30, 53]}]}",und
1351969563483779075,2021-01-20 19:07:16,"L'undici bianconero!
#JuveNapoli
#PS5Supercup 
#ForzaJuve https://t.co/B8weBdM6Kw",1652,277,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [21, 32]}, {'text': 'PS5Supercup', 'indices': [33, 45]}, {'text': 'ForzaJuve', 'indices': [47, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351969546400362498, 'id_str': '1351969546400362498', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/media/EsMpI7BW8AIPadP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMpI7BW8AIPadP.jpg', 'url': 'https://t.co/B8weBdM6Kw', 'display_url': 'pic.twitter.com/B8weBdM6Kw', 'expanded_url': 'https://twitter.com/juventusfc/status/1351969563483779075/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}}}]}",it
1351967208956710922,2021-01-20 18:57:55,"Uno sguardo al campo 👀
#PS5Supercup #JuveNapoli https://t.co/E9rnIB5qJV",700,50,"{'hashtags': [{'text': 'PS5Supercup', 'indices': [23, 35]}, {'text': 'JuveNapoli', 'indices': [36, 47]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351967172394950657, 'id_str': '1351967172394950657', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351967172394950657/pu/img/SvW0nPxCeohLINhZ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351967172394950657/pu/img/SvW0nPxCeohLINhZ.jpg', 'url': 'https://t.co/E9rnIB5qJV', 'display_url': 'pic.twitter.com/E9rnIB5qJV', 'expanded_url': 'https://twitter.com/juventusfc/status/1351967208956710922/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",it
1351966541731016704,2021-01-20 18:55:16,"Sono arrivati i ragazzi! ⚫⚪
#JuveNapoli #PS5Supercup https://t.co/HASTTBzFoR",886,60,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [28, 39]}, {'text': 'PS5Supercup', 'indices': [40, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351966441197731841, 'id_str': '1351966441197731841', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351966441197731841/pu/img/o-O4q4cdsMYbLJet.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351966441197731841/pu/img/o-O4q4cdsMYbLJet.jpg', 'url': 'https://t.co/HASTTBzFoR', 'display_url': 'pic.twitter.com/HASTTBzFoR', 'expanded_url': 'https://twitter.com/juventusfc/status/1351966541731016704/video/1', 'type': 'photo', 'sizes': {'large': {'w': 352, 'h': 640, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 352, 'h': 640, 'resize': 'fit'}, 'medium': {'w': 352, 'h': 640, 'resize': 'fit'}}}]}",it
1351959712850448386,2021-01-20 18:28:08,"📍 Mapei Stadium 

È tutto pronto. 

 #JuveNapoli #PS5SuperCup #Supercoppa https://t.co/4tMtpWo6gP",1562,116,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [37, 48]}, {'text': 'PS5SuperCup', 'indices': [49, 61]}, {'text': 'Supercoppa', 'indices': [62, 73]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351958944206487557, 'id_str': '1351958944206487557', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/media/EsMffyxXAAUD9Ea.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMffyxXAAUD9Ea.jpg', 'url': 'https://t.co/4tMtpWo6gP', 'display_url': 'pic.twitter.com/4tMtpWo6gP', 'expanded_url': 'https://twitter.com/juventusfc/status/1351959712850448386/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 1066, 'resize': 'fit'}}}]}",it
1351957551726915588,2021-01-20 18:19:33,"RT @JuventusTV: ⏰ 𝗟𝗜𝗩𝗘 𝗢𝗥𝗘 𝟮𝟬.𝟬𝟬 ⏰

Avviciniamoci insieme a #JuveNapoli! 💪

L'ospite di questa sera? Fabrizio #Ravanelli! ⚪⚫

Vivi il pre p…",0,21,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [60, 71]}, {'text': 'Ravanelli', 'indices': [110, 120]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JuventusTV', 'name': 'Juventus TV', 'id': 1600631540, 'id_str': '1600631540', 'indices': [3, 14]}], 'urls': []}",it
1351953423311241221,2021-01-20 18:03:08,Ci siamo! 2 ore a #JuveNapoli! ⌛ #PS5Supercup #Supercoppa https://t.co/LpPQHGYqPs,955,66,"{'hashtags': [{'text': 'JuveNapoli', 'indices': [18, 29]}, {'text': 'PS5Supercup', 'indices': [33, 45]}, {'text': 'Supercoppa', 'indices': [46, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351953372400791552, 'id_str': '1351953372400791552', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351953372400791552/pu/img/ymhGFmoDhIeX65Yx.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351953372400791552/pu/img/ymhGFmoDhIeX65Yx.jpg', 'url': 'https://t.co/LpPQHGYqPs', 'display_url': 'pic.twitter.com/LpPQHGYqPs', 'expanded_url': 'https://twitter.com/juventusfc/status/1351953423311241221/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",it
1351937533504962560,2021-01-20 17:00:00,"A Pechino, un match da vivere #𝗙𝗜𝗡𝗢𝗔𝗟𝗟𝗔𝗙𝗜𝗡𝗘! ⚪⚫💪

#ForzaJuve #Supercoppa 11/08/2012 🏆 https://t.co/7rdQXrdltH",663,50,"{'hashtags': [{'text': '𝗙𝗜𝗡𝗢𝗔𝗟𝗟𝗔𝗙𝗜𝗡𝗘', 'indices': [30, 43]}, {'text': 'ForzaJuve', 'indices': [50, 60]}, {'text': 'Supercoppa', 'indices': [61, 72]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351591481790889995, 'id_str': '1351591481790889995', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/EsHRixMXAAcNfLQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHRixMXAAcNfLQ.jpg', 'url': 'https://t.co/7rdQXrdltH', 'display_url': 'pic.twitter.com/7rdQXrdltH', 'expanded_url': 'https://twitter.com/juventusfc/status/1351937533504962560/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",it
1351922439177965570,2021-01-20 16:00:01,"𝚆𝚒𝚗𝚗𝚒𝚗𝚐 𝚐𝚘𝚊𝚕 in Jeddah!

#ForzaJuve #Supercoppa 16/01/2019 🏆 https://t.co/kkXI1xWots",1213,107,"{'hashtags': [{'text': 'ForzaJuve', 'indices': [25, 35]}, {'text': 'Supercoppa', 'indices': [36, 47]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351583250976825345, 'id_str': '1351583250976825345', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EsHKM5LXYAAtuhX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHKM5LXYAAtuhX.jpg', 'url': 'https://t.co/kkXI1xWots', 'display_url': 'pic.twitter.com/kkXI1xWots', 'expanded_url': 'https://twitter.com/juventusfc/status/1351922439177965570/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351915247813210115,2021-01-20 15:31:27,"💥 #Tacchinardi! 👏

#GoalOfTheDay #ForzaJuve https://t.co/BJwPFczBa3",741,50,"{'hashtags': [{'text': 'Tacchinardi', 'indices': [2, 14]}, {'text': 'GoalOfTheDay', 'indices': [19, 32]}, {'text': 'ForzaJuve', 'indices': [33, 43]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1350934507793362946, 'id_str': '1350934507793362946', 'indices': [44, 67], 'media_url': 'http://pbs.twimg.com/media/EsH6lX5W4AAdmtO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsH6lX5W4AAdmtO.jpg', 'url': 'https://t.co/BJwPFczBa3', 'display_url': 'pic.twitter.com/BJwPFczBa3', 'expanded_url': 'https://twitter.com/juventusfc/status/1351915247813210115/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}, 'source_user_id': 1638021792, 'source_user_id_str': '1638021792'}]}",und
1351907334012903429,2021-01-20 15:00:00,"La 𝙨𝙚𝙩𝙩𝙞𝙢𝙖! ⚽⚽

#ForzaJuve #Supercoppa 08/08/2015 🏆 https://t.co/yIfywYmiB2",750,60,"{'hashtags': [{'text': 'ForzaJuve', 'indices': [16, 26]}, {'text': 'Supercoppa', 'indices': [27, 38]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351649047665405955, 'id_str': '1351649047665405955', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/EsIGHJfXIA0HAPq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIGHJfXIA0HAPq.jpg', 'url': 'https://t.co/yIfywYmiB2', 'display_url': 'pic.twitter.com/yIfywYmiB2', 'expanded_url': 'https://twitter.com/juventusfc/status/1351907334012903429/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",it
1351885963857952770,2021-01-20 13:35:05,"Quanti gol segnò @LucaVialli in Juve-Parma 1996?
Quante ne sapete sulla #Supercoppa? 
Mettetevi alla prova adesso,… https://t.co/9RNORc1fX5",439,37,"{'hashtags': [{'text': 'Supercoppa', 'indices': [72, 83]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LucaVialli', 'name': 'Luca Vialli', 'id': 3964836784, 'id_str': '3964836784', 'indices': [17, 28]}], 'urls': [{'url': 'https://t.co/9RNORc1fX5', 'expanded_url': 'https://twitter.com/i/web/status/1351885963857952770', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",it
1351877135560896517,2021-01-20 13:00:00,"Una grande notte all'Olimpico! ⚪⚫💪

#ForzaJuve #Supercoppa 18/08/2013 🏆 https://t.co/8jLhT8oUlE",989,79,"{'hashtags': [{'text': 'ForzaJuve', 'indices': [36, 46]}, {'text': 'Supercoppa', 'indices': [47, 58]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351250122106150914, 'id_str': '1351250122106150914', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/EsCbSdZXYAsjMWb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsCbSdZXYAsjMWb.jpg', 'url': 'https://t.co/8jLhT8oUlE', 'display_url': 'pic.twitter.com/8jLhT8oUlE', 'expanded_url': 'https://twitter.com/juventusfc/status/1351877135560896517/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",it
1351870354625617920,2021-01-20 12:33:03,@cristiano 👍 #TOTY https://t.co/IFqDfOD4M4,676,51,"{'hashtags': [{'text': 'TOTY', 'indices': [13, 18]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Cristiano', 'name': 'Cristiano Ronaldo', 'id': 155659213, 'id_str': '155659213', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/IFqDfOD4M4', 'expanded_url': 'https://twitter.com/UEFAcom_it/status/1351854281352245248', 'display_url': 'twitter.com/UEFAcom_it/sta…', 'indices': [19, 42]}]}",und
1351857037957865474,2021-01-20 11:40:08,"📌 Juan non è più sottoposto al regime di isolamento, raggiungerà in giornata la squadra nel ritiro di Reggio Emilia… https://t.co/RzvucZ3Rwa",1894,198,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RzvucZ3Rwa', 'expanded_url': 'https://twitter.com/i/web/status/1351857037957865474', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",it
1351852248507285504,2021-01-20 11:21:06,"Covid 19 - Guarito Juan @Cuadrado 
https://t.co/3bN4kB3SO1 https://t.co/5H8LMn8rLa",3618,318,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Cuadrado', 'name': 'Juan Cuadrado', 'id': 1238774719, 'id_str': '1238774719', 'indices': [24, 33]}], 'urls': [{'url': 'https://t.co/3bN4kB3SO1', 'expanded_url': 'http://juve.it/QmC950Ddi2k', 'display_url': 'juve.it/QmC950Ddi2k', 'indices': [35, 58]}], 'media': [{'id': 1351852247102214144, 'id_str': '1351852247102214144', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/EsK-dNFXUAAfxLs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsK-dNFXUAAfxLs.jpg', 'url': 'https://t.co/5H8LMn8rLa', 'display_url': 'pic.twitter.com/5H8LMn8rLa', 'expanded_url': 'https://twitter.com/juventusfc/status/1351852248507285504/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",es
1351827925616758785,2021-01-20 09:44:27,"⚪️⚫️ 𝗩𝗜𝗡𝗖𝗜𝗔𝗠𝗢𝗟𝗔!
🏆 #PS5Supercup
🆚 @sscnapoli 
🏟 Mapei Stadium
⏰ 21:00 CET
📲 #JuveNapoli https://t.co/IDK5yKB2M0",2096,251,"{'hashtags': [{'text': 'PS5Supercup', 'indices': [19, 31]}, {'text': 'JuveNapoli', 'indices': [76, 87]}], 'symbols': [], 'user_mentions': [{'screen_name': 'sscnapoli', 'name': 'Official SSC Napoli', 'id': 454873450, 'id_str': '454873450', 'indices': [34, 44]}], 'urls': [], 'media': [{'id': 1351827922559131648, 'id_str': '1351827922559131648', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/EsKoVVGXYAAdSnH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKoVVGXYAAdSnH.jpg', 'url': 'https://t.co/IDK5yKB2M0', 'display_url': 'pic.twitter.com/IDK5yKB2M0', 'expanded_url': 'https://twitter.com/juventusfc/status/1351827925616758785/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",it
