id,created_at,text,favorites,retweets,entities,language
1351957435271970816,2021-01-20 18:19:05,RT @MahelaJay: Thank you champion!! Great memories. Good luck Mali https://t.co/jOLqGpqUmd,0,506,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MahelaJay', 'name': 'Mahela Jayawardena', 'id': 350334760, 'id_str': '350334760', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1351955431078338563, 'id_str': '1351955431078338563', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EsMcTTWVoAM34kx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMcTTWVoAM34kx.jpg', 'url': 'https://t.co/jOLqGpqUmd', 'display_url': 'pic.twitter.com/jOLqGpqUmd', 'expanded_url': 'https://twitter.com/MahelaJay/status/1351955443434721283/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 622, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 583, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 330, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1351955443434721283, 'source_status_id_str': '1351955443434721283', 'source_user_id': 350334760, 'source_user_id_str': '350334760'}]}",en
1351950798234632192,2021-01-20 17:52:42,"You gave us 170 moments to celebrate. But the most memorable ones came on the final ball of the match. You smiled,… https://t.co/9rblL6x1zr",1687,195,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9rblL6x1zr', 'expanded_url': 'https://twitter.com/i/web/status/1351950798234632192', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351950639815823361,2021-01-20 17:52:05,👀 Malinga is staring down. He lifts his hand up and kisses the ball. Wankhede is echoing with MA-LIN-GA  MA-LIN-GA… https://t.co/bIwE14n6on,3370,562,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bIwE14n6on', 'expanded_url': 'https://twitter.com/i/web/status/1351950639815823361', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351946276611502080,2021-01-20 17:34:44,"Malinga + Mumbai = ?

#ThankyouMalinga 💙 https://t.co/0YtRDdQ7vh",1922,160,"{'hashtags': [{'text': 'ThankyouMalinga', 'indices': [22, 38]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0YtRDdQ7vh', 'expanded_url': 'https://twitter.com/surya_14kumar/status/1351945515382947842', 'display_url': 'twitter.com/surya_14kumar/…', 'indices': [41, 64]}]}",in
1351938557179551745,2021-01-20 17:04:04,🐐 #ThankyouMalinga 💙 https://t.co/DdOIIoD2nb,2483,263,"{'hashtags': [{'text': 'ThankyouMalinga', 'indices': [2, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DdOIIoD2nb', 'expanded_url': 'https://twitter.com/fanaticsofmi/status/1351896184822980610', 'display_url': 'twitter.com/fanaticsofmi/s…', 'indices': [21, 44]}]}",und
1351936901452886018,2021-01-20 16:57:29,"The chant and these wigs will stay on at the Wankhede forever 🏟

#ThankyouMalinga 💙 https://t.co/nVx4q8C2to",1146,141,"{'hashtags': [{'text': 'ThankyouMalinga', 'indices': [65, 81]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nVx4q8C2to', 'expanded_url': 'https://twitter.com/mumbaiindian_fc/status/1351930975324762114', 'display_url': 'twitter.com/mumbaiindian_f…', 'indices': [84, 107]}]}",en
1351936774415781893,2021-01-20 16:56:59,🥺 #ThankyouMalinga 💙 https://t.co/iAsgag5FJh,4357,422,"{'hashtags': [{'text': 'ThankyouMalinga', 'indices': [2, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iAsgag5FJh', 'expanded_url': 'https://twitter.com/rohitianshubham/status/1351894502621937664', 'display_url': 'twitter.com/rohitianshubha…', 'indices': [21, 44]}]}",und
1351936656920760327,2021-01-20 16:56:31,🙌🏼 #ThankyouMalinga 💙 https://t.co/K834ih0C5W,770,83,"{'hashtags': [{'text': 'ThankyouMalinga', 'indices': [3, 19]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/K834ih0C5W', 'expanded_url': 'https://twitter.com/etfyhxvrd5cn00o/status/1351887491159080961', 'display_url': 'twitter.com/etfyhxvrd5cn00…', 'indices': [22, 45]}]}",und
1351935083016564744,2021-01-20 16:50:16,For the slingy yorkers. For the slower balls. For keeping your calm in those final overs. #ThankyouMalinga 💙 https://t.co/NM25oqyYAw,2682,410,"{'hashtags': [{'text': 'ThankyouMalinga', 'indices': [90, 106]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NM25oqyYAw', 'expanded_url': 'https://twitter.com/loyalsachinfan/status/1351929830246268932', 'display_url': 'twitter.com/loyalsachinfan…', 'indices': [109, 132]}]}",en
1351924418193223681,2021-01-20 16:07:53,"“Would’ve liked Malinga to be a part of our bowling attack for the next 5 years.” - Akash Ambani

📰 More on Mali’s… https://t.co/Q3cONht3Tx",4190,552,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Q3cONht3Tx', 'expanded_url': 'https://twitter.com/i/web/status/1351924418193223681', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
