id,created_at,text,favorites,retweets,entities,language
1351969769570840578,2021-01-20 19:08:06,"@benjagaldames1 💪🏻 💪🏻 💪🏻
¡Dale, Benja! 🇲🇽

#PasiónyOrgullo | #FMFporNuestroFútbol",4,0,"{'hashtags': [{'text': 'PasiónyOrgullo', 'indices': [43, 58]}, {'text': 'FMFporNuestroFútbol', 'indices': [61, 81]}], 'symbols': [], 'user_mentions': [{'screen_name': 'benjagaldames1', 'name': 'benjagaldames', 'id': 970738726585462785, 'id_str': '970738726585462785', 'indices': [0, 15]}], 'urls': []}",und
1351969321963167750,2021-01-20 19:06:19,"#Sub20 

¡Despacito para engañar al arquero! 😉
¡Gran cobro, @benjagaldames1! 👌🏻 ⚽️

#PasiónyOrgullo |… https://t.co/gdQg222thS",68,8,"{'hashtags': [{'text': 'Sub20', 'indices': [0, 6]}, {'text': 'PasiónyOrgullo', 'indices': [84, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'benjagaldames1', 'name': 'benjagaldames', 'id': 970738726585462785, 'id_str': '970738726585462785', 'indices': [60, 75]}], 'urls': [{'url': 'https://t.co/gdQg222thS', 'expanded_url': 'https://twitter.com/i/web/status/1351969321963167750', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]}",es
1351911904483143681,2021-01-20 15:18:09,"@ColoresDice ¡Contamos contigo, Karlita! 👊🏻 💚

#PasiónyOrgullo | #FMFporNuestroFútbol",2,0,"{'hashtags': [{'text': 'PasiónyOrgullo', 'indices': [47, 62]}, {'text': 'FMFporNuestroFútbol', 'indices': [65, 85]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ColoresDice', 'name': 'Karla Najera ॐ', 'id': 114123613, 'id_str': '114123613', 'indices': [0, 12]}], 'urls': []}",es
1351908988728860672,2021-01-20 15:06:34,"📄 | NOTA 

¡Excelente! 🤩 🤩
¡Anótenle un partido más a su 🗓 porque enfrentaremos a 🇨🇷 a finales de marzo! 👏🏻 ⚽️ 🇲🇽… https://t.co/Fh1ji2GKtL",271,47,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Fh1ji2GKtL', 'expanded_url': 'https://twitter.com/i/web/status/1351908988728860672', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",es
1351736653522591744,2021-01-20 03:41:46,"¡Vaya día! 😮
¡Se presentó la nueva estructura de nuestras selecciones femeniles! 🙆🏻‍♀️🇲🇽

En el #Notituit de… https://t.co/e0mm5OH64x",132,14,"{'hashtags': [{'text': 'Notituit', 'indices': [96, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e0mm5OH64x', 'expanded_url': 'https://twitter.com/i/web/status/1351736653522591744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",es
1351717897161347072,2021-01-20 02:27:15,"¡Y por supuesto que @Panda_ana85 no se queda atrás! 😎

¡La nueva DT de la #Sub17Fem busca poner en alto el nombre d… https://t.co/qlM6bDHq8c",85,7,"{'hashtags': [{'text': 'Sub17Fem', 'indices': [74, 83]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Panda_ana85', 'name': 'Ana Galindo', 'id': 138110409, 'id_str': '138110409', 'indices': [20, 32]}], 'urls': [{'url': 'https://t.co/qlM6bDHq8c', 'expanded_url': 'https://twitter.com/i/web/status/1351717897161347072', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351717317340770305,2021-01-20 02:24:56,"Como 🐟 en el agua. 
@MaribelD9 se siente lista para tomar las riendas de la #Sub20Fem. 💚

¡A trabajar duro para con… https://t.co/ggv5v1Fp60",107,10,"{'hashtags': [{'text': 'Sub20Fem', 'indices': [76, 85]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MaribelD9', 'name': 'Maribel D', 'id': 310955781, 'id_str': '310955781', 'indices': [20, 30]}], 'urls': [{'url': 'https://t.co/ggv5v1Fp60', 'expanded_url': 'https://twitter.com/i/web/status/1351717317340770305', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351716176360050691,2021-01-20 02:20:24,"#Femenil | 🗣🗣🗣🗣
Motivación al 💯 de nuestra flamante nueva DT.

Mónica Vergara afrontará con valentía este reto, no… https://t.co/bSzza0Ol4B",366,32,"{'hashtags': [{'text': 'Femenil', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bSzza0Ol4B', 'expanded_url': 'https://twitter.com/i/web/status/1351716176360050691', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",es
1351692384002826251,2021-01-20 00:45:52,"#Sub20 | ¡Dos guerreros en acción! 🇲🇽

⚔️ Jordan Carrillo.
⚔️ @santi_mr10.

#PasiónyOrgullo | #FMFporNuestroFútbol https://t.co/uiOqxUzqFZ",127,9,"{'hashtags': [{'text': 'Sub20', 'indices': [0, 6]}, {'text': 'PasiónyOrgullo', 'indices': [76, 91]}, {'text': 'FMFporNuestroFútbol', 'indices': [94, 114]}], 'symbols': [], 'user_mentions': [{'screen_name': 'santi_mr10', 'name': 'Santiago Muñoz', 'id': 971906732673843200, 'id_str': '971906732673843200', 'indices': [62, 73]}], 'urls': [], 'media': [{'id': 1351690229757980674, 'id_str': '1351690229757980674', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/EsIrGjcXMAIvMPx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIrGjcXMAIvMPx.jpg', 'url': 'https://t.co/uiOqxUzqFZ', 'display_url': 'pic.twitter.com/uiOqxUzqFZ', 'expanded_url': 'https://twitter.com/miseleccionmx/status/1351692384002826251/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 835, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1424, 'resize': 'fit'}, 'small': {'w': 680, 'h': 473, 'resize': 'fit'}}}]}",es
1351680478718394370,2021-01-19 23:58:33,"@karlareta @FMF @MaribelD9 ¡Estamos seguros que así será! 👊🏻 ⚽️ 🇲🇽

#PasiónyOrgullo | #FMFporNuestroFútbol",0,0,"{'hashtags': [{'text': 'PasiónyOrgullo', 'indices': [68, 83]}, {'text': 'FMFporNuestroFútbol', 'indices': [86, 106]}], 'symbols': [], 'user_mentions': [{'screen_name': 'karlareta', 'name': 'La Chula !!!', 'id': 295932435, 'id_str': '295932435', 'indices': [0, 10]}, {'screen_name': 'FMF', 'name': 'Federación Mexicana de Fútbol', 'id': 90794394, 'id_str': '90794394', 'indices': [11, 15]}, {'screen_name': 'MaribelD9', 'name': 'Maribel D', 'id': 310955781, 'id_str': '310955781', 'indices': [16, 26]}], 'urls': []}",es
