id,created_at,text,favorites,retweets,entities,language
1351980162255097857,2021-01-20 19:49:23,"👊⚽💥 ¡No queda nada para que comience a rodar el balón!
#RMCopa | #HalaMadrid https://t.co/BCuHd5dCcA",109,8,"{'hashtags': [{'text': 'RMCopa', 'indices': [55, 62]}, {'text': 'HalaMadrid', 'indices': [65, 76]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351979705881272323, 'id_str': '1351979705881272323', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351979705881272323/img/25_60qQQ8lufdxhJ.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351979705881272323/img/25_60qQQ8lufdxhJ.jpg', 'url': 'https://t.co/BCuHd5dCcA', 'display_url': 'pic.twitter.com/BCuHd5dCcA', 'expanded_url': 'https://twitter.com/realmadrid/status/1351980162255097857/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",es
1351977118658396161,2021-01-20 19:37:18,"⚡ ¡VAMOS EQUIPO! ⚡
#RMCopa | #HalaMadrid https://t.co/rBMDjP1e9s",722,76,"{'hashtags': [{'text': 'RMCopa', 'indices': [19, 26]}, {'text': 'HalaMadrid', 'indices': [29, 40]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351976764424257536, 'id_str': '1351976764424257536', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351976764424257536/img/qkQjbbG12bA7_6uI.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351976764424257536/img/qkQjbbG12bA7_6uI.jpg', 'url': 'https://t.co/rBMDjP1e9s', 'display_url': 'pic.twitter.com/rBMDjP1e9s', 'expanded_url': 'https://twitter.com/realmadrid/status/1351977118658396161/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",es
1351976409137360902,2021-01-20 19:34:29,"🥅🧤 ¡@AndreyLunin13 se estrena en la portería!
#RMCopa | #HalaMadrid https://t.co/QrvZZd0lds",822,67,"{'hashtags': [{'text': 'RMCopa', 'indices': [46, 53]}, {'text': 'HalaMadrid', 'indices': [56, 67]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AndreyLunin13', 'name': 'Andrey Lunin', 'id': 1301624053816533003, 'id_str': '1301624053816533003', 'indices': [4, 18]}], 'urls': [], 'media': [{'id': 1351975301321027593, 'id_str': '1351975301321027593', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351975301321027593/img/hjw5VmEH6db_wfgV.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351975301321027593/img/hjw5VmEH6db_wfgV.jpg', 'url': 'https://t.co/QrvZZd0lds', 'display_url': 'pic.twitter.com/QrvZZd0lds', 'expanded_url': 'https://twitter.com/realmadrid/status/1351976409137360902/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",es
1351976231684681733,2021-01-20 19:33:46,"🌱✨ ¡El escenario de esta noche!
#RMCopa | #HalaMadrid https://t.co/eBgoK2yV7a",614,49,"{'hashtags': [{'text': 'RMCopa', 'indices': [32, 39]}, {'text': 'HalaMadrid', 'indices': [42, 53]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351973118265405443, 'id_str': '1351973118265405443', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351973118265405443/img/lelnQlGM91JuPxgL.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351973118265405443/img/lelnQlGM91JuPxgL.jpg', 'url': 'https://t.co/eBgoK2yV7a', 'display_url': 'pic.twitter.com/eBgoK2yV7a', 'expanded_url': 'https://twitter.com/realmadrid/status/1351976231684681733/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",es
1351972251290140672,2021-01-20 19:17:57,📺🔥 EN DIRECT🔴 | ¡Nuestro calentamiento en El Collao!  #RMCopa | #HalaMadrid https://t.co/2pqNYQ1JPi,705,79,"{'hashtags': [{'text': 'RMCopa', 'indices': [54, 61]}, {'text': 'HalaMadrid', 'indices': [64, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2pqNYQ1JPi', 'expanded_url': 'https://www.pscp.tv/w/ctcn5TI1MDE0ODJ8MWt2SnBvcGVWT09HRdmlkdG9vZg8IRwl_fmecXIs4K6s1Lw_0s3Ep9GVXaK_', 'display_url': 'pscp.tv/w/ctcn5TI1MDE0…', 'indices': [76, 99]}]}",es
1351971566125461504,2021-01-20 19:15:14,"🏟️⬅️🚌 ¡De camino a El Collao!
#RMCopa | #HalaMadrid https://t.co/x6b8JAxYQe",1166,102,"{'hashtags': [{'text': 'RMCopa', 'indices': [30, 37]}, {'text': 'HalaMadrid', 'indices': [40, 51]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351970856306671617, 'id_str': '1351970856306671617', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351970856306671617/img/uBrA9A7m95tg53RP.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351970856306671617/img/uBrA9A7m95tg53RP.jpg', 'url': 'https://t.co/x6b8JAxYQe', 'display_url': 'pic.twitter.com/x6b8JAxYQe', 'expanded_url': 'https://twitter.com/realmadrid/status/1351971566125461504/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",es
1351965283771150343,2021-01-20 18:50:16,"📋✅ ¡Nuestro 𝗫𝗜 inicial 🆚 @CD_Alcoyano! 
@Liberbank | #RMCopa https://t.co/BxKdWHa2eK",4387,755,"{'hashtags': [{'text': 'RMCopa', 'indices': [53, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_Alcoyano', 'name': 'CD Alcoyano SAD', 'id': 292505816, 'id_str': '292505816', 'indices': [25, 37]}, {'screen_name': 'Liberbank', 'name': 'Liberbank', 'id': 333301660, 'id_str': '333301660', 'indices': [40, 50]}], 'urls': [], 'media': [{'id': 1351965271905497093, 'id_str': '1351965271905497093', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EsMlQHSXcAUWCRg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMlQHSXcAUWCRg.jpg', 'url': 'https://t.co/BxKdWHa2eK', 'display_url': 'pic.twitter.com/BxKdWHa2eK', 'expanded_url': 'https://twitter.com/realmadrid/status/1351965283771150343/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",es
1351953236077510659,2021-01-20 18:02:24,"📌 ¡HORARIO CONFIRMADO! ✅
🆚 @SDHuesca
🏟️ El Alcoraz
📅 Sábado, 6 de febrero
⏰ 16h15 CET
🏆 @LaLiga
👉 Jornada 22… https://t.co/J3MoQcx9EI",1930,155,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SDHuesca', 'name': 'SD Huesca', 'id': 97429809, 'id_str': '97429809', 'indices': [27, 36]}, {'screen_name': 'LaLiga', 'name': 'LaLiga', 'id': 423384542, 'id_str': '423384542', 'indices': [88, 95]}], 'urls': [{'url': 'https://t.co/J3MoQcx9EI', 'expanded_url': 'https://twitter.com/i/web/status/1351953236077510659', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",es
1351886848218509314,2021-01-20 13:38:36,"ℹ️ @nachofi1990, baja de última hora en la convocatoria,
#RealMadrid",2221,194,"{'hashtags': [{'text': 'RealMadrid', 'indices': [57, 68]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nachofi1990', 'name': 'Nacho Fernández', 'id': 176210542, 'id_str': '176210542', 'indices': [3, 15]}], 'urls': []}",es
1351863305690873856,2021-01-20 12:05:03,"👏🔝 ¡@SergioRamos está en el Equipo del Año de la UEFA 2020!
9️⃣ ¡Ha sido incluido en este once ideal por novena oca… https://t.co/m37bROi2iN",5712,406,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SergioRamos', 'name': 'Sergio Ramos', 'id': 151123001, 'id_str': '151123001', 'indices': [4, 16]}], 'urls': [{'url': 'https://t.co/m37bROi2iN', 'expanded_url': 'https://twitter.com/i/web/status/1351863305690873856', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351857134871392258,2021-01-20 11:40:31,"🛬 ¡Nuestra llegada a Alicante!
@PalladiumHG | #MVPalladium | #RMCopa https://t.co/9VIBbXF56B",2221,163,"{'hashtags': [{'text': 'MVPalladium', 'indices': [46, 58]}, {'text': 'RMCopa', 'indices': [61, 68]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PalladiumHG', 'name': 'PalladiumHG', 'id': 97211244, 'id_str': '97211244', 'indices': [31, 43]}], 'urls': [], 'media': [{'id': 1351855832619749377, 'id_str': '1351855832619749377', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/EsLCPXkXUAEBGCO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLCPXkXUAEBGCO.jpg', 'url': 'https://t.co/9VIBbXF56B', 'display_url': 'pic.twitter.com/9VIBbXF56B', 'expanded_url': 'https://twitter.com/realmadrid/status/1351857134871392258/video/1', 'type': 'photo', 'sizes': {'medium': {'w': 640, 'h': 640, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 640, 'resize': 'fit'}, 'small': {'w': 640, 'h': 640, 'resize': 'fit'}}}]}",es
1351842133733482496,2021-01-20 10:40:55,"🛫 Próximo destino: Alcoy y... ¡La Copa del Rey!
#RMCopa | #HalaMadrid https://t.co/pIHJBf1fD2",2137,162,"{'hashtags': [{'text': 'RMCopa', 'indices': [48, 55]}, {'text': 'HalaMadrid', 'indices': [58, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351841677917515787, 'id_str': '1351841677917515787', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/EsK1FbtXYAMisie.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsK1FbtXYAMisie.jpg', 'url': 'https://t.co/pIHJBf1fD2', 'display_url': 'pic.twitter.com/pIHJBf1fD2', 'expanded_url': 'https://twitter.com/realmadrid/status/1351842133733482496/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",es
1351831842840842241,2021-01-20 10:00:01,"👑⚽👊 ¡A por nuestro debut en la Copa del Rey!

📰👀 ¡No te pierdas toda la 𝒑𝒓𝒆𝒗𝒊𝒂 del partido! 👇
#RMCopa | #HalaMadrid",2186,180,"{'hashtags': [{'text': 'RMCopa', 'indices': [94, 101]}, {'text': 'HalaMadrid', 'indices': [104, 115]}], 'symbols': [], 'user_mentions': [], 'urls': []}",es
1351816741068922880,2021-01-20 09:00:01,"🗺️⚽⏰ ¡Estos son los horarios alrededor del mundo de nuestro debut en Copa del Rey 🆚 @CD_Alcoyano!
🌎 ¡Contadnos desd… https://t.co/spRwokFW3D",1271,107,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_Alcoyano', 'name': 'CD Alcoyano SAD', 'id': 292505816, 'id_str': '292505816', 'indices': [84, 96]}], 'urls': [{'url': 'https://t.co/spRwokFW3D', 'expanded_url': 'https://twitter.com/i/web/status/1351816741068922880', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351801638839857152,2021-01-20 08:00:00,"🙌 ¡DÍA DE PARTIDO! 🙌
🆚 @CD_Alcoyano
🔀 Dieciseisavos de final
🏆 Copa del Rey 
🏟️ El Collao
⏰ 21:00 CET
#️⃣ #RMCopa |… https://t.co/m6ZzZrlLF6",1707,240,"{'hashtags': [{'text': 'RMCopa', 'indices': [106, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_Alcoyano', 'name': 'CD Alcoyano SAD', 'id': 292505816, 'id_str': '292505816', 'indices': [23, 35]}], 'urls': [{'url': 'https://t.co/m6ZzZrlLF6', 'expanded_url': 'https://twitter.com/i/web/status/1351801638839857152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
