id,created_at,text,favorites,retweets,entities,language
1351980740850946048,2021-01-20 19:51:41,"👊⚽ لم يتبقى سوى دقائق قليلة لبداية المباراة!
💥 هل أنتم جاهزون مدريدستاس؟
#هلا_مدريد | #RMCopa https://t.co/2SnR4VDJrD",33,4,"{'hashtags': [{'text': 'هلا_مدريد', 'indices': [73, 83]}, {'text': 'RMCopa', 'indices': [86, 93]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351980197617270787, 'id_str': '1351980197617270787', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351980197617270787/img/J5DZGIg7grl636dd.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351980197617270787/img/J5DZGIg7grl636dd.jpg', 'url': 'https://t.co/2SnR4VDJrD', 'display_url': 'pic.twitter.com/2SnR4VDJrD', 'expanded_url': 'https://twitter.com/realmadridarab/status/1351980740850946048/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",ar
1351979308013793282,2021-01-20 19:46:00,"⚡ هيّا يا ملكي! ⚡
#هلا_مدريد | #RMCopa https://t.co/nNCsMlgpg6",101,9,"{'hashtags': [{'text': 'هلا_مدريد', 'indices': [18, 28]}, {'text': 'RMCopa', 'indices': [31, 38]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351976945098117122, 'id_str': '1351976945098117122', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351976945098117122/img/GBKbmSZRAA61QsWs.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351976945098117122/img/GBKbmSZRAA61QsWs.jpg', 'url': 'https://t.co/nNCsMlgpg6', 'display_url': 'pic.twitter.com/nNCsMlgpg6', 'expanded_url': 'https://twitter.com/realmadridarab/status/1351979308013793282/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",ar
1351978546172932100,2021-01-20 19:42:58,"🥅🧤 !ظهور لونين الأول 
@AndreyLunin13 
#هلا_مدريد | #RMCopa https://t.co/0CetaQNnG7",110,9,"{'hashtags': [{'text': 'هلا_مدريد', 'indices': [38, 48]}, {'text': 'RMCopa', 'indices': [51, 58]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AndreyLunin13', 'name': 'Andrey Lunin', 'id': 1301624053816533003, 'id_str': '1301624053816533003', 'indices': [22, 36]}], 'urls': [], 'media': [{'id': 1351977537027637251, 'id_str': '1351977537027637251', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351977537027637251/img/jQZedKFeagv05bpJ.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351977537027637251/img/jQZedKFeagv05bpJ.jpg', 'url': 'https://t.co/0CetaQNnG7', 'display_url': 'pic.twitter.com/0CetaQNnG7', 'expanded_url': 'https://twitter.com/realmadridarab/status/1351978546172932100/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",ar
1351977592740573187,2021-01-20 19:39:11,"🌱✨ مسرح مباراة الليلة على أتم استعداد! 
#هلا_مدريد | #RMCopa https://t.co/eJ4IaaPnf4",92,6,"{'hashtags': [{'text': 'هلا_مدريد', 'indices': [40, 50]}, {'text': 'RMCopa', 'indices': [53, 60]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351977491322335234, 'id_str': '1351977491322335234', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351977491322335234/img/i5H5-uUT_BJWa6PE.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351977491322335234/img/i5H5-uUT_BJWa6PE.jpg', 'url': 'https://t.co/eJ4IaaPnf4', 'display_url': 'pic.twitter.com/eJ4IaaPnf4', 'expanded_url': 'https://twitter.com/realmadridarab/status/1351977592740573187/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",ar
1351972467531771909,2021-01-20 19:18:49,"🔥⚒️ مباشر: عملية الإحماء من أرض الملعب! 
#هلا_مدريد | #RMCopa https://t.co/UfE1I64KyV",88,11,"{'hashtags': [{'text': 'هلا_مدريد', 'indices': [41, 51]}, {'text': 'RMCopa', 'indices': [54, 61]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UfE1I64KyV', 'expanded_url': 'https://twitter.com/realmadriden/status/1351972324795301888', 'display_url': 'twitter.com/realmadriden/s…', 'indices': [62, 85]}]}",ar
1351971691489095686,2021-01-20 19:15:44,"🏟️⬅️🚌  في طريقنا إلى الملعب!
#RMCopa | #هلا_مدريد https://t.co/dx23MZIvWh",190,20,"{'hashtags': [{'text': 'RMCopa', 'indices': [29, 36]}, {'text': 'هلا_مدريد', 'indices': [39, 49]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351971117934772228, 'id_str': '1351971117934772228', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351971117934772228/img/nV2vUpUpLY5GCG2j.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351971117934772228/img/nV2vUpUpLY5GCG2j.jpg', 'url': 'https://t.co/dx23MZIvWh', 'display_url': 'pic.twitter.com/dx23MZIvWh', 'expanded_url': 'https://twitter.com/realmadridarab/status/1351971691489095686/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",ar
1351965474297405441,2021-01-20 18:51:02,"📋✅  معكم تشكيلتنا أمام @CD_Alcoyano لمباراة كأس الملك! 
#هلا_مدريد | #RMCopa https://t.co/mqhPduLrUw",279,23,"{'hashtags': [{'text': 'هلا_مدريد', 'indices': [56, 66]}, {'text': 'RMCopa', 'indices': [69, 76]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_Alcoyano', 'name': 'CD Alcoyano SAD', 'id': 292505816, 'id_str': '292505816', 'indices': [23, 35]}], 'urls': [], 'media': [{'id': 1351965368454098945, 'id_str': '1351965368454098945', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/media/EsMlVu9WMAE4BqC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMlVu9WMAE4BqC.jpg', 'url': 'https://t.co/mqhPduLrUw', 'display_url': 'pic.twitter.com/mqhPduLrUw', 'expanded_url': 'https://twitter.com/realmadridarab/status/1351965474297405441/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",ar
1351954633640583176,2021-01-20 18:07:57,"📌 تم تأكيد توقيت المباراة!  ✅
🆚 @SDHuesca
🏟️ إل ألكوراز 
📅 السبت، 6 فبراير
⏰ 18:15 بتوقيت السعودية 
🏆 @LaLigaArab:… https://t.co/goyslaroqk",219,15,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SDHuesca', 'name': 'SD Huesca', 'id': 97429809, 'id_str': '97429809', 'indices': [32, 41]}, {'screen_name': 'LaLigaArab', 'name': 'LaLiga', 'id': 827488482721402884, 'id_str': '827488482721402884', 'indices': [102, 113]}], 'urls': [{'url': 'https://t.co/goyslaroqk', 'expanded_url': 'https://twitter.com/i/web/status/1351954633640583176', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",ar
1351952637072125955,2021-01-20 18:00:01,"🗺️⚽⏰ خريطة توقيت مواجهة الليلة! 
🆚 @CD_Alcoyano!
🌎 أين ستشاهد مباراة كأس الملك؟ 👇
#RMCopa | #هلا_مدريد https://t.co/lJUb1Gt8pg",136,11,"{'hashtags': [{'text': 'RMCopa', 'indices': [82, 89]}, {'text': 'هلا_مدريد', 'indices': [92, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_Alcoyano', 'name': 'CD Alcoyano SAD', 'id': 292505816, 'id_str': '292505816', 'indices': [35, 47]}], 'urls': [], 'media': [{'id': 1351930969608114176, 'id_str': '1351930969608114176', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/media/EsMGDdRXUAAT77Z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMGDdRXUAAT77Z.jpg', 'url': 'https://t.co/lJUb1Gt8pg', 'display_url': 'pic.twitter.com/lJUb1Gt8pg', 'expanded_url': 'https://twitter.com/realmadridarab/status/1351952637072125955/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",ar
1351937538202734592,2021-01-20 17:00:01,"👏🔝9️⃣ سيرخيو راموس، في التشكيلة المثالية لـ @UEFA لعام 2020!
اختير الكابتن للمرة التاسعة في مسيرته.
#TeamOfTheYear|… https://t.co/ifrqVJcGXT",386,29,"{'hashtags': [{'text': 'TeamOfTheYear', 'indices': [100, 114]}], 'symbols': [], 'user_mentions': [{'screen_name': 'UEFA', 'name': 'UEFA', 'id': 2326857668, 'id_str': '2326857668', 'indices': [44, 49]}], 'urls': [{'url': 'https://t.co/ifrqVJcGXT', 'expanded_url': 'https://twitter.com/i/web/status/1351937538202734592', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ar
