id,created_at,text,favorites,retweets,entities,language
1351980432242450442,2021-01-20 19:50:28,"👊⚽💥 Ready to GO!
#RMCopa | #HalaMadrid https://t.co/HdueRN8dlb",103,12,"{'hashtags': [{'text': 'RMCopa', 'indices': [17, 24]}, {'text': 'HalaMadrid', 'indices': [27, 38]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351980220597858304, 'id_str': '1351980220597858304', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351980220597858304/img/vjaTRGsJLbedC6tj.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351980220597858304/img/vjaTRGsJLbedC6tj.jpg', 'url': 'https://t.co/HdueRN8dlb', 'display_url': 'pic.twitter.com/HdueRN8dlb', 'expanded_url': 'https://twitter.com/realmadriden/status/1351980432242450442/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351978775089721352,2021-01-20 19:43:53,"⚡ LET'S DO THIS! ⚡
#RMCopa | #HalaMadrid https://t.co/Sz8YluYPtZ",254,22,"{'hashtags': [{'text': 'RMCopa', 'indices': [19, 26]}, {'text': 'HalaMadrid', 'indices': [29, 40]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351978653383598082, 'id_str': '1351978653383598082', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351978653383598082/img/qbQgDAGxk-nsk-DK.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351978653383598082/img/qbQgDAGxk-nsk-DK.jpg', 'url': 'https://t.co/Sz8YluYPtZ', 'display_url': 'pic.twitter.com/Sz8YluYPtZ', 'expanded_url': 'https://twitter.com/realmadriden/status/1351978775089721352/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351977496917528579,2021-01-20 19:38:48,"🥅🧤 @AndreyLunin13's debut on goal is coming up! 
✨ VAMOS!
#RMCopa | #HalaMadrid https://t.co/KcnvFwrJoU",293,23,"{'hashtags': [{'text': 'RMCopa', 'indices': [58, 65]}, {'text': 'HalaMadrid', 'indices': [68, 79]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AndreyLunin13', 'name': 'Andrey Lunin', 'id': 1301624053816533003, 'id_str': '1301624053816533003', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1351977369729380352, 'id_str': '1351977369729380352', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351977369729380352/img/Sxtsy3upPSUo6wyk.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351977369729380352/img/Sxtsy3upPSUo6wyk.jpg', 'url': 'https://t.co/KcnvFwrJoU', 'display_url': 'pic.twitter.com/KcnvFwrJoU', 'expanded_url': 'https://twitter.com/realmadriden/status/1351977496917528579/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351977042867347457,2021-01-20 19:37:00,"🌱✨ The stage is set at El Collao!
#RMCopa | #HalaMadrid https://t.co/Hr2ogzJK9h",275,27,"{'hashtags': [{'text': 'RMCopa', 'indices': [34, 41]}, {'text': 'HalaMadrid', 'indices': [44, 55]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351976791708229636, 'id_str': '1351976791708229636', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351976791708229636/img/P8ojNgFi4Yb24Y8Y.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351976791708229636/img/P8ojNgFi4Yb24Y8Y.jpg', 'url': 'https://t.co/Hr2ogzJK9h', 'display_url': 'pic.twitter.com/Hr2ogzJK9h', 'expanded_url': 'https://twitter.com/realmadriden/status/1351977042867347457/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351972324795301888,2021-01-20 19:18:15,Watch our warm-up ahead of the Copa match 🆚 @CD_Alcoyano! #RMCopa https://t.co/HV6mawmL5L,380,35,"{'hashtags': [{'text': 'RMCopa', 'indices': [58, 65]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_Alcoyano', 'name': 'CD Alcoyano SAD', 'id': 292505816, 'id_str': '292505816', 'indices': [44, 56]}], 'urls': [{'url': 'https://t.co/HV6mawmL5L', 'expanded_url': 'https://www.pscp.tv/w/ctcn9zF4ZUVXeU1XeGVaS1B8MVlxSkRlYnBEbk54VvzvzH_Ug-_gWpF9DddynUEwDcxeYRFi4vGb9coMcBoc', 'display_url': 'pscp.tv/w/ctcn9zF4ZUVX…', 'indices': [66, 89]}]}",en
1351971997404831747,2021-01-20 19:16:57,"⚡️🏟️ On our way to #RMCopa!
#HalaMadrid https://t.co/K0bUBD9jWq",530,54,"{'hashtags': [{'text': 'RMCopa', 'indices': [19, 26]}, {'text': 'HalaMadrid', 'indices': [28, 39]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351971080823590917, 'id_str': '1351971080823590917', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351971080823590917/img/anW0RS-95doNK-Ds.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351971080823590917/img/anW0RS-95doNK-Ds.jpg', 'url': 'https://t.co/K0bUBD9jWq', 'display_url': 'pic.twitter.com/K0bUBD9jWq', 'expanded_url': 'https://twitter.com/realmadriden/status/1351971997404831747/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351965419192672257,2021-01-20 18:50:48,"📋✅ Our starting XI 🆚 @CD_Alcoyano!
#HalaMadrid | #RMCopa https://t.co/bvbFuDd1UC",1581,186,"{'hashtags': [{'text': 'HalaMadrid', 'indices': [35, 46]}, {'text': 'RMCopa', 'indices': [49, 56]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_Alcoyano', 'name': 'CD Alcoyano SAD', 'id': 292505816, 'id_str': '292505816', 'indices': [21, 33]}], 'urls': [], 'media': [{'id': 1351965291660648449, 'id_str': '1351965291660648449', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EsMlRQ4XIAEmtSN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMlRQ4XIAEmtSN.jpg', 'url': 'https://t.co/bvbFuDd1UC', 'display_url': 'pic.twitter.com/bvbFuDd1UC', 'expanded_url': 'https://twitter.com/realmadriden/status/1351965419192672257/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351954354182500353,2021-01-20 18:06:50,"📌 CONFIRMED KICK-OFF TIME! ✅
🆚 @SDHuesca
🏟️ El Alcoraz
📅 Saturday, February 6
⏰ 16h15 CET
🏆 @LaLigaEN
👉 Matchday 22… https://t.co/wsZU0kj8GX",862,56,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SDHuesca', 'name': 'SD Huesca', 'id': 97429809, 'id_str': '97429809', 'indices': [31, 40]}, {'screen_name': 'LaLigaEN', 'name': 'LaLiga English', 'id': 4704552148, 'id_str': '4704552148', 'indices': [92, 101]}], 'urls': [{'url': 'https://t.co/wsZU0kj8GX', 'expanded_url': 'https://twitter.com/i/web/status/1351954354182500353', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351887923059314690,2021-01-20 13:42:52,"ℹ️ @nachofi1990, last-minute withdrawal from the squad.
#RealMadrid",944,52,"{'hashtags': [{'text': 'RealMadrid', 'indices': [56, 67]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nachofi1990', 'name': 'Nacho Fernández', 'id': 176210542, 'id_str': '176210542', 'indices': [3, 15]}], 'urls': []}",en
1351863399030915074,2021-01-20 12:05:25,👏🔝9️⃣ @SergioRamos has made the UEFA #TeamOfTheYear for the NINTH time! #HalaMadrid https://t.co/XY3PIUXbhd,4108,309,"{'hashtags': [{'text': 'TeamOfTheYear', 'indices': [37, 51]}, {'text': 'HalaMadrid', 'indices': [72, 83]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SergioRamos', 'name': 'Sergio Ramos', 'id': 151123001, 'id_str': '151123001', 'indices': [6, 18]}], 'urls': [], 'media': [{'id': 1351863048621989889, 'id_str': '1351863048621989889', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/EsLIR74XIAEdp-r.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLIR74XIAEdp-r.jpg', 'url': 'https://t.co/XY3PIUXbhd', 'display_url': 'pic.twitter.com/XY3PIUXbhd', 'expanded_url': 'https://twitter.com/realmadriden/status/1351863399030915074/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}",en
