id,created_at,text,favorites,retweets,entities,language
1351980278340755456,2021-01-20 19:49:51,"Your main event is coming at ya! 💢

@MikeMav22 vs @NeilMagny make their walk in just moments. 

[ #UFCFightIsland8… https://t.co/F4spg3LoNH",93,19,"{'hashtags': [{'text': 'UFCFightIsland8', 'indices': [98, 114]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MikeMav22', 'name': 'Michael Chiesa', 'id': 262463930, 'id_str': '262463930', 'indices': [36, 46]}, {'screen_name': 'NeilMagny', 'name': 'Neil Magny', 'id': 794537022, 'id_str': '794537022', 'indices': [50, 60]}], 'urls': [{'url': 'https://t.co/F4spg3LoNH', 'expanded_url': 'https://twitter.com/i/web/status/1351980278340755456', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351980106135306240,2021-01-20 19:49:10,"Wasted no time to get the TKO in RD 1️⃣

🇧🇷 @WarlleyAlvesMMA back in the win column!

[ The action continues LIVE o… https://t.co/QEcVIqtXSc",85,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'warlleyalvesmma', 'name': 'Warlley Alves', 'id': 2351921411, 'id_str': '2351921411', 'indices': [44, 60]}], 'urls': [{'url': 'https://t.co/QEcVIqtXSc', 'expanded_url': 'https://twitter.com/i/web/status/1351980106135306240', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351979195723821057,2021-01-20 19:45:33,"And he's BACK! 

🇧🇷 @WarlleyAlvesMMA gets it done QUICK at #UFCFightIsland8. 

[ #InAbuDhabi | @VisitAbuDhabi ] https://t.co/AI1JmYvwAG",299,54,"{'hashtags': [{'text': 'UFCFightIsland8', 'indices': [59, 75]}, {'text': 'InAbuDhabi', 'indices': [81, 92]}], 'symbols': [], 'user_mentions': [{'screen_name': 'warlleyalvesmma', 'name': 'Warlley Alves', 'id': 2351921411, 'id_str': '2351921411', 'indices': [20, 36]}, {'screen_name': 'VisitAbuDhabi', 'name': 'Visit Abu Dhabi', 'id': 246677188, 'id_str': '246677188', 'indices': [95, 109]}], 'urls': [], 'media': [{'id': 1351979157853515776, 'id_str': '1351979157853515776', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/EsMx4xOW8AAOthO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMx4xOW8AAOthO.jpg', 'url': 'https://t.co/AI1JmYvwAG', 'display_url': 'pic.twitter.com/AI1JmYvwAG', 'expanded_url': 'https://twitter.com/ufc/status/1351979195723821057/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",en
1351975508108472320,2021-01-20 19:30:54,"Good vibes only with @DC_MMA in the Octagon at #UFCFightIsland8 🎤

[ #InAbuDhabi | @VisitAbuDhabi ] https://t.co/ONmCLG2V04",1007,34,"{'hashtags': [{'text': 'UFCFightIsland8', 'indices': [47, 63]}, {'text': 'InAbuDhabi', 'indices': [69, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'dc_mma', 'name': 'Daniel Cormier', 'id': 57516454, 'id_str': '57516454', 'indices': [21, 28]}, {'screen_name': 'VisitAbuDhabi', 'name': 'Visit Abu Dhabi', 'id': 246677188, 'id_str': '246677188', 'indices': [83, 97]}], 'urls': [], 'media': [{'id': 1351975268131356672, 'id_str': '1351975268131356672', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EsMuV-IVQAAvsWP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMuV-IVQAAvsWP.jpg', 'url': 'https://t.co/ONmCLG2V04', 'display_url': 'pic.twitter.com/ONmCLG2V04', 'expanded_url': 'https://twitter.com/ufc/status/1351975508108472320/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",en
1351974566092890112,2021-01-20 19:27:09,"Your co-main is on deck! 🗣

🇧🇷 @WarlleyAlvesMMA and @Mounir_Lazzez 🇹🇳 are headed for the Octagon now. 

[… https://t.co/7DDxKmKDwm",137,18,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'warlleyalvesmma', 'name': 'Warlley Alves', 'id': 2351921411, 'id_str': '2351921411', 'indices': [31, 47]}, {'screen_name': 'Mounir_lazzez', 'name': 'Mounir “The Sniper” Lazzez', 'id': 1718188500, 'id_str': '1718188500', 'indices': [52, 66]}], 'urls': [{'url': 'https://t.co/7DDxKmKDwm', 'expanded_url': 'https://twitter.com/i/web/status/1351974566092890112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}",en
1351974245614579712,2021-01-20 19:25:53,RT @UFCEurope: 🎥🔴 The @DC_MMA is running HOT. #UFCFightIsland8 https://t.co/fLS2xKwLGL,0,12,"{'hashtags': [{'text': 'UFCFightIsland8', 'indices': [46, 62]}], 'symbols': [], 'user_mentions': [{'screen_name': 'UFCEurope', 'name': 'UFC Europe', 'id': 198624698, 'id_str': '198624698', 'indices': [3, 13]}, {'screen_name': 'dc_mma', 'name': 'Daniel Cormier', 'id': 57516454, 'id_str': '57516454', 'indices': [22, 29]}], 'urls': [], 'media': [{'id': 1351972259460747274, 'id_str': '1351972259460747274', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EsMrm19XEAoghJd.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EsMrm19XEAoghJd.jpg', 'url': 'https://t.co/fLS2xKwLGL', 'display_url': 'pic.twitter.com/fLS2xKwLGL', 'expanded_url': 'https://twitter.com/UFCEurope/status/1351972278649708544/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}, 'source_status_id': 1351972278649708544, 'source_status_id_str': '1351972278649708544', 'source_user_id': 198624698, 'source_user_id_str': '198624698'}]}",en
1351973788896776192,2021-01-20 19:24:04,"Came with a point to prove! 😤

@Hurricane_UFC notches his first UFC victory by KO. 

[ The action continues LIVE on… https://t.co/xdbPMno673",228,23,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hurricane_ufc', 'name': 'Ike Villanueva', 'id': 707659333849317378, 'id_str': '707659333849317378', 'indices': [31, 45]}], 'urls': [{'url': 'https://t.co/xdbPMno673', 'expanded_url': 'https://twitter.com/i/web/status/1351973788896776192', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351972330134757384,2021-01-20 19:18:16,"JUST. LIKE. THAT. 🤯

@Hurricane_UFC with an insane right hook KO!

[ #UFCFightIsland8 | #InAbuDhabi |… https://t.co/3IKyuf0YKB",724,200,"{'hashtags': [{'text': 'UFCFightIsland8', 'indices': [69, 85]}, {'text': 'InAbuDhabi', 'indices': [88, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'hurricane_ufc', 'name': 'Ike Villanueva', 'id': 707659333849317378, 'id_str': '707659333849317378', 'indices': [21, 35]}], 'urls': [{'url': 'https://t.co/3IKyuf0YKB', 'expanded_url': 'https://twitter.com/i/web/status/1351972330134757384', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]}",en
1351969733826920449,2021-01-20 19:07:57,"Respect 👏

@RoxyFighter and @ViviAraujoMMA gave it their all in the Octagon.

[ #UFCFightIsland8 | #InAbuDhabi |… https://t.co/HBJDK4Eeca",256,21,"{'hashtags': [{'text': 'UFCFightIsland8', 'indices': [80, 96]}, {'text': 'InAbuDhabi', 'indices': [99, 110]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Roxyfighter', 'name': 'Roxanne Modafferi', 'id': 46868950, 'id_str': '46868950', 'indices': [11, 23]}, {'screen_name': 'ViviAraujoMMA', 'name': 'Vivi Araujo', 'id': 918954846149140480, 'id_str': '918954846149140480', 'indices': [28, 42]}], 'urls': [{'url': 'https://t.co/HBJDK4Eeca', 'expanded_url': 'https://twitter.com/i/web/status/1351969733826920449', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1351968739013525505,2021-01-20 19:04:00,"The LHWs have entered 😤

🇺🇸 @Hurricane_UFC takes on Moreira 🇧🇷 NEXT!

[ #UFCFightIsland8 continues LIVE on @ESPN &amp;… https://t.co/DE6XFnKhlq",142,19,"{'hashtags': [{'text': 'UFCFightIsland8', 'indices': [72, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'hurricane_ufc', 'name': 'Ike Villanueva', 'id': 707659333849317378, 'id_str': '707659333849317378', 'indices': [28, 42]}, {'screen_name': 'espn', 'name': 'ESPN', 'id': 2557521, 'id_str': '2557521', 'indices': [107, 112]}], 'urls': [{'url': 'https://t.co/DE6XFnKhlq', 'expanded_url': 'https://twitter.com/i/web/status/1351968739013525505', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
