id,created_at,text,favorites,retweets,entities,language
1351975086216019969,2021-01-20 19:29:13,"""The city of Oakland means everything to me. It's home.""

@Rakuten || Oakland Forever https://t.co/OM57Jh7YZ5",660,71,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Rakuten', 'name': 'Rakuten', 'id': 18027568, 'id_str': '18027568', 'indices': [58, 66]}], 'urls': [], 'media': [{'id': 1351972159204147200, 'id_str': '1351972159204147200', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/EsMr4KCVEAEMwoU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMr4KCVEAEMwoU.jpg', 'url': 'https://t.co/OM57Jh7YZ5', 'display_url': 'pic.twitter.com/OM57Jh7YZ5', 'expanded_url': 'https://twitter.com/warriors/status/1351975086216019969/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351952498370568193,2021-01-20 17:59:28,"RT @warriorsshop: Shop the Oakland Forever collection with @Rakuten to get 10% Cash Back and unlock this exclusive hoodie ⚡️

Terms apply »…",0,18,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'warriorsshop', 'name': 'Warriors Shop', 'id': 141291242, 'id_str': '141291242', 'indices': [3, 16]}, {'screen_name': 'Rakuten', 'name': 'Rakuten', 'id': 18027568, 'id_str': '18027568', 'indices': [59, 67]}], 'urls': []}",en
1351947022283128832,2021-01-20 17:37:42,RT @RickWelts: I’d encourage you to take two minutes to watch this video today.  #inaugurationday https://t.co/G28HXlsnQC,0,144,"{'hashtags': [{'text': 'inaugurationday', 'indices': [81, 97]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RickWelts', 'name': 'Rick Welts', 'id': 277608731, 'id_str': '277608731', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/G28HXlsnQC', 'expanded_url': 'https://twitter.com/warriors/status/1351891982558375936', 'display_url': 'twitter.com/warriors/statu…', 'indices': [98, 121]}]}",en
1351934562146762754,2021-01-20 16:48:12,"Tonight we debut Oakland Forever

🏀 GSW vs. SAS
🕖 7pm PT
📺 @NBCSAuthentic 
📻 @957thegame 
📱 https://t.co/ZkjPJjiF76… https://t.co/u7LmoV1I2K",1664,186,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NBCSAuthentic', 'name': 'NBCSAuthentic', 'id': 17790911, 'id_str': '17790911', 'indices': [59, 73]}, {'screen_name': '957thegame', 'name': '95.7 The Game', 'id': 27331177, 'id_str': '27331177', 'indices': [77, 88]}], 'urls': [{'url': 'https://t.co/ZkjPJjiF76', 'expanded_url': 'http://warriors.com/app', 'display_url': 'warriors.com/app', 'indices': [92, 115]}, {'url': 'https://t.co/u7LmoV1I2K', 'expanded_url': 'https://twitter.com/i/web/status/1351934562146762754', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351930234862510080,2021-01-20 16:31:00,GAME DAY https://t.co/ZUJT8a3h9L,4410,396,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351733928151838721, 'id_str': '1351733928151838721', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351733928151838721/img/6dExWkxGFfCzkE9s.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351733928151838721/img/6dExWkxGFfCzkE9s.jpg', 'url': 'https://t.co/ZUJT8a3h9L', 'display_url': 'pic.twitter.com/ZUJT8a3h9L', 'expanded_url': 'https://twitter.com/warriors/status/1351930234862510080/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351923581035323394,2021-01-20 16:04:33,"Oakland Forever

The Warriors x @Oaklandish collection is now LIVE.

Stay reppin’ at https://t.co/o0BsXjojdW or in-… https://t.co/3CMWcyl2RJ",680,61,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Oaklandish', 'name': 'Oaklandish', 'id': 37033098, 'id_str': '37033098', 'indices': [32, 43]}], 'urls': [{'url': 'https://t.co/o0BsXjojdW', 'expanded_url': 'http://Shop.Warriors.com', 'display_url': 'Shop.Warriors.com', 'indices': [85, 108]}, {'url': 'https://t.co/3CMWcyl2RJ', 'expanded_url': 'https://twitter.com/i/web/status/1351923581035323394', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351907865557012481,2021-01-20 15:02:07,"RT @ChaseCenter: Stage is set for the debut of the Oakland Forever court tonight ⚡️

@Rakuten || Oakland Forever https://t.co/UnI0erCA7F",0,684,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChaseCenter', 'name': 'Chase Center', 'id': 4836530927, 'id_str': '4836530927', 'indices': [3, 15]}, {'screen_name': 'Rakuten', 'name': 'Rakuten', 'id': 18027568, 'id_str': '18027568', 'indices': [85, 93]}], 'urls': [], 'media': [{'id': 1351907516603482114, 'id_str': '1351907516603482114', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EsLwuUBUwAI3bn5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLwuUBUwAI3bn5.jpg', 'url': 'https://t.co/UnI0erCA7F', 'display_url': 'pic.twitter.com/UnI0erCA7F', 'expanded_url': 'https://twitter.com/ChaseCenter/status/1351907527563177985/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 1351907527563177985, 'source_status_id_str': '1351907527563177985', 'source_user_id': 4836530927, 'source_user_id_str': '4836530927'}]}",en
1351891982558375936,2021-01-20 13:59:00,Oakland's own. https://t.co/j5dTtU1n2i,47271,10730,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351884930259718149, 'id_str': '1351884930259718149', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/media/EsLdothVkAIMoks.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLdothVkAIMoks.jpg', 'url': 'https://t.co/j5dTtU1n2i', 'display_url': 'pic.twitter.com/j5dTtU1n2i', 'expanded_url': 'https://twitter.com/warriors/status/1351891982558375936/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351807425284894721,2021-01-20 08:23:00,"POSTERS.

Celebrate @jrich23's birthday with a look back at his strongest slam against every team in the league ✈️ https://t.co/HPqfTICssY",1965,238,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jrich23', 'name': 'Jason Richardson', 'id': 18441988, 'id_str': '18441988', 'indices': [20, 28]}], 'urls': [], 'media': [{'id': 1247986927623475200, 'id_str': '1247986927623475200', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/EVHEzNHUYAIK_fD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EVHEzNHUYAIK_fD.jpg', 'url': 'https://t.co/HPqfTICssY', 'display_url': 'pic.twitter.com/HPqfTICssY', 'expanded_url': 'https://twitter.com/warriors/status/1351807425284894721/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",en
1351696192850153474,2021-01-20 01:01:00,"“People who played basketball in Oakland always dreamed of playing for the Warriors.”

@juanonjuan10 will rep his h… https://t.co/K4FdrX5cnc",1393,172,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'juanonjuan10', 'name': 'Juan Toscano Anderson', 'id': 922918128543289349, 'id_str': '922918128543289349', 'indices': [87, 100]}], 'urls': [{'url': 'https://t.co/K4FdrX5cnc', 'expanded_url': 'https://twitter.com/i/web/status/1351696192850153474', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351662233189662722,2021-01-19 22:46:03,"""He pressed the juke button!""

@StephenCurry30 is making splash after splash off the dribble this season ☔️ https://t.co/gHYkIZtJxx",6032,729,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StephenCurry30', 'name': 'Stephen Curry', 'id': 42562446, 'id_str': '42562446', 'indices': [31, 46]}], 'urls': [], 'media': [{'id': 1351652787059269632, 'id_str': '1351652787059269632', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/media/EsIKH2ZUcAAq6AT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIKH2ZUcAAq6AT.jpg', 'url': 'https://t.co/gHYkIZtJxx', 'display_url': 'pic.twitter.com/gHYkIZtJxx', 'expanded_url': 'https://twitter.com/warriors/status/1351662233189662722/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
1351621198824820737,2021-01-19 20:03:00,"Rook learning from the vet.

@BigTicket_JW || @Money23Green https://t.co/WpOxY0XjXt",3784,324,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BigTicket_JW', 'name': 'James Wiseman', 'id': 720405636182216704, 'id_str': '720405636182216704', 'indices': [29, 42]}, {'screen_name': 'Money23Green', 'name': 'Draymond Green', 'id': 116485600, 'id_str': '116485600', 'indices': [46, 59]}], 'urls': [], 'media': [{'id': 1351609799855640576, 'id_str': '1351609799855640576', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EsHiR8lUcAAD9jS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHiR8lUcAAD9jS.jpg', 'url': 'https://t.co/WpOxY0XjXt', 'display_url': 'pic.twitter.com/WpOxY0XjXt', 'expanded_url': 'https://twitter.com/warriors/status/1351621198824820737/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
