id,created_at,text,favorites,retweets,entities,language
1351236031065038848,2021-01-18 18:32:29,Abolish ICE. https://t.co/h4zIbesjRe,318073,40475,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/h4zIbesjRe', 'expanded_url': 'https://twitter.com/icegov/status/1351180549449265153', 'display_url': 'twitter.com/icegov/status/…', 'indices': [13, 36]}]}",en
1351234410683785217,2021-01-18 18:26:02,"RT @jbouie: For MLK Day, here a passage from his book “Where Do We Go From Here: Chaos or Community?” https://t.co/c086OxuwKS",0,3801,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jbouie', 'name': 'b-boy bouiebaisse', 'id': 14190948, 'id_str': '14190948', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1351181272547254280, 'id_str': '1351181272547254280', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/media/EsBcNWFW4AgBT2P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsBcNWFW4AgBT2P.jpg', 'url': 'https://t.co/c086OxuwKS', 'display_url': 'pic.twitter.com/c086OxuwKS', 'expanded_url': 'https://twitter.com/jbouie/status/1351181280390619136/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1136, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 666, 'resize': 'fit'}, 'small': {'w': 680, 'h': 377, 'resize': 'fit'}}, 'source_status_id': 1351181280390619136, 'source_status_id_str': '1351181280390619136', 'source_user_id': 14190948, 'source_user_id_str': '14190948'}]}",en
1351230037022928898,2021-01-18 18:08:40,"@KatieHerringt13 Try starting with “Why We Can’t Wait” - it is short, but very powerful. Fits in a small purse or b… https://t.co/cpWQPt6j0d",2223,136,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KatieHerringt13', 'name': 'Katie Herrington', 'id': 1296424847149588483, 'id_str': '1296424847149588483', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/cpWQPt6j0d', 'expanded_url': 'https://twitter.com/i/web/status/1351230037022928898', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351226772407382018,2021-01-18 17:55:41,"You can join @JumaaneWilliams, @AyannaPressley, @ninaturner, @JamaalBowmanNY for a reading of the Drum Major Instin… https://t.co/ufwqkj9T4L",7139,762,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JumaaneWilliams', 'name': 'Jumaane Williams', 'id': 357092583, 'id_str': '357092583', 'indices': [13, 29]}, {'screen_name': 'AyannaPressley', 'name': 'Ayanna Pressley', 'id': 31013444, 'id_str': '31013444', 'indices': [31, 46]}, {'screen_name': 'ninaturner', 'name': 'Nina Turner', 'id': 188793260, 'id_str': '188793260', 'indices': [48, 59]}, {'screen_name': 'JamaalBowmanNY', 'name': 'Jamaal Bowman', 'id': 1138076821533155328, 'id_str': '1138076821533155328', 'indices': [61, 76]}], 'urls': [{'url': 'https://t.co/ufwqkj9T4L', 'expanded_url': 'https://twitter.com/i/web/status/1351226772407382018', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351226384471961609,2021-01-18 17:54:09,"MLK deserves actual study. If you haven’t had the chance to, use today to take in his work.

Places to start-

Spee… https://t.co/umm7iw39sj",97943,12788,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/umm7iw39sj', 'expanded_url': 'https://twitter.com/i/web/status/1351226384471961609', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351222487535804420,2021-01-18 17:38:40,RT @JamaalBowmanNY: “It’s much easier to integrate a lunch counter than it is to guarantee an income to get rid of poverty for negroes and…,0,6862,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JamaalBowmanNY', 'name': 'Jamaal Bowman', 'id': 1138076821533155328, 'id_str': '1138076821533155328', 'indices': [3, 18]}], 'urls': []}",en
1351222356455391234,2021-01-18 17:38:08,"RT @AyannaPressley: Good afternoon. 

Dr. King was an anti-war, anti-capitalist justice seeker who rejected poverty, racism, militarism and…",0,6084,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AyannaPressley', 'name': 'Ayanna Pressley', 'id': 31013444, 'id_str': '31013444', 'indices': [3, 18]}], 'urls': []}",en
1351209329140125697,2021-01-18 16:46:22,"“I imagine you already know that I am much more socialistic in my economic theory than capitalistic...”

- MLK Jr",241118,21556,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351208746714849280,2021-01-18 16:44:04,"...and Thomas Jefferson?: ""We hold these truths to be self-evident, that all men are created equal ..."" So the ques… https://t.co/BXwc7ameDm",41886,2609,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BXwc7ameDm', 'expanded_url': 'https://twitter.com/i/web/status/1351208746714849280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351208745871810563,2021-01-18 16:44:03,"...was not Jesus an extremist for love?: ""Love your enemies, bless them that curse you, do good to them that hate y… https://t.co/BVzmIbYfSF",34132,1870,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BVzmIbYfSF', 'expanded_url': 'https://twitter.com/i/web/status/1351208745871810563', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
