id,created_at,text,favorites,retweets,entities,language
1351834515908382721,2021-01-20 10:10:39,"RT @nagar_pulkit: कैसा हो देश में कृषि बिल ?
 क्या ट्रैक्टर मार्च के साथ है 'आप' की सरकार ? 
⁦@ArvindKejriwal⁩ शाम 6 बजे इंडिया न्यूज़ पर h…",0,136,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nagar_pulkit', 'name': 'PULKIT NAGAR', 'id': 1128705037, 'id_str': '1128705037', 'indices': [3, 16]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [94, 109]}], 'urls': []}",hi
1351718590949384196,2021-01-20 02:30:00,ਸਾਹਿਬ-ਏ-ਕਮਾਲ ਸਰਬੰਸਦਾਨੀ ਦਸ਼ਮੇਸ਼ ਪਾਤਸ਼ਾਹ ਧੰਨ ਧੰਨ ਸ੍ਰੀ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਜੀ ਦੇ ਪ੍ਰਕਾਸ਼ ਪੁਰਬ ਦੀਆਂ ਸਮੂਹ ਸੰਗਤਾਂ ਨੂੰ ਲੱਖ-ਲੱ… https://t.co/OjNcrBsFEv,4392,535,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OjNcrBsFEv', 'expanded_url': 'https://twitter.com/i/web/status/1351718590949384196', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pa
1351507277258215428,2021-01-19 12:30:19,"केंद्र के काले कानूनों के ख़िलाफ़ अपनी खेती बचाने के लिए हमारा किसान सड़कों पर है, किसान भाइयों के संघर्ष पर ‘Pro P… https://t.co/VpmkoXfal7",2613,720,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VpmkoXfal7', 'expanded_url': 'https://twitter.com/i/web/status/1351507277258215428', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351473888115322885,2021-01-19 10:17:38,Congratulations to Team India on the stunning and historic victory against Australia. Fighting against all odds and… https://t.co/soo9Gm7Gfd,20278,1514,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/soo9Gm7Gfd', 'expanded_url': 'https://twitter.com/i/web/status/1351473888115322885', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351387963494547456,2021-01-19 04:36:12,"Saddened to hear about passing away of Gurunath baab Kelekar, veteran freedom fighter and an activist. He made imme… https://t.co/WPsSTgTcgR",3154,450,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WPsSTgTcgR', 'expanded_url': 'https://twitter.com/i/web/status/1351387963494547456', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351364953005907968,2021-01-19 03:04:46,Congratulations Maharashtra team and congrats to all winners. My best wishes yo all of u. https://t.co/a3A9m5afjG,3081,644,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/a3A9m5afjG', 'expanded_url': 'https://twitter.com/preetismenon/status/1351194282854649858', 'display_url': 'twitter.com/preetismenon/s…', 'indices': [90, 113]}]}",en
1351210843577454594,2021-01-18 16:52:24,जम्मू कश्मीर से आप के पहले DDC Member मेहराज़ मलिक के साथ मुलाक़ात हुई और उन्हें ऐतिहासिक विजय की बधाई दी। ज़िला डो… https://t.co/811XZZqZM7,9589,1156,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/811XZZqZM7', 'expanded_url': 'https://twitter.com/i/web/status/1351210843577454594', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351085314354393094,2021-01-18 08:33:35,"लम्बे वक्त के बाद दिल्ली के स्कूलों में बच्चों को फिर से पढ़ते देखना, मेरे लिए बेहद भावनात्मक क्षण हैं। बहुत मुश्कि… https://t.co/dWSg4HxfVs",3414,721,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dWSg4HxfVs', 'expanded_url': 'https://twitter.com/i/web/status/1351085314354393094', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351085230405382144,2021-01-18 08:33:15,"विजेत्यांचे हार्दिक अभिनंदन!

जनतेने आपल्यावर दाखवलेल्या विश्वासाला सार्थ करा, जनतेची सेवा करा. पुढील कार्यास शुभे… https://t.co/dBc9yH8f4p",3064,620,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dBc9yH8f4p', 'expanded_url': 'https://twitter.com/i/web/status/1351085230405382144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",mr
1351026060037599233,2021-01-18 04:38:08,जब सरकारी व्यवस्थाओं में जनता का भरोसा मज़बूत होने लगे तो समझिए आपकी सरकार सही दिशा में जा रही है। https://t.co/3Gf22BUrMA,16689,2325,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351026042274770957, 'id_str': '1351026042274770957', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/media/Er_PBwQW8A0vP1p.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Er_PBwQW8A0vP1p.jpg', 'url': 'https://t.co/3Gf22BUrMA', 'display_url': 'pic.twitter.com/3Gf22BUrMA', 'expanded_url': 'https://twitter.com/ArvindKejriwal/status/1351026060037599233/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 797, 'h': 666, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 568, 'resize': 'fit'}, 'medium': {'w': 797, 'h': 666, 'resize': 'fit'}}}]}",hi
1350652908044382208,2021-01-17 03:55:21,"Delhi's Fightback Story

Active Corona cases down 94% in 10 weeks. https://t.co/cAU5H0ujPd",7928,1075,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1350652854231449603, 'id_str': '1350652854231449603', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/Er57nWdVQAMpORf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Er57nWdVQAMpORf.jpg', 'url': 'https://t.co/cAU5H0ujPd', 'display_url': 'pic.twitter.com/cAU5H0ujPd', 'expanded_url': 'https://twitter.com/ArvindKejriwal/status/1350652908044382208/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1045, 'h': 1231, 'resize': 'fit'}, 'small': {'w': 577, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1019, 'h': 1200, 'resize': 'fit'}}}]}",en
1350355511376445440,2021-01-16 08:13:36,"दिल्ली समेत देशभर में आज से कोरोना वैक्सीन लगने की शुरुआत हो गई है, LNJP अस्पताल के वैक्सीन सेंटर का दौरा कर व्यव… https://t.co/juU0KyMiqG",5214,824,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/juU0KyMiqG', 'expanded_url': 'https://twitter.com/i/web/status/1350355511376445440', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
1350320040646590465,2021-01-16 05:52:40,Greetings to people of Goa on the occasion of #GoaOpinionPollDay. My respects and salute to all the tallest leaders… https://t.co/2UGWYqPygS,4406,568,"{'hashtags': [{'text': 'GoaOpinionPollDay', 'indices': [46, 64]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2UGWYqPygS', 'expanded_url': 'https://twitter.com/i/web/status/1350320040646590465', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350099501306900481,2021-01-15 15:16:19,कृषि से जुड़े केंद्र के तीनों काले कानूनों के ख़िलाफ़ किसान भाईयों के संघर्ष पर Zee Media से बातचीत की | LIVE https://t.co/QsMnrQSyhV,2131,684,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QsMnrQSyhV', 'expanded_url': 'https://twitter.com/i/broadcasts/1rmxPzDWPpdGN', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [110, 133]}]}",hi
1350080893268893699,2021-01-15 14:02:22,"Extremely saddened to hear the demise of Sh Gajendra Haldea, a celebrated IAS officer and former Member DDC. His co… https://t.co/SBt2eOIQpr",1758,330,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SBt2eOIQpr', 'expanded_url': 'https://twitter.com/i/web/status/1350080893268893699', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350079587514892292,2021-01-15 13:57:11,RT @SatyendarJain: Providing 24x7 water supply to Delhiites is our top-most priority. Conducted a review meeting regarding the same and hav…,0,306,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SatyendarJain', 'name': 'Satyendar Jain', 'id': 362506755, 'id_str': '362506755', 'indices': [3, 17]}], 'urls': []}",en
1350079551422939137,2021-01-15 13:57:02,"RT @kgahlot: Under your @ArvindKejriwal dynamic leadership, despite many obstacles and hurdles we have once again delivered. We have kept o…",0,240,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kgahlot', 'name': 'Kailash Gahlot', 'id': 138654777, 'id_str': '138654777', 'indices': [3, 11]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [24, 39]}], 'urls': []}",en
1350073191851458569,2021-01-15 13:31:46,"Well done Delhi! 

Delhi records the lowest number of Covid cases in the last 8 months. The positivity rate stands… https://t.co/ot9tLzXgLD",5331,689,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ot9tLzXgLD', 'expanded_url': 'https://twitter.com/i/web/status/1350073191851458569', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350072800162189314,2021-01-15 13:30:13,कृषि से जुड़े केंद्र के तीनों काले कानूनों के ख़िलाफ़ किसान भाईयों के संघर्ष पर Prime Asia Television से बातचीत की… https://t.co/RCXLMi8aSY,1652,591,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RCXLMi8aSY', 'expanded_url': 'https://twitter.com/i/web/status/1350072800162189314', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1350069125595320324,2021-01-15 13:15:37,"With these 1000 buses, total DTC fleet will increase to 4760 and the total bus fleet of Delhi (DTC and cluster) wil… https://t.co/sWKIOK41k0",1804,396,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sWKIOK41k0', 'expanded_url': 'https://twitter.com/i/web/status/1350069125595320324', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350069104141426690,2021-01-15 13:15:32,"Congratulations Delhi! After 12 years of wait, orders have been placed by DTC to induct 1000 low floor AC CNG buses… https://t.co/satPBKJ4Va",7857,1035,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/satPBKJ4Va', 'expanded_url': 'https://twitter.com/i/web/status/1350069104141426690', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349940447922163714,2021-01-15 04:44:18,अदम्य साहस और शौर्य के साथ देश की रक्षा करने वाले हमारे वीर जवानों और सभी देशवासियों को सेना दिवस की हार्दिक शुभकाम… https://t.co/XLpjaMlIIc,9915,1141,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XLpjaMlIIc', 'expanded_url': 'https://twitter.com/i/web/status/1349940447922163714', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1349660245556043778,2021-01-14 10:10:52,"Samples taken from poultry markets have tested negative with respect to Bird Flu.

Have directed to open the poultr… https://t.co/3FSu0SMlli",6346,882,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3FSu0SMlli', 'expanded_url': 'https://twitter.com/i/web/status/1349660245556043778', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349606360430727169,2021-01-14 06:36:45,COVID vaccination starts from 16 Jan all over the country. Delhi govt has made all preparations. Reviewed all preparations today.,5862,698,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1349605000293478400,2021-01-14 06:31:21,The Delhi government is fully prepared for the administration of COVID vaccine in Delhi | LIVE https://t.co/W2qnqJFlUF,1616,401,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/W2qnqJFlUF', 'expanded_url': 'https://twitter.com/i/broadcasts/1YqKDeVZrEEGV', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [95, 118]}]}",en
1349540487959621633,2021-01-14 02:15:00,"सभी देशवासियों को मकर संक्रांति, पोंगल एवं उत्तरायणी के पावन पर्व की बहुत-बहुत शुभकामनाएँ। 

यह पर्व आपके जीवन में… https://t.co/jjnZBrz7c7",8497,925,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jjnZBrz7c7', 'expanded_url': 'https://twitter.com/i/web/status/1349540487959621633', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1349366482661068803,2021-01-13 14:43:34,"RT @raghav_chadha: After suffering from regular dumping of excess pollutants/ammonia in River Yamuna by apathetic Haryana, today the @Delhi…",0,321,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'raghav_chadha', 'name': 'Raghav Chadha', 'id': 98815583, 'id_str': '98815583', 'indices': [3, 17]}], 'urls': []}",en
