id,created_at,text,favorites,retweets,entities,language
1351858561358340097,2021-01-20 11:46:12,"बीते 4 वर्षों में UP की सरकार ने केंद्र सरकार की योजनाओं को जिस तेजी से आगे बढ़ाया है, उससे प्रदेश को एक नई पहचान औ… https://t.co/zdW0nVjEDq",251,92,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zdW0nVjEDq', 'expanded_url': 'https://twitter.com/i/web/status/1351858561358340097', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351857241092079618,2021-01-20 11:40:57,Shri Arindam Bhattacharya joins BJP in presence of senior BJP leaders at BJP headquarters in New Delhi. #JoinBJP https://t.co/hjXTJAPDlT,785,163,"{'hashtags': [{'text': 'JoinBJP', 'indices': [104, 112]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351856653780467713, 'id_str': '1351856653780467713', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EsLCdtPVQAEPnO_.png', 'media_url_https': 'https://pbs.twimg.com/media/EsLCdtPVQAEPnO_.png', 'url': 'https://t.co/hjXTJAPDlT', 'display_url': 'pic.twitter.com/hjXTJAPDlT', 'expanded_url': 'https://twitter.com/BJP4India/status/1351857241092079618/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 655, 'h': 400, 'resize': 'fit'}, 'large': {'w': 655, 'h': 400, 'resize': 'fit'}, 'small': {'w': 655, 'h': 400, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",en
1351853654446227458,2021-01-20 11:26:42,LIVE: An eminent personality joins BJP at BJP headquarters in New Delhi. #JoinBJP https://t.co/pn7zH46YHo,792,262,"{'hashtags': [{'text': 'JoinBJP', 'indices': [73, 81]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pn7zH46YHo', 'expanded_url': 'https://www.pscp.tv/w/cta5cjFZTEVKTlh4RG5ORU58MXlOR2FXZXBwcXF4arqk8BSXqp79F1lMNwO3ll1YzoRXHw3Y9S5DnBPt9T_5', 'display_url': 'pscp.tv/w/cta5cjFZTEVK…', 'indices': [82, 105]}]}",en
1351832677146521602,2021-01-20 10:03:20,"5 वर्ष पहले जब सरकार इस आवास योजना पर काम कर रही थी, तो हमने तय किया कि-

गांव के उन गरीबों तक इस योजना का लाभ सबसे… https://t.co/UyIQe285DZ",638,265,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UyIQe285DZ', 'expanded_url': 'https://twitter.com/i/web/status/1351832677146521602', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351831737626574852,2021-01-20 09:59:36,"गांव में रहने वाले गरीबों के लिए प्रधानमंत्री आवास योजना - ग्रामीण शुरू की गई थी।

आजादी के 75 वर्ष पूरे होने तक ग… https://t.co/29rBKrzJGi",461,211,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/29rBKrzJGi', 'expanded_url': 'https://twitter.com/i/web/status/1351831737626574852', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1351830587984683008,2021-01-20 09:55:02,"5 वर्ष पहले मुझे प्रधानमंत्री आवास योजना का शुभारंभ करने का सौभाग्य मिला था।

इस योजना ने देश के गांवों की तस्वीर ब… https://t.co/RKs2oQIRc8",540,231,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RKs2oQIRc8', 'expanded_url': 'https://twitter.com/i/web/status/1351830587984683008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351829994545188865,2021-01-20 09:52:41,"आज दशम गुरु श्री गुरु गोविंद सिंह जी के प्रकाश पर्व के अवसर पर मैं उनके चरणों में प्रणाम करता हूं।

सेवा और सत्य के… https://t.co/fhRnnneO5u",566,207,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fhRnnneO5u', 'expanded_url': 'https://twitter.com/i/web/status/1351829994545188865', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351808012726411264,2021-01-20 08:25:20,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

Modi govern… https://t.co/8DJoTjjB90",520,248,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/8DJoTjjB90', 'expanded_url': 'https://twitter.com/i/web/status/1351808012726411264', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351807848737476615,2021-01-20 08:24:41,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

Modi govern… https://t.co/yFrKjm6iTx",452,219,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/yFrKjm6iTx', 'expanded_url': 'https://twitter.com/i/web/status/1351807848737476615', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351807562203557889,2021-01-20 08:23:32,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

Sikh Gurdwa… https://t.co/ThJroPrx2p",365,194,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/ThJroPrx2p', 'expanded_url': 'https://twitter.com/i/web/status/1351807562203557889', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351807358528151554,2021-01-20 08:22:44,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

To pay a fi… https://t.co/EqxipKlbPe",428,222,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/EqxipKlbPe', 'expanded_url': 'https://twitter.com/i/web/status/1351807358528151554', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351806837184622592,2021-01-20 08:20:39,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

Connectivit… https://t.co/yt67kdN3La",691,263,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/yt67kdN3La', 'expanded_url': 'https://twitter.com/i/web/status/1351806837184622592', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351806359935717378,2021-01-20 08:18:46,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

Powering Pu… https://t.co/r6uaIYkb64",492,208,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/r6uaIYkb64', 'expanded_url': 'https://twitter.com/i/web/status/1351806359935717378', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351806021790883840,2021-01-20 08:17:25,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

Diversifyin… https://t.co/1jOGtgsQTA",443,208,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/1jOGtgsQTA', 'expanded_url': 'https://twitter.com/i/web/status/1351806021790883840', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351805915293368320,2021-01-20 08:17:00,"PM Shri @narendramodi's special relationship with Sikh community reflects in his government’s actions!

In a touchi… https://t.co/61ONTm8Bti",322,185,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/61ONTm8Bti', 'expanded_url': 'https://twitter.com/i/web/status/1351805915293368320', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351805698498199554,2021-01-20 08:16:08,"PM Shri @narendramodi's special relationship with Sikh community reflects in his govt’s actions!

Modi govt approve… https://t.co/X8K3eTRILT",339,184,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [8, 21]}], 'urls': [{'url': 'https://t.co/X8K3eTRILT', 'expanded_url': 'https://twitter.com/i/web/status/1351805698498199554', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
