id,created_at,text,favorites,retweets,entities,language
1350027504845680642,2021-01-15 10:30:14,"Peace is not brought about through conflict, but through compassion — creating peace of mind within ourselves. We a… https://t.co/zLJIwqD7ES",24843,5614,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zLJIwqD7ES', 'expanded_url': 'https://twitter.com/i/web/status/1350027504845680642', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349287783102234628,2021-01-13 09:30:50,Watch Live: HHDL joins Harvard Business School professor and columnist Arthur Brooks for an online conversation on… https://t.co/4sBXUq2rMd,3436,615,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4sBXUq2rMd', 'expanded_url': 'https://twitter.com/i/web/status/1349287783102234628', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1348577905371082752,2021-01-11 10:30:02,"I regard a compassionate, warm, kindhearted person as healthy. If you maintain a feeling of compassion, loving kind… https://t.co/tT32M7snAh",27509,6346,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tT32M7snAh', 'expanded_url': 'https://twitter.com/i/web/status/1348577905371082752', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347903872430268434,2021-01-09 13:51:40,Watch Live - HHDL in  conversation with Greta Thunberg and leading scientists on the Climate Crisis of Feedback Loo… https://t.co/3z1csSEt1G,16914,2834,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3z1csSEt1G', 'expanded_url': 'https://twitter.com/i/web/status/1347903872430268434', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347495850759528451,2021-01-08 10:50:20,"Patience doesn’t arise spontaneously, we have to make an effort and familiarize ourselves with it. What’s more, it’… https://t.co/nHVb2ehsXq",27794,6515,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nHVb2ehsXq', 'expanded_url': 'https://twitter.com/i/web/status/1347495850759528451', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1345678701078355968,2021-01-03 10:29:38,Our Only Home - HHDL declares that this planet is our only home so we must take steps to stem global warming. He’s… https://t.co/iDtZ3kLRGI,9018,1822,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iDtZ3kLRGI', 'expanded_url': 'https://twitter.com/i/web/status/1345678701078355968', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1344803042105851908,2021-01-01 00:30:05,HHDL’s New Year Greeting for 2021. https://t.co/I4i3hLQLjm,8348,1504,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/I4i3hLQLjm', 'expanded_url': 'https://youtu.be/1AO761HHT74', 'display_url': 'youtu.be/1AO761HHT74', 'indices': [35, 58]}]}",en
1343851776680685570,2020-12-29 09:30:05,"Wherever I go, I try to cultivate a sense of the oneness of humanity. I see everyone I meet as being essentially th… https://t.co/yNctoBUxWL",28743,5425,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yNctoBUxWL', 'expanded_url': 'https://twitter.com/i/web/status/1343851776680685570', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1342405736697974784,2020-12-25 09:44:02,We must find secular ways to cultivate warm-heartedness — to educate ourselves about inner values. The source of a… https://t.co/9g13hepnl5,40935,9206,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9g13hepnl5', 'expanded_url': 'https://twitter.com/i/web/status/1342405736697974784', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1340952728072192001,2020-12-21 09:30:18,"Infants, even before they can talk, show a preference for examples of helpful behaviour and turn away from illustra… https://t.co/Pttmra4ALZ",27310,5417,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Pttmra4ALZ', 'expanded_url': 'https://twitter.com/i/web/status/1340952728072192001', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
