id,created_at,text,favorites,retweets,entities,language
1351587980293582850,2021-01-19 17:51:00,Please follow at @MELANIATRUMP for future updates &amp; announcements,76504,15391,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MELANIATRUMP', 'name': 'MELANIA TRUMP', 'id': 108471631, 'id_str': '108471631', 'indices': [17, 30]}], 'urls': []}",en
1351258353704579074,2021-01-18 20:01:11,A Farewell Message from First Lady Melania Trump https://t.co/WfG1zg2mt4,166646,33906,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1350993824131276808, 'id_str': '1350993824131276808', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1350993824131276808/img/wtxK4dfkEKX5-cmC.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1350993824131276808/img/wtxK4dfkEKX5-cmC.jpg', 'url': 'https://t.co/WfG1zg2mt4', 'display_url': 'pic.twitter.com/WfG1zg2mt4', 'expanded_url': 'https://twitter.com/FLOTUS/status/1351258353704579074/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
1351172831908868100,2021-01-18 14:21:21,"Over the past 4 years, I’ve had the immense honor to call the @WhiteHouse home. W the help of @WhiteHouseHstry, ded… https://t.co/YZncXz064Z",69391,10684,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WhiteHouse', 'name': 'The White House', 'id': 822215673812119553, 'id_str': '822215673812119553', 'indices': [62, 73]}, {'screen_name': 'WhiteHouseHstry', 'name': 'White House History', 'id': 106448460, 'id_str': '106448460', 'indices': [94, 110]}], 'urls': [{'url': 'https://t.co/YZncXz064Z', 'expanded_url': 'https://twitter.com/i/web/status/1351172831908868100', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351154335028301824,2021-01-18 13:07:51,"Today, we honor the life of Dr. Martin Luther King, Jr. &amp; his fearless dedication to the civil rights movement. Dr.… https://t.co/yqkfpSlIAh",91221,13073,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yqkfpSlIAh', 'expanded_url': 'https://twitter.com/i/web/status/1351154335028301824', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1350080519480946688,2021-01-15 14:00:53,"As the legacy of #BeBest comes to a close at the @WhiteHouse, we must continue to give a voice to our Nation's chil… https://t.co/vx6wkuIyVI",80504,14300,"{'hashtags': [{'text': 'BeBest', 'indices': [17, 24]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WhiteHouse', 'name': 'The White House', 'id': 822215673812119553, 'id_str': '822215673812119553', 'indices': [49, 60]}], 'urls': [{'url': 'https://t.co/vx6wkuIyVI', 'expanded_url': 'https://twitter.com/i/web/status/1350080519480946688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348586785929125891,2021-01-11 11:05:19,https://t.co/2xTDIOgsIS,106069,24561,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2xTDIOgsIS', 'expanded_url': 'https://www.whitehouse.gov/articles/first-lady-melania-trump-path-forward/', 'display_url': 'whitehouse.gov/articles/first…', 'indices': [0, 23]}]}",und
1345033441633579008,2021-01-01 15:45:36,"Wishing everyone a #HappyNewYear! May 2021 be filled with the blessings of joy, good health &amp; peace throughout the year!",139552,15000,"{'hashtags': [{'text': 'HappyNewYear', 'indices': [19, 32]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1344693724568174593,2020-12-31 17:15:41,"As 2020 ends, we remember the loved ones lost &amp; give thanks to our leaders, frontline workers &amp; others who have com… https://t.co/nmpvyaRGS9",100851,14123,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nmpvyaRGS9', 'expanded_url': 'https://twitter.com/i/web/status/1344693724568174593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [125, 148]}]}",en
1342483420283330561,2020-12-25 14:52:44,"This #Christmas, I send our best wishes to all who celebrate this wonderful time of the year. Let’s remember our br… https://t.co/6b7UmxHSfy",96509,11506,"{'hashtags': [{'text': 'Christmas', 'indices': [5, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6b7UmxHSfy', 'expanded_url': 'https://twitter.com/i/web/status/1342483420283330561', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1342322104629387264,2020-12-25 04:11:43,"Every #Christmas Eve, I enjoy tracking Santa’s journey with children from across the country &amp; @NoradSanta. Santa i… https://t.co/rsBM8gHFZR",84614,10172,"{'hashtags': [{'text': 'Christmas', 'indices': [6, 16]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NoradSanta', 'name': 'NORAD Tracks Santa', 'id': 16460682, 'id_str': '16460682', 'indices': [99, 110]}], 'urls': [{'url': 'https://t.co/rsBM8gHFZR', 'expanded_url': 'https://twitter.com/i/web/status/1342322104629387264', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
