id,created_at,text,favorites,retweets,entities,language
1351656621567586304,2021-01-19 22:23:45,"RT @HillaryClinton: Today, our country is expected to mark 400,000 people confirmed lost to COVID-19. 

Tonight, President-elect @JoeBiden…",0,2388,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HillaryClinton', 'name': 'Hillary Clinton', 'id': 1339835893, 'id_str': '1339835893', 'indices': [3, 18]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [129, 138]}], 'urls': []}",en
1351603554402918402,2021-01-19 18:52:53,"Congratulations to Jen Klein, who's long been by my side on domestic and global women's issues, and Julissa Reynoso… https://t.co/DsUWYruYng",8307,1178,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DsUWYruYng', 'expanded_url': 'https://twitter.com/i/web/status/1351603554402918402', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351587369519087617,2021-01-19 17:48:34,"Today, our country is expected to mark 400,000 people confirmed lost to COVID-19. 

Tonight, President-elect… https://t.co/HFPWfaj0c2",12639,2388,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HFPWfaj0c2', 'expanded_url': 'https://twitter.com/i/web/status/1351587369519087617', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",en
1351576917233827846,2021-01-19 17:07:02,"If you've ever wanted to do more to serve your community, I think you should consider running to join your school b… https://t.co/HMyBGg3oSR",4293,1007,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HMyBGg3oSR', 'expanded_url': 'https://twitter.com/i/web/status/1351576917233827846', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351564866398658561,2021-01-19 16:19:09,"Let's just sit with this for a moment and what it means. 

Tomorrow, Kamala Devi Harris will be the first woman swo… https://t.co/qzf0LgOFQw",376625,40832,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qzf0LgOFQw', 'expanded_url': 'https://twitter.com/i/web/status/1351564866398658561', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351297926769872899,2021-01-18 22:38:26,".@SpeakerPelosi and I agree:

Congress needs to establish an investigative body like the 9/11 Commission to determi… https://t.co/8jNIhg1Tbq",42220,9655,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SpeakerPelosi', 'name': 'Nancy Pelosi', 'id': 15764644, 'id_str': '15764644', 'indices': [1, 15]}], 'urls': [{'url': 'https://t.co/8jNIhg1Tbq', 'expanded_url': 'https://twitter.com/i/web/status/1351297926769872899', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351198931154333702,2021-01-18 16:05:03,I had a no-holds-barred conversation with @SpeakerPelosi about her experience of the Capitol insurrection and what… https://t.co/ThSj0uAvEu,13623,2841,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SpeakerPelosi', 'name': 'Nancy Pelosi', 'id': 15764644, 'id_str': '15764644', 'indices': [42, 56]}], 'urls': [{'url': 'https://t.co/ThSj0uAvEu', 'expanded_url': 'https://twitter.com/i/web/status/1351198931154333702', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350155584461565958,2021-01-15 18:59:10,"RT @JulianCastro: The more we learn about family separation, the more we see was both a willfully cruel and criminally negligent policy.

W…",0,2834,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JulianCastro', 'name': 'Julián Castro', 'id': 19682187, 'id_str': '19682187', 'indices': [3, 16]}], 'urls': []}",en
1350117139643031554,2021-01-15 16:26:24,"It was never just ""like the flu."" https://t.co/jTCna6kN7J",34218,5405,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jTCna6kN7J', 'expanded_url': 'https://twitter.com/COVID19Tracking/status/1349876220549189633', 'display_url': 'twitter.com/COVID19Trackin…', 'indices': [34, 57]}]}",en
1350104396764491777,2021-01-15 15:35:46,"Americans have had to wait far too long for help. 

Finally, it's on the way. https://t.co/ZmmM7gKjWX",18166,2328,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZmmM7gKjWX', 'expanded_url': 'https://www.washingtonpost.com/us-policy/2021/01/14/biden-stimulus-covid-relief/', 'display_url': 'washingtonpost.com/us-policy/2021…', 'indices': [78, 101]}]}",en
