id,created_at,text,favorites,retweets,entities,language
1351074680946520067,2021-01-18 07:51:20,میں دہرا دوں کہ میری حکومت پاکستان کیخلاف بھارت کے جارحانہ عزائم اور مودی سرکار کی سفاکیت سےپردہ اٹھاتی رہے گی۔ قبل… https://t.co/D6Iql9hYiY,7851,2022,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/D6Iql9hYiY', 'expanded_url': 'https://twitter.com/i/web/status/1351074680946520067', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ur
1351074678308302850,2021-01-18 07:51:19,بھارتی شہ پر پاکستان میں کی جانےوالی دہشتگردی،کشمیر میں اسکےمظالم اور 15 برس سےہمارےخلاف برپا اسکی عالمی کِذب تراشی… https://t.co/iBAUfpId3P,7829,1963,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iBAUfpId3P', 'expanded_url': 'https://twitter.com/i/web/status/1351074678308302850', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ur
1351074675275816964,2021-01-18 07:51:18,جسکےنتیجے میں خطےکوعدم استحکام کی آگ میں جھونکنےوالےنتائج سےبےنیازہوکر محض انتخابی فتح کیلئےخطرناک ترین عسکری حماقت… https://t.co/wdzFQLZEvy,3081,1031,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wdzFQLZEvy', 'expanded_url': 'https://twitter.com/i/web/status/1351074675275816964', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ur
1351074672524328962,2021-01-18 07:51:18,2019 میں جنرل اسمبلی سےاپنےخطاب میں میں نے بتایا کہ سفاک مودی سرکار نے بالاکوٹ بحران کو کیسےاپنی انتخابی فتح کیلئے… https://t.co/Xkn8Nr0OK0,24966,5488,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Xkn8Nr0OK0', 'expanded_url': 'https://twitter.com/i/web/status/1351074672524328962', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",ur
1351027754951696385,2021-01-18 04:44:52,I want to reiterate that my govt will continue to expose India's belligerent designs towards Pakistan &amp; Modi govt's… https://t.co/QjuoMO3tIv,14417,4055,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QjuoMO3tIv', 'expanded_url': 'https://twitter.com/i/web/status/1351027754951696385', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351027752443539456,2021-01-18 04:44:51,"Indian sponsorship of terrorism in Pakistan, its abuses in IIOJK &amp; a 15-year  Indian global disinformation campaign… https://t.co/92Z1e9upJC",14339,3991,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/92Z1e9upJC', 'expanded_url': 'https://twitter.com/i/web/status/1351027752443539456', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351027749910159360,2021-01-18 04:44:51,that led to a dangerous military adventurism to win an election in utter disregard for the consequences of destabil… https://t.co/WLM4cG2ObJ,6542,2176,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WLM4cG2ObJ', 'expanded_url': 'https://twitter.com/i/web/status/1351027749910159360', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351027746336628736,2021-01-18 04:44:50,"In 2019, I spoke at UNGA on how India’s fascist Modi govt used the Balakot crisis for domestic electoral gains.  La… https://t.co/PVTgGWZXCN",33429,8722,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PVTgGWZXCN', 'expanded_url': 'https://twitter.com/i/web/status/1351027746336628736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349251583293480965,2021-01-13 07:06:59,یہی نہیں کہ اشرافیہ قوم کی دولت پر ہاتھ صاف کرتی ہےبلکہ NRO کیوجہ سےاس دولت کونکلوانےکیلئےقوم کےٹیکسوں سےخرچ کیا جا… https://t.co/HIa8BdPMgl,10049,2254,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HIa8BdPMgl', 'expanded_url': 'https://twitter.com/i/web/status/1349251583293480965', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ur
1349251580235808768,2021-01-13 07:06:59,3. یہ ناجائز طریقوں سےجمع کی گئی دولت کو ملکی اداروں کی گرفت سےبچانےکیلئےمنی لانڈرنگ کےذریعے بیرون ملک منتقل کرتے ہ… https://t.co/mxg0IDXpi5,10181,2240,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mxg0IDXpi5', 'expanded_url': 'https://twitter.com/i/web/status/1349251580235808768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ur
