id,created_at,text,favorites,retweets,entities,language
822466637538410496,2017-01-20 15:31:41,"Yes we can.
Yes we did.
Thank you for being a part of the past eight years. https://t.co/mjmr4RkxpV",310505,122107,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 822465916717797377, 'id_str': '822465916717797377', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/C2n8ZMXUkAEV0YX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C2n8ZMXUkAEV0YX.jpg', 'url': 'https://t.co/mjmr4RkxpV', 'display_url': 'pic.twitter.com/mjmr4RkxpV', 'expanded_url': 'https://twitter.com/WhiteHouse/status/822466637538410496/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 1500, 'h': 1000, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",en
822448957603323904,2017-01-20 14:21:26,"RT @POTUS: I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe i…",0,306101,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [3, 9]}], 'urls': []}",en
822448944697528320,2017-01-20 14:21:23,"RT @POTUS: As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUx…",0,51914,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [3, 9]}], 'urls': []}",en
822448929644089345,2017-01-20 14:21:19,"RT @POTUS: I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love.",0,190582,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [3, 9]}], 'urls': []}",en
822448909310103553,2017-01-20 14:21:14,RT @POTUS: It's been the honor of my life to serve you. You made me a better leader and a better man.,0,550901,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [3, 9]}], 'urls': []}",en
822267035900145664,2017-01-20 02:18:32,"After 388 episodes of West Wing Week, see what’s happening around the White House with @POTUS for the last time. https://t.co/B7jld2dfDh",11139,4236,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [87, 93]}], 'urls': [{'url': 'https://t.co/B7jld2dfDh', 'expanded_url': 'http://snpy.tv/2iXZJOG', 'display_url': 'snpy.tv/2iXZJOG', 'indices': [113, 136]}]}",en
822222830691581952,2017-01-19 23:22:53,"You were the change. Because of you, America is better poised to lead in the 21st century than any other nation on… https://t.co/GOTEiaYo4q",18227,6283,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GOTEiaYo4q', 'expanded_url': 'https://twitter.com/i/web/status/822222830691581952', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [116, 139]}]}",en
822222579930984448,2017-01-19 23:21:53,"Because you fought to make it happen, marriage equality is the law of the land, and we made progress on ensuring th… https://t.co/TgI8DpDlZK",98466,34289,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TgI8DpDlZK', 'expanded_url': 'https://twitter.com/i/web/status/822222579930984448', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]}",en
822222422074126338,2017-01-19 23:21:16,"We brought home more of our troops, prevented Iran from building a nuclear weapon, and opened up a new chapter with the Cuban people.",6766,2136,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
822220767765139456,2017-01-19 23:14:41,"In 2009, @POTUS bet on American autoworkers. And today, our auto industry has come roaring back. https://t.co/NmQVqobDm1",8418,2601,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [9, 15]}], 'urls': [], 'media': [{'id': 822220707631218690, 'id_str': '822220707631218690', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/C2kdYJVUQAIKxZ6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C2kdYJVUQAIKxZ6.jpg', 'url': 'https://t.co/NmQVqobDm1', 'display_url': 'pic.twitter.com/NmQVqobDm1', 'expanded_url': 'https://twitter.com/WhiteHouse/status/822220767765139456/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 1500, 'h': 1000, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",en
