id,created_at,text,favorites,retweets,entities,language
1351787154452619264,2021-01-20 07:02:27,Watch Live! https://t.co/d5wmFpYOCt,2044,398,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/d5wmFpYOCt', 'expanded_url': 'https://twitter.com/narendramodi/status/1351783183038119939', 'display_url': 'twitter.com/narendramodi/s…', 'indices': [12, 35]}]}",en
1351758319174574080,2021-01-20 05:07:52,"From the PMNRF, Ex-gratia of Rs. 2 lakh each would be given to the next of kin of those who have lost their lives d… https://t.co/7Zl8xc04ln",1937,469,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7Zl8xc04ln', 'expanded_url': 'https://twitter.com/i/web/status/1351758319174574080', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351758316691615747,2021-01-20 05:07:51,"The road accident in Dhupguri in Jalpaiguri (West Bengal) is extremely anguishing. In this time of sadness, prayers… https://t.co/Lnh36nlWjv",6817,1134,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Lnh36nlWjv', 'expanded_url': 'https://twitter.com/i/web/status/1351758316691615747', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351369113331855361,2021-01-19 03:21:18,Ex-gratia of Rs. 2 lakh each from PMNRF would be given to the next of kin of those who have lost their lives due to… https://t.co/TJtBOx6WlC,7857,1500,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TJtBOx6WlC', 'expanded_url': 'https://twitter.com/i/web/status/1351369113331855361', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351368862751547399,2021-01-19 03:20:18,The loss of lives due to a truck accident in Surat is tragic. My thoughts are with the bereaved families. Praying t… https://t.co/9qFfYGt1Dm,15623,2096,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9qFfYGt1Dm', 'expanded_url': 'https://twitter.com/i/web/status/1351368862751547399', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350683209437073408,2021-01-17 05:55:46,Watch Live! https://t.co/adcXkQ7aKE,3787,744,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/adcXkQ7aKE', 'expanded_url': 'https://twitter.com/narendramodi/status/1350682965928341504', 'display_url': 'twitter.com/narendramodi/s…', 'indices': [12, 35]}]}",en
1350676190202392577,2021-01-17 05:27:52,राजस्थान के जालौर में हुए बस हादसे की खबर से अत्यंत दुख पहुंचा है। इस दुर्घटना में कई लोगों को अपनी जान गंवानी पड़ी… https://t.co/6byrIxxQqs,17199,2557,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6byrIxxQqs', 'expanded_url': 'https://twitter.com/i/web/status/1350676190202392577', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1350422397602598912,2021-01-16 12:39:23,Watch Live! https://t.co/FiPDBan7dO,2783,624,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FiPDBan7dO', 'expanded_url': 'https://twitter.com/narendramodi/status/1350421486838792194', 'display_url': 'twitter.com/narendramodi/s…', 'indices': [12, 35]}]}",en
1350411317643931648,2021-01-16 11:55:22,"Shri @rssharma3 presented his book, ""The Making of Aadhaar: World’s Largest Identity Platform"" to PM @narendramodi. https://t.co/zIWqUlhBML",8505,1466,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rssharma3', 'name': 'RS Sharma', 'id': 141023176, 'id_str': '141023176', 'indices': [5, 15]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [101, 114]}], 'urls': [], 'media': [{'id': 1350408629841780737, 'id_str': '1350408629841780737', 'indices': [116, 139], 'media_url': 'http://pbs.twimg.com/media/Er2dfntXYAEWYfe.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Er2dfntXYAEWYfe.jpg', 'url': 'https://t.co/zIWqUlhBML', 'display_url': 'pic.twitter.com/zIWqUlhBML', 'expanded_url': 'https://twitter.com/PMOIndia/status/1350411317643931648/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 962, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 545, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 1026, 'resize': 'fit'}}}]}",en
1350314125654597633,2021-01-16 05:29:09,"भारत ने इस महामारी से जिस प्रकार से मुकाबला किया उसका लोहा आज पूरी दुनिया मान रही है।

केंद्र और राज्य सरकारें,… https://t.co/u6rda5vG3d",3537,1051,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u6rda5vG3d', 'expanded_url': 'https://twitter.com/i/web/status/1350314125654597633', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",hi
