id,created_at,text,favorites,retweets,entities,language
822446982648201216,2017-01-20 14:13:35,"I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe in you.",767000,306102,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
822446334787600385,2017-01-20 14:11:01,"As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUxlpLVue.",198222,51914,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fGUxlpLVue', 'expanded_url': 'http://Obama.org', 'display_url': 'Obama.org', 'indices': [111, 134]}]}",en
822446040729157632,2017-01-20 14:09:51,"I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love.",561896,190582,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
822445882247413761,2017-01-20 14:09:13,It's been the honor of my life to serve you. You made me a better leader and a better man.,1503847,550902,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
822181779217981441,2017-01-19 20:39:46,"Proud to make this one of my final actions as President. America is a nation of second chances, and 1,715 people de… https://t.co/vZLJa9SweM",213508,60533,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vZLJa9SweM', 'expanded_url': 'https://twitter.com/i/web/status/822181779217981441', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]}",en
821879923602325504,2017-01-19 00:40:18,"RT @FLOTUS: Being your First Lady has been the honor of a lifetime. From the bottom of my heart, thank you. -mo https://t.co/pahEydkZ5Z",0,320349,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 821872640960839681, 'id_str': '821872640960839681', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/C2fgz_8VQAEExHY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C2fgz_8VQAEExHY.jpg', 'url': 'https://t.co/pahEydkZ5Z', 'display_url': 'pic.twitter.com/pahEydkZ5Z', 'expanded_url': 'https://twitter.com/FLOTUS/status/821872910373715969/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2000, 'h': 1333, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'source_status_id': 821872910373715969, 'source_status_id_str': '821872910373715969', 'source_user_id': 1093090866, 'source_user_id_str': '1093090866'}]}",en
821371347012087808,2017-01-17 14:59:24,"To the girl from the South Side who took on a role she didn't ask for and made it her own: Happy Birthday, Michelle… https://t.co/cFWec1RQN0",1089706,307016,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cFWec1RQN0', 'expanded_url': 'https://twitter.com/i/web/status/821371347012087808', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]}",en
821147626422800386,2017-01-17 00:10:24,"From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub",88241,15407,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [50, 57]}, {'screen_name': 'Cubs', 'name': 'Chicago Cubs', 'id': 41144996, 'id_str': '41144996', 'indices': [92, 97]}], 'urls': [], 'media': [{'id': 821147586128007168, 'id_str': '821147586128007168', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/C2VNYQNUUAAHpoZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C2VNYQNUUAAHpoZ.jpg', 'url': 'https://t.co/RnLyTYF2ub', 'display_url': 'pic.twitter.com/RnLyTYF2ub', 'expanded_url': 'https://twitter.com/POTUS/status/821147626422800386/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2000, 'h': 1333, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",en
821082223910780928,2017-01-16 19:50:31,"In honor of their legacy, @FLOTUS and I are joining Americans across the country in a day of service to our community here in D.C. #MLKDay",62875,10309,"{'hashtags': [{'text': 'MLKDay', 'indices': [131, 138]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [26, 33]}], 'urls': []}",en
821081947728412672,2017-01-16 19:49:25,"Dr. King and those who marched with him proved that people who love their country can change it. As Americans, we all owe them a great deal.",198972,61752,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
819694728665006080,2017-01-12 23:57:07,"That is out of this world. Thanks, @NASA. https://t.co/R8CSjAwt2E",164401,40484,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NASA', 'name': 'NASA', 'id': 11348282, 'id_str': '11348282', 'indices': [35, 40]}], 'urls': [{'url': 'https://t.co/R8CSjAwt2E', 'expanded_url': 'https://twitter.com/marscuriosity/status/819597980596473856', 'display_url': 'twitter.com/marscuriosity/…', 'indices': [42, 65]}]}",en
819044196371800065,2017-01-11 04:52:08,"Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but in yours.",1682568,763782,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
815603723707658241,2017-01-01 17:00:55,It’s been the privilege of my life to serve as your President. I look forward to standing with you as a citizen. Happy New Year everybody.,780310,228127,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
815603416089194496,2017-01-01 16:59:42,"From realizing marriage equality to removing barriers to opportunity, we've made history in our work to reaffirm that all are created equal.",187055,46752,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
815601969154899969,2017-01-01 16:53:57,We brought home more of our troops &amp; strengthened U.S. leadership—leading with diplomacy &amp; partnering with nations to meet global problems.,71091,15724,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
815601640124387328,2017-01-01 16:52:38,"We traded foreign oil for clean energy, we doubled fuel efficiency standards, &amp; we acted on a global scale to save… https://t.co/U2n4myQUkV",61762,16988,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/U2n4myQUkV', 'expanded_url': 'https://twitter.com/i/web/status/815601640124387328', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [120, 143]}]}",en
815601279716225024,2017-01-01 16:51:12,"After decades of rising health care costs, today nearly every American now has access to the financial security of… https://t.co/P9VEPIE3Ab",54493,15404,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/P9VEPIE3Ab', 'expanded_url': 'https://twitter.com/i/web/status/815601279716225024', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [116, 139]}]}",en
