id,created_at,text,favorites,retweets,entities,language
1351840182526382085,2021-01-20 10:33:10,"ये समझना ग़लत है कि ये सत्याग्रह सिर्फ़ किसानों के लिए है। 

इन तीन कृषि-विरोधी क़ानूनों का असर मध्यम वर्ग पर भी प… https://t.co/VYEm3Xmr9b",8975,3039,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VYEm3Xmr9b', 'expanded_url': 'https://twitter.com/i/web/status/1351840182526382085', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1351753315512578050,2021-01-20 04:47:59,The heroic life of Guru Gobind Singh ji has taught us the value of sacrifice in the fight for justice. As our farme… https://t.co/UNVe1Uy8MB,27989,5376,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UNVe1Uy8MB', 'expanded_url': 'https://twitter.com/i/web/status/1351753315512578050', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351506451458453506,2021-01-19 12:27:02,"❤️🇮🇳

#TeamIndia https://t.co/SLmF2hbF0a",85470,11795,"{'hashtags': [{'text': 'TeamIndia', 'indices': [6, 16]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351505568481959938, 'id_str': '1351505568481959938', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351505568481959938/pu/img/eoibWe1ySzZ299W5.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351505568481959938/pu/img/eoibWe1ySzZ299W5.jpg', 'url': 'https://t.co/SLmF2hbF0a', 'display_url': 'pic.twitter.com/SLmF2hbF0a', 'expanded_url': 'https://twitter.com/RahulGandhi/status/1351506451458453506/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",und
1351439951179653120,2021-01-19 08:02:47,LIVE: देश के 62 करोड़ मेहनती किसान-मज़दूर के लिए न्याय की माँग के संबंध में मेरी पत्रकार वार्ता। https://t.co/hXaxdRD4DW,27236,8028,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hXaxdRD4DW', 'expanded_url': 'https://www.pscp.tv/w/ctU4JzFEWUVYR3drTmFSamd8MWVhSmJuTHBCbHZKWMKcI9cSSeVTAZKI1An8YtiBkZewktK4Rt5gxIpEFALH', 'display_url': 'pscp.tv/w/ctU4JzFEWUVY…', 'indices': [97, 120]}]}",hi
1351375107952762881,2021-01-19 03:45:07,Remember his promise- “मैं देश झुकने नहीं दूँगा।” https://t.co/NdXT4hqkNK,47020,12171,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351374737469947905, 'id_str': '1351374737469947905', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/media/EsEMKfFVQAEqWEF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsEMKfFVQAEqWEF.jpg', 'url': 'https://t.co/NdXT4hqkNK', 'display_url': 'pic.twitter.com/NdXT4hqkNK', 'expanded_url': 'https://twitter.com/RahulGandhi/status/1351375107952762881/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 818, 'resize': 'fit'}, 'small': {'w': 680, 'h': 515, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 818, 'resize': 'fit'}}}]}",und
1351017434879287296,2021-01-18 04:03:51,अपने सूट-बूट वाले दोस्तों का 875000 करोड़ क़र्ज़ माफ़ करने वाली मोदी सरकार अन्नदाताओं की पूंजी साफ़ करने में लगी है। https://t.co/p6qL0bifQW,40775,11780,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351017189227327493, 'id_str': '1351017189227327493', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351017189227327493/pu/img/ZNLYfLaafG-UfoeF.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351017189227327493/pu/img/ZNLYfLaafG-UfoeF.jpg', 'url': 'https://t.co/p6qL0bifQW', 'display_url': 'pic.twitter.com/p6qL0bifQW', 'expanded_url': 'https://twitter.com/RahulGandhi/status/1351017434879287296/video/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",hi
1350036556191420420,2021-01-15 11:06:12,"मोदी-माया टूट गयी, मोदी सरकार का अहंकार भी टूटेगा लेकिन अन्नदाता का हौसला ना टूटा है, ना टूटेगा।

सरकार को कृषि वि… https://t.co/7OT6IIddwI",39313,9632,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7OT6IIddwI', 'expanded_url': 'https://twitter.com/i/web/status/1350036556191420420', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1349933240400809991,2021-01-15 04:15:39,"देश के अन्नदाता अपने अधिकार के लिए अहंकारी मोदी सरकार के ख़िलाफ़ सत्याग्रह कर रहे हैं।

आज पूरा भारत किसानों पर अ… https://t.co/63HZZHJZ2g",19467,6503,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/63HZZHJZ2g', 'expanded_url': 'https://twitter.com/i/web/status/1349933240400809991', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
1349752468100452352,2021-01-14 16:17:20,Thank you lovely people of Tamil Nadu. https://t.co/UN5TZ29pwY,53793,10069,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1349751758675865601, 'id_str': '1349751758675865601', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1349751758675865601/pu/img/_B4G324GDZNwY5Py.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1349751758675865601/pu/img/_B4G324GDZNwY5Py.jpg', 'url': 'https://t.co/UN5TZ29pwY', 'display_url': 'pic.twitter.com/UN5TZ29pwY', 'expanded_url': 'https://twitter.com/RahulGandhi/status/1349752468100452352/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 540, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 960, 'h': 540, 'resize': 'fit'}}}]}",en
1349696177927667714,2021-01-14 12:33:39,"Mark my words, the Govt will have to take back the anti-farm laws. https://t.co/zLVUijF8xN",47609,10596,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1349695511717023745, 'id_str': '1349695511717023745', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1349695511717023745/pu/img/s68F-c02-eyZLX5q.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1349695511717023745/pu/img/s68F-c02-eyZLX5q.jpg', 'url': 'https://t.co/zLVUijF8xN', 'display_url': 'pic.twitter.com/zLVUijF8xN', 'expanded_url': 'https://twitter.com/RahulGandhi/status/1349696177927667714/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
