id,created_at,text,favorites,retweets,entities,language
1351726050535825408,2021-01-20 02:59:38,"Kedelapan, Pence bukan tipe yg haus kekuasaan. Dia tak memanfaatkan kesempatan utk ambil alih kepemimpinan meskipun… https://t.co/gcdS0ZcUs9",593,123,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gcdS0ZcUs9', 'expanded_url': 'https://twitter.com/i/web/status/1351726050535825408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351725826971107328,2021-01-20 02:58:45,"Ketujuh, setiap krisis selalu ada pahlawannya. Saya respek kpd Wapres Mike Pence yg tunjukkan karakter kesatrianya… https://t.co/IZUmCpwy7f",561,127,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IZUmCpwy7f', 'expanded_url': 'https://twitter.com/i/web/status/1351725826971107328', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",in
1351725569612808193,2021-01-20 02:57:44,"Keenam, jelang pelantikan Biden, Washington DC mencekam, banyak barikade &amp; dlm pengamanan ketat 25.000 tentara. Sia… https://t.co/Qo5C84mygg",427,119,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Qo5C84mygg', 'expanded_url': 'https://twitter.com/i/web/status/1351725569612808193', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",in
1351725259897012226,2021-01-20 02:56:30,"Kelima, kali ini pergantian kekuasaan yg damai (smooth &amp; peaceful) tak terjadi di AS. Transisi kekuasaan dibarengi… https://t.co/RZAl3W4H9x",379,103,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RZAl3W4H9x', 'expanded_url': 'https://twitter.com/i/web/status/1351725259897012226', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",in
1351724896825475072,2021-01-20 02:55:03,"Keempat, tiap pemilu ada yg menang, ada yg kalah. Meskipun berat &amp; menyakitkan, siapapun yg kalah wajib terima keka… https://t.co/S9wVp4q5kQ",418,104,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/S9wVp4q5kQ', 'expanded_url': 'https://twitter.com/i/web/status/1351724896825475072', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",in
1351724536220143616,2021-01-20 02:53:37,"Ketiga, ""post-truth politics"" (politik yg tdk berlandaskan pada fakta), termasuk kebohongan yg sistematis &amp; berulan… https://t.co/QfWPULVoPh",652,172,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QfWPULVoPh', 'expanded_url': 'https://twitter.com/i/web/status/1351724536220143616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",in
1351724056295292929,2021-01-20 02:51:43,"Kedua, di era ""post-truth politics"", ucapan pemimpin (presiden) hrs benar &amp; jujur. Kalau tidak, dampaknya sgt besar… https://t.co/8PsaMljtk2",614,134,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8PsaMljtk2', 'expanded_url': 'https://twitter.com/i/web/status/1351724056295292929', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",in
1351723697577422851,2021-01-20 02:50:17,"Bagi para pencinta demokrasi, drama politik di AS saat ini dapat dipetik pelajarannya. Pertama, sistem demokrasi ti… https://t.co/Tq205akZFW",4471,953,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Tq205akZFW', 'expanded_url': 'https://twitter.com/i/web/status/1351723697577422851', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1349579241948545027,2021-01-14 04:48:59,3. Syekh Ali Jaber menyempatkan waktu utk menjenguk &amp; mendoakan istri tercinta Ani Yudhoyono ketika sedang dirawat… https://t.co/8lsQafaXJ6,45473,5413,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8lsQafaXJ6', 'expanded_url': 'https://twitter.com/i/web/status/1349579241948545027', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",in
1349578560550256640,2021-01-14 04:46:17,2. Saya mengenal almarhum sebagai ulama yg teduh. Syiar &amp; fatwanya mencerdaskan umat. Tutur kata Syekh Ali Jaber ja… https://t.co/AYPwWgiqLz,12181,1841,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AYPwWgiqLz', 'expanded_url': 'https://twitter.com/i/web/status/1349578560550256640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",in
