id,created_at,text,favorites,retweets,entities,language
1351848194368557057,2021-01-20 11:05:00,"Regaining access to two refugee camps in Tigray, Ethiopia, @refugees found Eritrean refugees in desperate need of s… https://t.co/bj8jPGbLSy",130,53,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Refugees', 'name': 'UNHCR, the UN Refugee Agency', 'id': 14361155, 'id_str': '14361155', 'indices': [59, 68]}], 'urls': [{'url': 'https://t.co/bj8jPGbLSy', 'expanded_url': 'https://twitter.com/i/web/status/1351848194368557057', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351816856592592896,2021-01-20 09:00:28,"RT @UNEP: ⚠️ Without immediate intervention, our precious coral reef ecosystem could be gone within 30 years.

✅ Coral Reef restoration use…",0,124,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UNEP', 'name': 'UN Environment Programme', 'id': 38146999, 'id_str': '38146999', 'indices': [3, 8]}], 'urls': []}",en
1351803398757072901,2021-01-20 08:07:00,"The pandemic has reversed decades of progress when it comes to women's rights &amp; empowerment.

@UNDP &amp; @UN_Women gen… https://t.co/WOYjlPJu0a",241,89,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UNDP', 'name': 'UN Development', 'id': 20596281, 'id_str': '20596281', 'indices': [98, 103]}, {'screen_name': 'UN_Women', 'name': 'UN Women', 'id': 17137628, 'id_str': '17137628', 'indices': [110, 119]}], 'urls': [{'url': 'https://t.co/WOYjlPJu0a', 'expanded_url': 'https://twitter.com/i/web/status/1351803398757072901', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [125, 148]}]}",en
1351757345630556160,2021-01-20 05:04:00,"Households consume 29% of global energy and contribute to 21% of CO2 emissions. 

Be a #ClimateAction hero - never… https://t.co/JcHCQaF7n8",176,58,"{'hashtags': [{'text': 'ClimateAction', 'indices': [87, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JcHCQaF7n8', 'expanded_url': 'https://twitter.com/i/web/status/1351757345630556160', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351712047222820864,2021-01-20 02:04:00,"The correct way to wear a mask to help stop the spread of #COVID19:
🧴Wash your hands.
😷Put mask over your mouth and… https://t.co/JbKy77vAGK",378,151,"{'hashtags': [{'text': 'COVID19', 'indices': [58, 66]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JbKy77vAGK', 'expanded_url': 'https://twitter.com/i/web/status/1351712047222820864', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351665993844572163,2021-01-19 23:01:00,"Seeking asylum is a fundamental human right for people fleeing violence, persecution, war or disaster at home.

Mor… https://t.co/3MP8Y3voIX",417,128,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3MP8Y3voIX', 'expanded_url': 'https://twitter.com/i/web/status/1351665993844572163', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351653212131106816,2021-01-19 22:10:12,"RT @antonioguterres: All countries need #COVID19 vaccine doses now to protect all healthcare and frontline workers.

We must treat vaccines…",0,346,"{'hashtags': [{'text': 'COVID19', 'indices': [40, 48]}], 'symbols': [], 'user_mentions': [{'screen_name': 'antonioguterres', 'name': 'António Guterres', 'id': 811229675758505984, 'id_str': '811229675758505984', 'indices': [3, 19]}], 'urls': []}",en
1351636303645958144,2021-01-19 21:03:01,RT @GlobalGoalsUN: Want to take #ClimateAction? Join the #BabaYagaVR challenge on the #ActNow app! Logging your habits will trigger a donat…,0,36,"{'hashtags': [{'text': 'ClimateAction', 'indices': [32, 46]}, {'text': 'BabaYagaVR', 'indices': [57, 68]}, {'text': 'ActNow', 'indices': [86, 93]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GlobalGoalsUN', 'name': 'Global Goals', 'id': 115099953, 'id_str': '115099953', 'indices': [3, 17]}], 'urls': []}",en
1351622021965352961,2021-01-19 20:06:16,"Since Rashid received his new bee hives from @WFP_Africa, his life has been sweeter. 🐝 🍯

More than 1,700 hives hav… https://t.co/r9AMfzByG1",243,58,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WFP_Africa', 'name': 'WFP Africa', 'id': 327324133, 'id_str': '327324133', 'indices': [45, 56]}], 'urls': [{'url': 'https://t.co/r9AMfzByG1', 'expanded_url': 'https://twitter.com/i/web/status/1351622021965352961', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351605507728027648,2021-01-19 19:00:39,"RT @FAO: East Africa's locust ""air force"" could be grounded, as another wave of the scourge takes flight.

More info 👉https://t.co/rQzsqj00…",0,44,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FAO', 'name': 'FAO', 'id': 19649135, 'id_str': '19649135', 'indices': [3, 7]}], 'urls': []}",en
