id,created_at,text,favorites,retweets,entities,language
1351688642511704071,2021-01-20 00:31:00,RT @FLOTUS: A Farewell Message from First Lady Melania Trump https://t.co/WfG1zg2mt4,0,33902,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1350993824131276808, 'id_str': '1350993824131276808', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1350993824131276808/img/wtxK4dfkEKX5-cmC.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1350993824131276808/img/wtxK4dfkEKX5-cmC.jpg', 'url': 'https://t.co/WfG1zg2mt4', 'display_url': 'pic.twitter.com/WfG1zg2mt4', 'expanded_url': 'https://twitter.com/FLOTUS/status/1351258353704579074/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1351258353704579074, 'source_status_id_str': '1351258353704579074', 'source_user_id': 818876014390603776, 'source_user_id_str': '818876014390603776'}]}",en
1351636632278102023,2021-01-19 21:04:19,"""Four years ago, we launched a great national effort to rebuild our country, to renew its spirit, and to restore th… https://t.co/a7TKerjsWW",31176,8121,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/a7TKerjsWW', 'expanded_url': 'https://twitter.com/i/web/status/1351636632278102023', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351520550682845185,2021-01-19 13:23:03,"RT @IvankaTrump: Today, our Farmers to Families 👩‍🌾 Food Box program will roll out Round 5 adding $1.5 Billion of new funding. Created to f…",0,7760,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IvankaTrump', 'name': 'Ivanka Trump', 'id': 52544275, 'id_str': '52544275', 'indices': [3, 15]}], 'urls': []}",en
1351341605765210114,2021-01-19 01:32:00,"RT @FLOTUS: Over the past 4 years, I’ve had the immense honor to call the @WhiteHouse home. W the help of @WhiteHouseHstry, dedicated staff…",0,10684,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [3, 10]}, {'screen_name': 'WhiteHouse', 'name': 'The White House', 'id': 822215673812119553, 'id_str': '822215673812119553', 'indices': [74, 85]}, {'screen_name': 'WhiteHouseHstry', 'name': 'White House History', 'id': 106448460, 'id_str': '106448460', 'indices': [106, 122]}], 'urls': []}",en
1351293287630581761,2021-01-18 22:20:00,A Farewell Message from @FLOTUS: https://t.co/4sHlWW9Wep,18560,3559,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [24, 31]}], 'urls': [{'url': 'https://t.co/4sHlWW9Wep', 'expanded_url': 'http://45.wh.gov/9fmKLg', 'display_url': '45.wh.gov/9fmKLg', 'indices': [33, 56]}]}",en
1351203920568266754,2021-01-18 16:24:53,"RT @FLOTUS: Today, we honor the life of Dr. Martin Luther King, Jr. &amp; his fearless dedication to the civil rights movement. Dr. King's purs…",0,13071,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [3, 10]}], 'urls': []}",en
1351203910267121681,2021-01-18 16:24:51,"RT @Mike_Pence: Today we honor Dr. Martin Luther King Jr., a giant of the Civil Rights Movement who called on our Nation to live up to the…",0,2946,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mike_Pence', 'name': 'Mike Pence', 'id': 22203756, 'id_str': '22203756', 'indices': [3, 14]}], 'urls': []}",en
1351203791543140356,2021-01-18 16:24:22,"""Today, we honor and celebrate Dr. King, a giant of the civil rights movement whose nonviolent resistance to the in… https://t.co/IuIy30LjEc",7028,1468,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IuIy30LjEc', 'expanded_url': 'https://twitter.com/i/web/status/1351203791543140356', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350927368710447105,2021-01-17 22:05:58,RT @Mike_Pence: https://t.co/nvoffwVBMB,0,1465,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mike_Pence', 'name': 'Mike Pence', 'id': 22203756, 'id_str': '22203756', 'indices': [3, 14]}], 'urls': [{'url': 'https://t.co/nvoffwVBMB', 'expanded_url': 'https://www.pscp.tv/w/ctNarjM4OTA1MTJ8MVBsSlFQemtyRHZHRZC2Wnl5t0MWPWnZpHrub---J-OVvgFrmQwimQ7fLJ7b', 'display_url': 'pscp.tv/w/ctNarjM4OTA1…', 'indices': [16, 39]}]}",und
1350837681362784257,2021-01-17 16:09:35,"RT @IvankaTrump: ☑️GOP Tax Cuts &amp; Jobs Act of 2017 created the first National Paid Family Leave tax credit for ppl earning $72K or less

☑️…",0,2243,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IvankaTrump', 'name': 'Ivanka Trump', 'id': 52544275, 'id_str': '52544275', 'indices': [3, 15]}], 'urls': []}",en
