id,created_at,text,favorites,retweets,entities,language
1158966775733616640,2019-08-07 05:03:06,महान संत तुलसीदास जी की जयंती पर उनको कोटि कोटि नमन | https://t.co/sviPbLPlnK,14476,1140,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1158966767294640128, 'id_str': '1158966767294640128', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/media/EBV6ImcUcAAj5TC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EBV6ImcUcAAj5TC.jpg', 'url': 'https://t.co/sviPbLPlnK', 'display_url': 'pic.twitter.com/sviPbLPlnK', 'expanded_url': 'https://twitter.com/arunjaitley/status/1158966775733616640/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1000, 'h': 1000, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1000, 'h': 1000, 'resize': 'fit'}}}]}",hi
1158810399308828672,2019-08-06 18:41:43,"Saddened, pained &amp; broken on demise of Sushmaji. She was one of the most outstanding politicians in the Present Era… https://t.co/zXz8WFAOsq",42080,5204,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zXz8WFAOsq', 'expanded_url': 'https://twitter.com/i/web/status/1158810399308828672', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1158677779518328833,2019-08-06 09:54:44,"Congress Party, as a ‘headless chicken’, is further consolidating its alienation from the people of India. The New… https://t.co/0SkfY9IwZ6",7210,1195,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0SkfY9IwZ6', 'expanded_url': 'https://twitter.com/i/web/status/1158677779518328833', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1158677777630941184,2019-08-06 09:54:44,The level of support has compelled several opposition parties to support this move. They sensed the ground reality… https://t.co/4y54SzvS4f,4727,633,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4y54SzvS4f', 'expanded_url': 'https://twitter.com/i/web/status/1158677777630941184', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1158677775781261312,2019-08-06 09:54:43,"India’s most beautiful State has not had investments from even the hotel chains. Consequently, there are no new job… https://t.co/aaE8b7sBUA",2109,390,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aaE8b7sBUA', 'expanded_url': 'https://twitter.com/i/web/status/1158677775781261312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1158677773910564864,2019-08-06 09:54:43,"The decision to reverse the situation created by Panditji needed clarity, vision and determination. It also needed… https://t.co/sNa4DZCJrp",1602,333,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sNa4DZCJrp', 'expanded_url': 'https://twitter.com/i/web/status/1158677773910564864', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1158677772052467713,2019-08-06 09:54:42,"The last ten months have not seen any protest. Not even in Srinagar. Law and order enforcement, making life safe fo… https://t.co/NiqNrxZsxq",1660,348,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NiqNrxZsxq', 'expanded_url': 'https://twitter.com/i/web/status/1158677772052467713', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1158677770190245888,2019-08-06 09:54:42,"In the last seven decades, attempts to resolve the issue proved a disaster, PM Modi decided to follow an alternativ… https://t.co/htJwRNXteb",1007,259,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/htJwRNXteb', 'expanded_url': 'https://twitter.com/i/web/status/1158677770190245888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1158677768231505921,2019-08-06 09:54:41,"The historic blunders of special status had cost the country politically and financially. Today, when history is be… https://t.co/RQHJNT9zAL",1089,276,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RQHJNT9zAL', 'expanded_url': 'https://twitter.com/i/web/status/1158677768231505921', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1158677766360846336,2019-08-06 09:54:41,"By 1989-90, the situation of J&amp;K had gone out of control and separatism with terrorism picked up. Kashmiri pundits,… https://t.co/gy1AT4UYsk",1143,311,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gy1AT4UYsk', 'expanded_url': 'https://twitter.com/i/web/status/1158677766360846336', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
