id,created_at,text,favorites,retweets,entities,language
1351850411561414656,2021-01-20 11:13:48,"Terakhir, saya meminta agar ada tindak lanjut, baik dari KNKT maupun Kementerian Perhubungan, untuk melakukan pemer… https://t.co/qSu6ix8eeA",564,45,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qSu6ix8eeA', 'expanded_url': 'https://twitter.com/i/web/status/1351850411561414656', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351850108447408128,2021-01-20 11:12:36,"Sekali lagi, saya menyampaikan dukacita yang mendalam kepada seluruh keluarga korban, semoga diberikan keikhlasan d… https://t.co/rs2Pda1qOj",723,53,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rs2Pda1qOj', 'expanded_url': 'https://twitter.com/i/web/status/1351850108447408128', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351849904876912641,2021-01-20 11:11:48,Serpihan-serpihan badan pesawat Sriwijaya Air SJ 182 masih terhampar di pelataran posko evakuasi di kawasan Pelabuh… https://t.co/C8Gp4Y9kh1,1316,143,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/C8Gp4Y9kh1', 'expanded_url': 'https://twitter.com/i/web/status/1351849904876912641', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351444479647969280,2021-01-19 08:20:47,"Berbincang dengan sdr. Taufik di atas reruntuhan rumahnya di Mamuju, Sulbar, yang rusak oleh gempa bumi Jumat lalu.… https://t.co/t3food0wOb",5510,605,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/t3food0wOb', 'expanded_url': 'https://twitter.com/i/web/status/1351444479647969280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351443432204427264,2021-01-19 08:16:37,"Saya pun sudah menyaksikan sendiri dampak besar gempa berkekuatan magnitudo 6,2 itu. 

Pemerintah pusat akan memban… https://t.co/qk1sBlhMsl",1815,173,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qk1sBlhMsl', 'expanded_url': 'https://twitter.com/i/web/status/1351443432204427264', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351443209231032320,2021-01-19 08:15:44,Stadion Manakarra di Mamuju dialihfungsikan sebagai tempat pengungsian bagi warga terdampak bencana gempa di Sulbar… https://t.co/ZMA87m8M27,5642,680,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZMA87m8M27', 'expanded_url': 'https://twitter.com/i/web/status/1351443209231032320', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351397375793762304,2021-01-19 05:13:36,"Sebagian bangunan kantor gubernur Sulawesi Barat di Mamuju yang rusak setelah diguncang gempa 15 Januari lalu. 

Pe… https://t.co/0lckwVh4uT",4935,549,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0lckwVh4uT', 'expanded_url': 'https://twitter.com/i/web/status/1351397375793762304', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351360029593534465,2021-01-19 02:45:12,Saya bertolak dari Pangkalan TNI AU Halim Perdanakusuma pagi ini menuju Sulawesi Barat yang diguncang gempa bumi be… https://t.co/e5lnXj8Sk2,11490,1047,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e5lnXj8Sk2', 'expanded_url': 'https://twitter.com/i/web/status/1351360029593534465', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351119382144020482,2021-01-18 10:48:57,Saya telah memerintahkan kepada Menteri PUPR untuk memperbaiki beberapa jembatan yang runtuh dalam beberapa hari in… https://t.co/jnMHMe1Oo4,3650,315,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jnMHMe1Oo4', 'expanded_url': 'https://twitter.com/i/web/status/1351119382144020482', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351119216024367105,2021-01-18 10:48:18,"Saya sudah melihat langsung dampak banjir di sejumlah tempat di Kalsel. Sejumlah sarana penghubung rusak, salah sat… https://t.co/RHaj5E6J3i",9865,1118,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RHaj5E6J3i', 'expanded_url': 'https://twitter.com/i/web/status/1351119216024367105', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
