id,created_at,text,favorites,retweets,entities,language
1351834718140985351,2021-01-20 10:11:27,श्री गुरु गोबिंद सिंह जी के प्रकाश पर्व पर यहियागंज स्थित गुरुद्वारे में श्री गुरु ग्रंथ साहिब जी के दर्शन व पावन… https://t.co/f0ytactcA0,7432,1116,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f0ytactcA0', 'expanded_url': 'https://twitter.com/i/web/status/1351834718140985351', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
1351786561864572928,2021-01-20 07:00:05,RT @narendramodi: Ensuring ‘Housing for All’ in UP. #GraminAwaasSabkePass https://t.co/WrIPFXpW0G,0,3877,"{'hashtags': [{'text': 'GraminAwaasSabkePass', 'indices': [52, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/WrIPFXpW0G', 'expanded_url': 'https://www.pscp.tv/w/ctZ30DMyMjExNTJ8MXJtR1B6RFhsWW54TqG-OiJA7J2LAb-imI4gAejlVx1aMl46ifsi4SOdZDVU', 'display_url': 'pscp.tv/w/ctZ30DMyMjEx…', 'indices': [74, 97]}]}",en
1351779765707935745,2021-01-20 06:33:05,आज उत्तर प्रदेश के लाखों ग्रामीण बहनों-भाइयों का ‘अपने घर’ का स्वप्न साकार होने जा रहा है... #GraminAwaasSabkePass https://t.co/WMr8ctTIFg,6027,1149,"{'hashtags': [{'text': 'GraminAwaasSabkePass', 'indices': [93, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WMr8ctTIFg', 'expanded_url': 'https://www.pscp.tv/w/ctZ0oTF4ZUVXWFJQTW5lUVB8MXZBeFJ3enFqWFZLbAvGcIodYONK2WTm_veaRTPZ0nLXnaQsDD-q1RNStF15', 'display_url': 'pscp.tv/w/ctZ0oTF4ZUVX…', 'indices': [115, 138]}]}",hi
1351727564197294080,2021-01-20 03:05:39,"उत्तर प्रदेश ‘हाउसिंग फॉर ऑल’ लक्ष्य की दिशा में दृढ़तापूर्वक आगे बढ़ रहा है।

आदरणीय प्रधानमंत्री श्री… https://t.co/uAgOobQvjp",10101,1429,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uAgOobQvjp', 'expanded_url': 'https://twitter.com/i/web/status/1351727564197294080', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",hi
1351722935136866305,2021-01-20 02:47:16,RT @narendramodi: उत्तर प्रदेश के ग्रामीण भाई-बहनों के लिए आज का दिन अहम है। दोपहर 12 बजे वीडियो कॉन्फ्रेंसिंग के जरिए प्रधानमंत्री आवास यो…,0,3861,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': []}",hi
1351722384433184770,2021-01-20 02:45:04,"खालसा पंथ के संस्थापक, महान संत श्रद्धेय श्री गुरु गोबिंद सिंह जी को उनकी जयंती पर कृतज्ञ मानवता की ओर से कोटिशः नम… https://t.co/ungyo98qG1",19675,2881,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ungyo98qG1', 'expanded_url': 'https://twitter.com/i/web/status/1351722384433184770', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351529656755777536,2021-01-19 13:59:15,"भारतीय स्वतंत्रता संग्राम के महानायक नेताजी सुभाष चंद्र बोस जी की जयंती, 23 जनवरी को प्रति वर्ष ‘पराक्रम दिवस’ के… https://t.co/ZL2fPGH9MD",21782,3047,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZL2fPGH9MD', 'expanded_url': 'https://twitter.com/i/web/status/1351529656755777536', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
1351488683002609665,2021-01-19 11:16:26,निष्पक्ष व पारदर्शी भर्ती प्रक्रिया 'नए उत्तर प्रदेश' की पहचान... https://t.co/wZIc7YNbdJ,13184,2058,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wZIc7YNbdJ', 'expanded_url': 'https://www.pscp.tv/w/ctVlijF4ZUVXWFJQTW5lUVB8MWxQS3FYQW5ubmx4YjWGkAa635w5_0KrNP69YNzYhi9Y1AwK_yfb-KvSqZ8D', 'display_url': 'pscp.tv/w/ctVlijF4ZUVX…', 'indices': [66, 89]}]}",hi
1351446526590021632,2021-01-19 08:28:55,"भारतीय क्रिकेट टीम को ऑस्ट्रेलिया में प्राप्त हुई ऐतिहासिक सफलता के लिए हार्दिक बधाई।

यह विजय 'टीम इंडिया' के दृढ़… https://t.co/RyE0eXH1im",62798,6994,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RyE0eXH1im', 'expanded_url': 'https://twitter.com/i/web/status/1351446526590021632', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351095657239638018,2021-01-18 09:14:41,उत्तर प्रदेश के उच्च सदन 'विधान परिषद' की सदस्यता हेतु नामांकन करने वाले @BJP4UP के सभी सम्मानित प्रत्याशीगणों को… https://t.co/VY06Epoa9e,18605,2079,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': 2220938808, 'id_str': '2220938808', 'indices': [73, 80]}], 'urls': [{'url': 'https://t.co/VY06Epoa9e', 'expanded_url': 'https://twitter.com/i/web/status/1351095657239638018', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
