id,created_at,text,favorites,retweets,entities,language
1351861298678558721,2021-01-20 11:57:04,ग़रीबों के हित में जितने निर्णय प्रधानमंत्री श्री @narendramodi के नेतृत्व में पिछले साढ़े छह वर्षों में लिए गए हैं… https://t.co/CM1pVErCj3,70,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [50, 63]}], 'urls': [{'url': 'https://t.co/CM1pVErCj3', 'expanded_url': 'https://twitter.com/i/web/status/1351861298678558721', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351861297080504320,2021-01-20 11:57:04,आज प्रधानमंत्री श्री नरेंद्र मोदी ने पीएम आवास योजना (ग्रामीण) के अंतर्गत उत्तर प्रदेश के ६ लाख से अधिक लाभार्थियों… https://t.co/fyxV7LgNgH,147,30,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fyxV7LgNgH', 'expanded_url': 'https://twitter.com/i/web/status/1351861297080504320', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351797821989560327,2021-01-20 07:44:50,"Had a productive meeting with Singapore’s Defence Minster, Dr. Ng Eng Hen. India is fortunate to a have defence par… https://t.co/4rb3S1suUr",3348,393,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4rb3S1suUr', 'expanded_url': 'https://twitter.com/i/web/status/1351797821989560327', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351786425801293824,2021-01-20 06:59:33,RT @narendramodi: Ensuring ‘Housing for All’ in UP. #GraminAwaasSabkePass https://t.co/WrIPFXpW0G,0,3863,"{'hashtags': [{'text': 'GraminAwaasSabkePass', 'indices': [52, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/WrIPFXpW0G', 'expanded_url': 'https://www.pscp.tv/w/ctZ30DMyMjExNTJ8MXJtR1B6RFhsWW54TqG-OiJA7J2LAb-imI4gAejlVx1aMl46ifsi4SOdZDVU', 'display_url': 'pscp.tv/w/ctZ30DMyMjEx…', 'indices': [74, 97]}]}",en
1351767761119109120,2021-01-20 05:45:23,"सिखों के दशम गुरु एवं खालसा पंथ के संस्थापक, गुरु गोबिंद सिंह जी के प्रकाश पर्व पर मैं उन्हें स्मरण और नमन करता हूँ… https://t.co/vbrGQuQkQ8",5853,619,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vbrGQuQkQ8', 'expanded_url': 'https://twitter.com/i/web/status/1351767761119109120', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351549662973448192,2021-01-19 15:18:44,RT @narendramodi: India is deeply honoured to be a long-trusted partner in meeting the healthcare needs of the global community. Supplies o…,0,6115,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': []}",en
1351437011215740931,2021-01-19 07:51:06,"What a Game at Brisbane! It is one of the most memorable victories in the recent years. 

Congratulations to the In… https://t.co/eo6qF1Us53",27023,2451,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eo6qF1Us53', 'expanded_url': 'https://twitter.com/i/web/status/1351437011215740931', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351170098220978178,2021-01-18 14:10:29,"पंजाब केसरी के पूर्व संपादक, स्वर्गीय अश्विनी कुमारजी की पहली पुण्यतिथि पर आयोजित कार्यक्रम में भाग लेकर उनके बारे… https://t.co/iYAuTdz3Pd",3474,413,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iYAuTdz3Pd', 'expanded_url': 'https://twitter.com/i/web/status/1351170098220978178', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1351137667346538499,2021-01-18 12:01:37,वरिष्ठ पत्रकार श्री @PrabhuChawla के साथ @AajTak पर हुई ‘सीधी बात’ में अनेक मुद्दों पर बातचीत हुई। पुनः देखें https://t.co/P4LvPwJ5Uj,3709,586,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PrabhuChawla', 'name': 'PrabhuChawla', 'id': 40400019, 'id_str': '40400019', 'indices': [20, 33]}, {'screen_name': 'aajtak', 'name': 'AajTak', 'id': 42606652, 'id_str': '42606652', 'indices': [41, 48]}], 'urls': [{'url': 'https://t.co/P4LvPwJ5Uj', 'expanded_url': 'https://www.pscp.tv/w/ctQeoTF6WUtiZ1dMeEFCamV8MWt2SnBvcG5SYWRHReGiBJzMOdcrSr7ky6pX63PCWvMVA7fgPjCmhiK3eDaR', 'display_url': 'pscp.tv/w/ctQeoTF6WUti…', 'indices': [110, 133]}]}",hi
1351123222918557697,2021-01-18 11:04:13,"पंजाब केसरी के पूर्व सम्पादक, स्व. अश्विनी कुमार जी एक व्यक्ति नहीं बल्कि अपने आप में एक संस्था थे.. https://t.co/eSGVDdXBDf",3842,519,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eSGVDdXBDf', 'expanded_url': 'https://www.pscp.tv/w/ctQRLTF6WUtiZ1dMeEFCamV8MXlOeGFXZVBWd3JHal5yZiHXvBEl0BTVQP-nG6SlFmzVyhNGx8djkQp2tJbU', 'display_url': 'pscp.tv/w/ctQRLTF6WUti…', 'indices': [101, 124]}]}",hi
1351109708191588358,2021-01-18 10:10:31,आज प्रधानमंत्री श्री @narendramodi के मार्गदर्शन में एवं @nitin_gadkari के दिशा निर्देशन में सड़क एवं भूतल परिवहन… https://t.co/XCYzGWimoc,2907,543,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [21, 34]}, {'screen_name': 'nitin_gadkari', 'name': 'Nitin Gadkari', 'id': 97217966, 'id_str': '97217966', 'indices': [57, 71]}], 'urls': [{'url': 'https://t.co/XCYzGWimoc', 'expanded_url': 'https://twitter.com/i/web/status/1351109708191588358', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
1351105783858135045,2021-01-18 09:54:55,देश में कोरोना के कारण डेढ़ लाख से अधिक लोगों की जानें गई जबकि आज भी Road Accidents में उससे ज्यादा लोगों की जानें… https://t.co/u2yYRG9wqn,1911,379,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u2yYRG9wqn', 'expanded_url': 'https://twitter.com/i/web/status/1351105783858135045', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1351102264828710912,2021-01-18 09:40:56,दुर्घटना होने से केवल एक व्यक्ति या परिवार की ही क्षति नही होती बल्कि पूरे देश की अर्थव्यवस्था को भी ये प्रभावित कर… https://t.co/bCXEfdPRPk,2107,407,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bCXEfdPRPk', 'expanded_url': 'https://twitter.com/i/web/status/1351102264828710912', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351099397984104453,2021-01-18 09:29:33,आज दिल्ली में आयोजित ‘राष्ट्रीय सड़क सुरक्षा माह’ के उद्घाटन समारोह में शामिल होने का अवसर मिला। सड़क सुरक्षा के सं… https://t.co/turQfFtmpW,3085,408,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/turQfFtmpW', 'expanded_url': 'https://twitter.com/i/web/status/1351099397984104453', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1350774875149856769,2021-01-17 12:00:01,"लखनऊ में पार्षद रहे वीरेंद्र जसवानी जी एवं रमेश कपूर जी बाबा, तथा शहर के वरिष्ठ समाजसेवी रामनिवास जैन जी के निधन के… https://t.co/jHs2I6hmgf",3579,407,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jHs2I6hmgf', 'expanded_url': 'https://twitter.com/i/web/status/1350774875149856769', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1350409009694613507,2021-01-16 11:46:11,लखनऊ के किंग जॉर्ज मेडिकल यूनिवर्सिटी और बलराम हॉस्पिटल में चल रहे ‘टीकाकरण अभियान’ को मौक़े पर पहुँच कर देखा और इस… https://t.co/RW89uGqBIu,2588,386,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RW89uGqBIu', 'expanded_url': 'https://twitter.com/i/web/status/1350409009694613507', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1350399444978581507,2021-01-16 11:08:11,आज लखनऊ में मध्य कमान के नए सेना अस्पताल के भूमि पूजन समारोह में सम्मिलित हुआ। लगभग ९०० बेड क्षमता वाला यह अस्पताल… https://t.co/CsrG0JGd6j,4691,747,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CsrG0JGd6j', 'expanded_url': 'https://twitter.com/i/web/status/1350399444978581507', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1350397071468109825,2021-01-16 10:58:45,स्वदेशी वैक्सीन केवल भारतवासियों को ही नही लगाई जाएगी बल्कि दुनिया के दूसरे देशों को भी हम निर्यात करने वाले है… https://t.co/9p8av4MrX7,3217,566,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9p8av4MrX7', 'expanded_url': 'https://twitter.com/i/web/status/1350397071468109825', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",hi
1350396272256053249,2021-01-16 10:55:35,"यदि हमारे डाक्टर्स, पैरामेडिकल स्टाफ जिन्हें हम कोरोना वारियर्स के रूप में जानते है न होते तो हम शायद इस कोरोना महा… https://t.co/yMZmydfVrZ",1808,329,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yMZmydfVrZ', 'expanded_url': 'https://twitter.com/i/web/status/1350396272256053249', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1350396000683233284,2021-01-16 10:54:30,नए साल की शुरुआत में ही उत्तर प्रदेश में स्थित मध्य कमान में एक नए Command Hospital के निर्माण का आग़ाज़ हमें यह सं… https://t.co/K6uXfqBoQC,1280,275,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/K6uXfqBoQC', 'expanded_url': 'https://twitter.com/i/web/status/1350396000683233284', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1350352694112735233,2021-01-16 08:02:25,लखनऊ स्थित मध्य कमान में सेना के नए अस्पताल के भूमि पूजन समारोह को संबोधित कर रहा हूँ। हमसे जुड़िए https://t.co/09zbQ0bmgQ,4863,715,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/09zbQ0bmgQ', 'expanded_url': 'https://www.pscp.tv/w/ctFDkTF6WUtiZ1dMeEFCamV8MVprS3pldlliV2d4dunQLWk7NdW5D9eLp7qm1zcy5pyLGhrOpgiohv4H6PzK', 'display_url': 'pscp.tv/w/ctFDkTF6WUti…', 'indices': [99, 122]}]}",hi
1350352121879662595,2021-01-16 08:00:08,RT @narendramodi: India is guided by a human-centric approach that will always work to further global good. #LargestVaccineDrive https://t.…,0,3965,"{'hashtags': [{'text': 'LargestVaccineDrive', 'indices': [108, 128]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': []}",en
1350352093819797504,2021-01-16 08:00:02,RT @narendramodi: A swift and people-powered response to the COVID-19 global pandemic. #LargestVaccineDrive https://t.co/d88OLOmd0e,0,3565,"{'hashtags': [{'text': 'LargestVaccineDrive', 'indices': [87, 107]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1350327711546281985, 'id_str': '1350327711546281985', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1350327711546281985/img/eWG2Do4bYIf-DzfT.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1350327711546281985/img/eWG2Do4bYIf-DzfT.jpg', 'url': 'https://t.co/d88OLOmd0e', 'display_url': 'pic.twitter.com/d88OLOmd0e', 'expanded_url': 'https://twitter.com/narendramodi/status/1350350933901910017/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1350350933901910017, 'source_status_id_str': '1350350933901910017', 'source_user_id': 18839785, 'source_user_id_str': '18839785'}]}",en
