id,created_at,text,favorites,retweets,entities,language
1351812370595602433,2021-01-20 08:42:39,পশ্চিমবঙ্গের ধূপগুড়িতে মর্মান্তিক সড়ক দুর্ঘটনায় জীবনহানির খবরে অত্যন্ত ব্যথিত। দুঃখের এই মুহূর্তে শোকসন্তপ্ত পরি… https://t.co/dRp0DoaT9o,1530,165,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dRp0DoaT9o', 'expanded_url': 'https://twitter.com/i/web/status/1351812370595602433', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",bn
1351792659136868355,2021-01-20 07:24:19,"Distressed to learn about the loss of lives in a tragic road accident in Dhupguri, West Bengal. In this hour of gri… https://t.co/Fq9RBB6mHx",2278,220,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Fq9RBB6mHx', 'expanded_url': 'https://twitter.com/i/web/status/1351792659136868355', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351759197931667456,2021-01-20 05:11:21,ਸ੍ਰੀ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਜੀ ਦੇ ਪ੍ਰਕਾਸ਼ ਪੁਰਬ ਦੇ ਸ਼ੁਭ ਅਵਸਰ ‘ਤੇ ਮੇਰੀਆਂ ਨਿਮਰ ਸ਼ਰਧਾਂਜਲੀਆਂ। ਸਮਾਨਤਾ ਤੇ ਸਮੁੱਚਤਾ ਦਾ ਪ੍ਰਚਾਰ ਕਰਦਾ… https://t.co/iXUm764Uxi,1791,195,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iXUm764Uxi', 'expanded_url': 'https://twitter.com/i/web/status/1351759197931667456', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pa
1351744014249201664,2021-01-20 04:11:01,My humble tributes on the auspicious occasion of Guru Gobind Singh ji's Parkash Purab. His life has been inspiring… https://t.co/yf2W20TenF,5098,543,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yf2W20TenF', 'expanded_url': 'https://twitter.com/i/web/status/1351744014249201664', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351458662552768515,2021-01-19 09:17:08,"A historic cricketing triumph scripted in Australia! 

Congratulations to India's talented young cricket team for w… https://t.co/SpuaU7bazC",33602,2731,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SpuaU7bazC', 'expanded_url': 'https://twitter.com/i/web/status/1351458662552768515', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351429425657647106,2021-01-19 07:20:58,"Padma Vibhushan Dr. V. Shanta, Chairperson of the Adyar Cancer Institute, was more than a distinguished oncologist.… https://t.co/WrXD765Oqc",2212,264,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WrXD765Oqc', 'expanded_url': 'https://twitter.com/i/web/status/1351429425657647106', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351413533401968640,2021-01-19 06:17:49,"गुजरात के सूरत में हुई दर्दनाक सड़क दुर्घटना का समाचार सुनकर मुझे गहरा दुख पहुंचा है। मैं, मृतकों के परिवारों के… https://t.co/jHFhojaQOW",8598,812,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jHFhojaQOW', 'expanded_url': 'https://twitter.com/i/web/status/1351413533401968640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",hi
1350805297791602690,2021-01-17 14:00:54,Ustad Ghulam Mustafa Khan was a legend of Indian classical music. I feel honoured to have conferred on him Padma Vi… https://t.co/WvzMvwihpe,6117,541,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WvzMvwihpe', 'expanded_url': 'https://twitter.com/i/web/status/1350805297791602690', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350703553589854209,2021-01-17 07:16:36,"जालौर, राजस्थान में हुई दर्दनाक बस दुर्घटना के बारे में जानकर गहरा दुख हुआ है। शोक संतप्त परिवारों के प्रति मेरी सं… https://t.co/BsxOsoaBXU",9099,875,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BsxOsoaBXU', 'expanded_url': 'https://twitter.com/i/web/status/1350703553589854209', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1349895011169566721,2021-01-15 01:43:45,"On Army Day, greetings to the valiant men and women of the Indian Army. 

We remember the bravehearts who made the… https://t.co/d3A22kpJaI",15262,2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/d3A22kpJaI', 'expanded_url': 'https://twitter.com/i/web/status/1349895011169566721', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349350958669524994,2021-01-13 13:41:52,"Shri Rajnath Singh, Minister of Defence and Dr S. Jaishankar, Minister of External Affairs, called on President Kov… https://t.co/NxWcTcP7Qj",5575,469,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NxWcTcP7Qj', 'expanded_url': 'https://twitter.com/i/web/status/1349350958669524994', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349185015872057345,2021-01-13 02:42:29,"लोहड़ी, मकर संक्रान्ति, पोंगल, भोगाली बिहू, उत्‍तरायण और पौष पर्व के अवसर पर सभी को हार्दिक बधाई और शुभकामनाएं देता… https://t.co/QnKwaw9uG1",17845,1875,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QnKwaw9uG1', 'expanded_url': 'https://twitter.com/i/web/status/1349185015872057345', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1349184837035298816,2021-01-13 02:41:46,"Greetings and best wishes to fellow citizens on the occasion of Lohri, Makar Sankranti, Pongal, Bhogali Bihu, Uttar… https://t.co/qFZDufNaXU",7364,844,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qFZDufNaXU', 'expanded_url': 'https://twitter.com/i/web/status/1349184837035298816', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
