id,created_at,text,favorites,retweets,entities,language
1351844380060119040,2021-01-20 10:49:50,"पीएम आवास योजना-ग्रामीण के माध्यम से PM @narendramodi जी ने आज
उत्तर प्रदेश के 6.1 लाख लाभार्थियों को लगभग ₹2,691 क… https://t.co/cU6gTr1kwY",696,113,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [40, 53]}], 'urls': [{'url': 'https://t.co/cU6gTr1kwY', 'expanded_url': 'https://twitter.com/i/web/status/1351844380060119040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351800226160500736,2021-01-20 07:54:23,"RT @narendramodi: Thanks, @ScottMorrisonMP.
It was a thrilling series with the best from both the teams on full display.

India and Austral…",0,3573,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}, {'screen_name': 'ScottMorrisonMP', 'name': 'Scott Morrison', 'id': 34116377, 'id_str': '34116377', 'indices': [26, 42]}], 'urls': []}",en
1351786355005730819,2021-01-20 06:59:16,"RT @RajKSinghIndia: The surging demand also shows the success of Subhagya, under which we gave all homes including the poor and the under p…",0,394,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RajKSinghIndia', 'name': 'R. K. Singh', 'id': 905771521305526272, 'id_str': '905771521305526272', 'indices': [3, 18]}], 'urls': []}",en
1351786349242830849,2021-01-20 06:59:15,RT @RajKSinghIndia: The demand (and supply) of power in January (upto 19.01.2021) has grown by 8% as compared to the corresponding period l…,0,388,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RajKSinghIndia', 'name': 'R. K. Singh', 'id': 905771521305526272, 'id_str': '905771521305526272', 'indices': [3, 18]}], 'urls': []}",en
1351786343156879360,2021-01-20 06:59:13,"RT @RajKSinghIndia: The peak demand for power crossed 1,85,820 Megawatt at 9:35 AM on today. This is the highest ever, a record.",0,1194,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RajKSinghIndia', 'name': 'R. K. Singh', 'id': 905771521305526272, 'id_str': '905771521305526272', 'indices': [3, 18]}], 'urls': []}",en
1351786244955656192,2021-01-20 06:58:50,RT @narendramodi: Ensuring ‘Housing for All’ in UP. #GraminAwaasSabkePass https://t.co/WrIPFXpW0G,0,3878,"{'hashtags': [{'text': 'GraminAwaasSabkePass', 'indices': [52, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/WrIPFXpW0G', 'expanded_url': 'https://www.pscp.tv/w/ctZ30DMyMjExNTJ8MXJtR1B6RFhsWW54TqG-OiJA7J2LAb-imI4gAejlVx1aMl46ifsi4SOdZDVU', 'display_url': 'pscp.tv/w/ctZ30DMyMjEx…', 'indices': [74, 97]}]}",en
1351762462463422464,2021-01-20 05:24:20,"सिख धर्म के दसवें गुरु गुरु गोविंद सिंह जी के प्रकाश पर्व पर उन्हें श्रद्धापूर्वक नमन।

शांति, सद्भाव व समानतायुक्त… https://t.co/zfB45foVMf",2451,282,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zfB45foVMf', 'expanded_url': 'https://twitter.com/i/web/status/1351762462463422464', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351727733550829570,2021-01-20 03:06:20,RT @narendramodi: ਸ੍ਰੀ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਦੇ ਪ੍ਰਕਾਸ਼ ਪੁਰਬ ਦੇ ਪਵਿੱਤਰ ਮੌਕੇ ’ਤੇ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਨਮਨ ਕਰਦਾ ਹਾਂ। ਉਨ੍ਹਾਂ ਦਾ ਜੀਵਨ ਇੱਕ ਨਿਆਂਪੂਰਨ ਤੇ ਸਮਾ…,0,1917,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': []}",pa
1351727713325867014,2021-01-20 03:06:15,RT @narendramodi: ਗੁਰੂ ਸਾਹਿਬਾਨ ਦੀ ਮੇਰੇ ਉੱਤੇ ਖਾਸ ਕ੍ਰਿਪਾ ਰਹੀ ਹੈ ਕਿ ਸ੍ਰੀ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਜੀ ਦਾ 350ਵਾਂ ਪ੍ਰਕਾਸ਼ ਪੁਰਬ ਸਾਡੀ ਸਰਕਾਰ ਦੇ ਕਾਰਜਕਾਲ ਦੌਰਾ…,0,2275,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': []}",pa
1351727683990925313,2021-01-20 03:06:08,RT @narendramodi: I bow to Sri Guru Gobind Singh Ji on the pious occasion of his Parkash Purab. His was a life devoted to creating a just a…,0,4936,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': []}",en
